,Well,Strain,Cumate,Inoculation
0,A01,W3110,0.0,M9CA
1,B01,W3110,5.0,M9CA
2,C01,W3110,20.0,M9CA
3,D01,W3110,100.0,M9CA
4,A02,Step06,0.0,M9CA
5,B02,Step06,5.0,M9CA
6,C02,Step06,20.0,M9CA
7,D02,Step06,100.0,M9CA
8,A03,Step07,0.0,M9CA
9,B03,Step07,5.0,M9CA
10,C03,Step07,20.0,M9CA
11,D03,Step07,100.0,M9CA
12,A04,Step10,0.0,M9CA
13,B04,Step10,5.0,M9CA
14,C04,Step10,20.0,M9CA
15,D04,Step10,100.0,M9CA
16,A05,Step11,0.0,M9CA
17,B05,Step11,5.0,M9CA
18,C05,Step11,20.0,M9CA
19,D05,Step11,100.0,M9CA
20,A06,Step12,0.0,M9CA
21,B06,Step12,5.0,M9CA
22,C06,Step12,20.0,M9CA
23,D06,Step12,100.0,M9CA
24,A07,Step13,0.0,M9CA
25,B07,Step13,5.0,M9CA
26,C07,Step13,20.0,M9CA
27,D07,Step13,100.0,M9CA
28,A08,Step15,0.0,M9CA
29,B08,Step15,5.0,M9CA
30,C08,Step15,20.0,M9CA
31,D08,Step15,100.0,M9CA
32,A09,Step16,0.0,M9CA
33,B09,Step16,5.0,M9CA
34,C09,Step16,20.0,M9CA
35,D09,Step16,100.0,M9CA
36,A10,MGF01,0.0,M9CA
37,B10,MGF01,5.0,M9CA
38,C10,MGF01,20.0,M9CA
39,D10,MGF01,100.0,M9CA
40,A11,MGF02,0.0,M9CA
41,B11,MGF02,5.0,M9CA
42,C11,MGF02,20.0,M9CA
43,D11,MGF02,100.0,M9CA
44,A12,DGF298,0.0,M9CA
45,B12,DGF298,5.0,M9CA
46,C12,DGF298,20.0,M9CA
47,D12,DGF298,100.0,M9CA
0,E01,W3110,0.0,M9CA
1,F01,W3110,5.0,M9CA
2,G01,W3110,20.0,M9CA
3,H01,W3110,100.0,M9CA
4,E02,Step06,0.0,M9CA
5,F02,Step06,5.0,M9CA
6,G02,Step06,20.0,M9CA
7,H02,Step06,100.0,M9CA
8,E03,Step07,0.0,M9CA
9,F03,Step07,5.0,M9CA
10,G03,Step07,20.0,M9CA
11,H03,Step07,100.0,M9CA
12,E04,Step10,0.0,M9CA
13,F04,Step10,5.0,M9CA
14,G04,Step10,20.0,M9CA
15,H04,Step10,100.0,M9CA
16,E05,Step11,0.0,M9CA
17,F05,Step11,5.0,M9CA
18,G05,Step11,20.0,M9CA
19,H05,Step11,100.0,M9CA
20,E06,Step12,0.0,M9CA
21,F06,Step12,5.0,M9CA
22,G06,Step12,20.0,M9CA
23,H06,Step12,100.0,M9CA
24,E07,Step13,0.0,M9CA
25,F07,Step13,5.0,M9CA
26,G07,Step13,20.0,M9CA
27,H07,Step13,100.0,M9CA
28,E08,Step15,0.0,M9CA
29,F08,Step15,5.0,M9CA
