gene	locus	Step
ymcC	b0986	1
ymcD	b0987	1
insA	b4516	1
insB	b0988	1
cspH	b0989	1
cspG	b0990	1
ymcE	b0991	1
gnsA	b4517	1
yccM	b0992	1
torS	b0993	1
torT	b0994	1
torR	b0995	1
torC	b0996	1
torA	b0997	1
torD	b0998	1
cbpM	b0999	1
cbpA	b1000	1
yccE	b1001	1
agp	b1002	1
yccJ	b1003	1
wrbA	b1004	1
ymdF	b4518	1
ycdG	b1006	1
ycdH	b1007	1
ycdI	b1008	1
rarA	b1009	1
ycdK	b1010	1
ycdL	b1011	1
ycdM	b1012	1
ycdC	b1013	1
putA	b1014	1
putP	b1015	1
ycdO	b1018	1
ycdB	b1019	1
phoH	b1020	1
ycdP	b1021	1
ycdQ	b1022	1
ycdR	b1023	1
ycdS	b1024	1
ycdT	b1025	1
insF	b1026	1
insE	b1027	1
ycdU	b1029	1
yghD	b2968	2
yghF	b2970	2
yghG	b2971	2
pppA	b2972	2
yghJ	b4466	2
yghK	b2975	2
glcB	b2976	2
glcG	b2977	2
glcF	b4467	2
glcE	b4468	2
glcD	b2979	2
glcC	b2980	2
yghO	b2981	2
insH	b2982	2
yghQ	b2983	2
yghR	b2984	2
yghS	b2985	2
yghT	b2986	2
yjbE	b4026	3
yjbF	b4027	3
yjbG	b4028	3
yjbH	b4029	3
yjbA	b4030	3
xylE	b4031	3
malG	b4032	3
malF	b4033	3
malE	b4034	3
malK	b4035	3
lamB	b4036	3
malM	b4037	3
yjbI	b4038	3
ymfD	b1137	4
ymfE	b1138	4
lit	b1139	4
intE	b1140	4
ymfG	b1141	4
ymfH	b1142	4
ymfI	b1143	4
ymfJ	b1144	4
ymfK	b1145	4
ymfT	b1146	4
ymfL	b1147	4
ymfM	b1148	4
ymfN	b1149	4
ymfR	b1150	4
ymfO	b1151	4
ymfP	b1152	4
ymfQ	b1153	4
ycfK	b1154	4
ymfS	b1155	4
tfaE	b1156	4
pin	b1158	4
mcrA	b1159	4
elbA	b1160	4
ycgX	b1161	4
ycgE	b1162	4
ycgF	b1163	4
ycgZ	b1164	4
ymgA	b1165	4
ymgB	b1166	4
ymgC	b1167	4
ycgG	b1168	4
ymgF	b4520	4
ymgD	b1171	4
ymgG	b1172	4
ymgH	b4521	4
ydfH	b1540	5
ydfZ	b1541	5
ydfI	b1542	5
ydfJ	b1543	5
ydfK	b1544	5
pinQ	b1545	5
tfaQ	b1546	5
stfQ	b1547	5
nohA	b1548	5
ynfO	b4533	5
ydfO	b1549	5
gnsB	b1550	5
ynfN	b1551	5
cspI	b1552	5
ydfQ	b1554	5
ydfR	b1555	5
essQ	b1556	5
cspB	b1557	5
cspF	b1558	5
ydfT	b1559	5
ydfU	b1560	5
rem	b1561	5
hokD	b1562	5
relE	b1563	5
relB	b1564	5
ydfV	b1565	5
flxA	b1566	5
ydfW	b1567	5
ydfX	b1568	5
dicC	b1569	5
ybbO	b0493	6
tesA	b0494	6
ybbA	b0495	6
ybbP	b0496	6
rhsD	b0497	6
ybbC	b0498	6
ylbH	b0499	6
ybbD	b0500	6
ylbG	b0502	6
ybbB	b0503	6
ybbS	b0504	6
allA	b0505	6
allR	b0506	6
glxR	b0509	6
ybbV	b0510	6
ybbW	b0511	6
allB	b0512	6
ybbY	b0513	6
glxK	b0514	6
ylbA	b0515	6
allC	b0516	6
allD	b0517	6
fdrA	b0518	6
ylbF	b0520	6
ybcF	b0521	6
intD	b0537	6
ybcC	b0539	6
insE	b0540	6
insF	b0541	6
renD	b0542	6
emrE	b0543	6
ybcK	b0544	6
ybcL	b0545	6
ybcM	b0546	6
ybcN	b0547	6
ninE	b0548	6
ybcO	b0549	6
rusA	b0550	6
ylcG	b4509	6
ybcQ	b0551	6
insH	b0552	6
essD	b0554	6
ybcS	b0555	6
rzpD	b0556	6
rzoD	b4510	6
borD	b0557	6
ybcV	b0558	6
ybcW	b0559	6
nohB	b0560	6
ybcY	b0562	6
ylcE	b0563	6
appY	b0564	6
ompT	b0565	6
envY	b0566	6
ybcH	b0567	6
nfrA	b0568	6
nfrB	b0569	6
cusS	b0570	6
cusR	b0571	6
cusC	b0572	6
cusF	b0573	6
cusB	b0574	6
