protein_ID	iBAQ_DGF-298_1	iBAQ_DGF-298_2	iBAQ_DGF-298_3	iBAQ_MGF-01_1	iBAQ_MGF-01_2	iBAQ_MGF-01_3	iBAQ_MGF-02_1	iBAQ_MGF-02_2	iBAQ_MGF-02_3	iBAQ_Step04_1	iBAQ_Step04_2	iBAQ_Step04_3	iBAQ_Step05_1	iBAQ_Step05_2	iBAQ_Step05_3	iBAQ_Step09_1	iBAQ_Step09_2	iBAQ_Step09_3	iBAQ_Step10_1	iBAQ_Step10_2	iBAQ_Step10_3	iBAQ_W3110_1	iBAQ_W3110_2	iBAQ_W3110_3	norm_iBAQ_DGF-298_1	norm_iBAQ_DGF-298_2	norm_iBAQ_DGF-298_3	norm_iBAQ_MGF-01_1	norm_iBAQ_MGF-01_2	norm_iBAQ_MGF-01_3	norm_iBAQ_MGF-02_1	norm_iBAQ_MGF-02_2	norm_iBAQ_MGF-02_3	norm_iBAQ_Step04_1	norm_iBAQ_Step04_2	norm_iBAQ_Step04_3	norm_iBAQ_Step05_1	norm_iBAQ_Step05_2	norm_iBAQ_Step05_3	norm_iBAQ_Step09_1	norm_iBAQ_Step09_2	norm_iBAQ_Step09_3	norm_iBAQ_Step10_1	norm_iBAQ_Step10_2	norm_iBAQ_Step10_3	norm_iBAQ_W3110_1	norm_iBAQ_W3110_2	norm_iBAQ_W3110_3
W3110_lambdaRed.CDS.1	47879000.0	40763000.0	44134000.0	18914000.0	17040000.0	6948000.0	23297000.0	15339000.0	11148000.0	48022000.0	24511000.0	22610000.0	37573000.0	30924000.0	23502000.0	48790000.0	29735000.0	16835000.0	43719000.0	44150000.0	18430000.0	28640000.0	18533000.0	9904200.0	0.17462232860167842	0.18616737055076515	0.1764772923721285	0.0938381827723927	0.10226091283484676	0.08543677751384043	0.10199953088179789	0.10728957249618502	0.1191338731908414	0.10108426038826636	0.0981645201600863	0.10477082550472351	0.1902067922588795	0.18882072090388502	0.1798018264956733	0.19669537343358917	0.15114465314017184	0.16796879326996247	0.19142808749644216	0.19638875539516829	0.19501816760456975	0.09817681079646656	0.09260771109370154	0.08354055667934955
W3110_lambdaRed.CDS.100	1434400.0	1349800.0	1076700.0	865390.0	591740.0	154640.0	758540.0	447160.0	141530.0	1654700.0	565980.0	531380.0	500520.0	465140.0	336120.0	971770.0	659310.0	89329.0	339930.0	344140.0	116910.0	915480.0	219240.0	0.0	0.005231484954703472	0.006164627646871496	0.0043053677594840885	0.004293466479295808	0.0035511662300993087	0.0019015462398877787	0.003321059542219126	0.003127687935158361	0.0015124701356924815	0.0034830728762747145	0.0022667029138021965	0.0024623229215701005	0.002533795642121054	0.0028401264429321264	0.002571482849192652	0.003917660648525496	0.0033513092739817286	0.000891267260707602	0.0014884180741248788	0.0015308092023033572	0.0012370902861991453	0.003138229984216104	0.001095522288899969	0.0
W3110_lambdaRed.CDS.1007	0.0	179820.0	0.0	1205300.0	965470.0	440930.0	1496900.0	685570.0	490050.0	1462800.0	1126600.0	1133400.0	741430.0	1002000.0	359410.0	533150.0	244960.0	283440.0	332380.0	595220.0	279790.0	987190.0	1744100.0	669350.0	0.0	0.0008212500692402078	0.0	0.005979864740169447	0.005794004901095042	0.005421939883301333	0.006553766483966316	0.004795261243641017	0.0052369532254370145	0.0030791315666976807	0.004511939472577749	0.005251979373155843	0.00375336071073646	0.00611817236921785	0.0027496627717134687	0.002149377707442469	0.0012451452575488982	0.002827981868989496	0.001455359631328883	0.0026476673836084274	0.0029606149275139756	0.0033840490869470616	0.008715108666623042	0.005645874640387171
W3110_lambdaRed.CDS.101	13122000.0	11405000.0	11231000.0	12281000.0	9786800.0	7210900.0	13694000.0	7929800.0	7199200.0	19219000.0	9363700.0	11542000.0	11923000.0	10054000.0	7747000.0	12960000.0	11146000.0	7598200.0	11815000.0	11033000.0	5908200.0	16522000.0	11304000.0	7059200.0	0.04785802117653302	0.05208740429142793	0.04490906037593183	0.06092982566499708	0.058732811134511634	0.08866955368085089	0.05995542670280896	0.055465470498744895	0.07693474882270411	0.040455174719963585	0.03750084114981029	0.05348362972027947	0.060358118438842256	0.061389326347421426	0.05926834949629738	0.052247838485331335	0.05665573579621172	0.07580994862036407	0.05173317902446222	0.04907717187485599	0.06251797817912745	0.0566367761165929	0.05648505726019545	0.05954337530652292
W3110_lambdaRed.CDS.1011	44031.0	86582.0	45696.0	5469100.0	4797500.0	1737100.0	7640600.0	5224800.0	3499000.0	17565000.0	8614300.0	8547600.0	5892500.0	3463100.0	2441300.0	8540000.0	6713100.0	2363500.0	8529400.0	8116300.0	2375300.0	11760000.0	7108000.0	3729900.0	0.00016058806054137522	0.0003954258341394487	0.0001827232145791631	0.027133890525562702	0.028790887871195853	0.021360424038470383	0.03345227349682212	0.036545182761462125	0.03739230555209491	0.036973575313812394	0.03449955636306276	0.039608098544191714	0.02982975869335553	0.021145551628581175	0.018677142329328877	0.03442874542166123	0.03412305939113124	0.023581481609358856	0.037346845295916045	0.0361030590127702	0.025134381633810876	0.04031282454491784	0.03551802786672587	0.031461190440248164
W3110_lambdaRed.CDS.1012	56302.0	161410.0	154600.0	1797300.0	1132500.0	511020.0	1630200.0	1094000.0	481290.0	1729800.0	793410.0	788310.0	845620.0	1042200.0	1369100.0	1070600.0	850960.0	366750.0	1097600.0	1149600.0	328090.0	872420.0	905830.0	443360.0	0.0002053423493584181	0.0007371703574466797	0.0006181943490445249	0.008916959178218324	0.006796389893513143	0.006283808584502409	0.007137384008391935	0.007652049827943571	0.005143338879442057	0.003641155170955461	0.003177541183150996	0.0036528920589840156	0.0042808045050955115	0.006363631979240363	0.010474286471586516	0.004316090731666337	0.0043254768466844	0.003659195422141891	0.0048059532202496605	0.0051136696082057865	0.0034717043195541665	0.0029906219718943217	0.004526349913128348	0.003739680257805417
W3110_lambdaRed.CDS.1014	0.0	0.0	0.0	10154000.0	10629000.0	2979500.0	11251000.0	7598800.0	3721600.0	24976000.0	35504000.0	17694000.0	12897000.0	12062000.0	8149600.0	4839600.0	1456200.0	2214100.0	6287800.0	4353100.0	2217600.0	23839000.0	16932000.0	4986800.0	0.0	0.0	0.0	0.050377123182345114	0.06378704474891937	0.036637720006115086	0.04925942060999734	0.05315027077932139	0.03977113585100784	0.052573414007274596	0.14219057254961867	0.08199093261745148	0.06528882441547837	0.0736500949276504	0.06234843695043567	0.01951069746401308	0.007401945313694913	0.0220908645784986	0.027531771736776435	0.01936353094248487	0.023465669478019202	0.08171916873522928	0.0846076600787004	0.04206296803866848
W3110_lambdaRed.CDS.1017	263670.0	296930.0	80624.0	169770.0	154730.0	14290.0	178350.0	153700.0	40896.0	236550.0	0.0	99950.0	245490.0	35887.0	41136.0	208160.0	134670.0	95152.0	237960.0	151470.0	40239.0	0.0	0.0	0.0	0.0009616464291736369	0.0013560993385579741	0.00032238875289369845	0.0008422812884249291	0.000928569896885906	0.00017571841546816058	0.0007808566052611346	0.0010750640388984705	0.00043703793308330196	0.0004979276538845614	0.0	0.00046315099554166805	0.0012427505238238182	0.0002191246026089032	0.00031471057504578405	0.0008391905909804452	0.0006845350744370923	0.0009493654064284806	0.0010419320593026686	0.0006737713426887008	0.00042579142953012925	0.0	0.0	0.0
W3110_lambdaRed.CDS.1018	5067600.0	3687800.0	5108200.0	4012700.0	3408700.0	1405600.0	6021000.0	3549200.0	2497900.0	7285300.0	3377900.0	3436800.0	2820100.0	1596500.0	1700100.0	2932700.0	2562800.0	1335700.0	3327100.0	3637900.0	1429200.0	5758200.0	3385200.0	2195000.0	0.018482343249062547	0.016842431349927918	0.020426005005105063	0.01990824130330867	0.020456383426064678	0.017284101104411934	0.026361298683920897	0.024825096205975613	0.026693981148493248	0.015335245558423992	0.013528209075466341	0.015925536182867482	0.014276266863153487	0.009748165855744808	0.013006598809688288	0.011823089191815678	0.013026854449895152	0.013326754806693727	0.014568045698881782	0.016182166551576053	0.015123166855151984	0.01973888658967227	0.01691553572516044	0.018514521305221247
W3110_lambdaRed.CDS.1022	5783700.0	4716500.0	5260700.0	2932700.0	2345000.0	1065300.0	3506000.0	2341800.0	1322700.0	4580800.0	3448000.0	3245200.0	2462200.0	2120600.0	1363700.0	2925400.0	2605800.0	1343500.0	3203800.0	3191900.0	1354300.0	3087000.0	2139100.0	1527700.0	0.02109407385144902	0.021540573637923704	0.021035802147597236	0.014550028477138419	0.014072877969349511	0.013099568089449369	0.01535006031985163	0.016379863150894198	0.014135125051087721	0.009642388488329736	0.013808953755945394	0.01503769495479561	0.01246446022143063	0.012948299726709954	0.010432973823170355	0.011793659467977492	0.013245425833282656	0.013404578185814944	0.014028164109908765	0.014198262023688282	0.014330607942857775	0.010582116443040933	0.01068888764908741	0.012885938131201136
