	gene	Step	E_coli_W3110
b0235	ykfJ	9	
b0236	prfH	9	
b0246	yafW	9	
b0263	afuB	9	
b0265	insA	9	
b0274	insB	9	
b0275	insA	9	
b0280	yagN	9	
b0282	yagP	9	
b0288	ykgJ	9	
b0289	yagV	9	
b0290	yagW	9	
b0291	yagX	9	
b0292	yagY	9	
b0295	ykgL	9	
b0297	eaeH	9	
b0327	yahM	9	
b0360	insC	9	
b0372	insF	9	
b0500	ybbD	6	
b0510	ybbV	6	
b0541	insF	6	
b0542	renD	6	
b0545	ybcL	6	
b0548	ninE	6	
b0562	ybcY	6	
b0570	cusS	6	
b0571	cusR	6	
b0619	citA	29	
b0620	citB	29	
b0625	ybeH	29	
b0626	ybeM	29	
b0702	ybfB	17	
b0703	ybfO	17	
b0986	ymcC	1	
b0987	ymcD	1	
b0988	insB	1	
b0989	cspH	1	
b0990	cspG	1	
b0991	ymcE	1	
b0992	yccM	1	
b0993	torS	1	
b0994	torT	1	
b0995	torR	1	
b0996	torC	1	
b0997	torA	1	
b0998	torD	1	
b0999	cbpM	1	
b1000	cbpA	1	
b1001	yccE	1	
b1002	agp	1	
b1003	yccJ	1	
b1004	wrbA	1	
b1006	ycdG	1	
b1007	ycdH	1	
b1008	ycdI	1	
b1009	rarA	1	
b1010	ycdK	1	
b1011	ycdL	1	
b1012	ycdM	1	
b1013	ycdC	1	
b1014	putA	1	
b1015	putP	1	
b1018	ycdO	1	
b1019	ycdB	1	
b1020	phoH	1	
b1021	ycdP	1	
b1022	ycdQ	1	
b1023	ycdR	1	
b1024	ycdS	1	
b1025	ycdT	1	
b1026	insF	1	
b1029	ycdU	1	
b1137	ymfD	4	
b1141	ymfG	4	
b1142	ymfH	4	
b1144	ymfJ	4	
b1148	ymfM	4	
b1160	elbA	4	
b1164	ycgZ	4	
b1165	ymgA	4	
b1549	ydfO	5	
b1551	ynfN	5	
b1562	hokD	5	
b1563	relE	5	
b1565	ydfV	5	
b1567	ydfW	5	
b1788	yoaI	29	
b1882	cheY	11	
b1883	cheB	11	
b1888	cheA	11	
b1904	yecR	11	
b1914	uvrY	11	
b1935	yedM	11	
b1968	yedV	11	
b1969	yedW	11	
b1996	insD	11	
b1997	insC	11	
b1998	yoeE	11	
b2033	wbbJ	11	
b2038	rfbC	11	
b2078	baeS	14	
b2089	insF	14	
b2125	yehT	14	
b2350	yfdG	23	
b2626	yfjJ	12	
b2638	yfjU	12	
b2639	ypjL	12	
b2640	yfjV	12	
b2654	ygaQ	12	
b2658	yqaD	12	
b2849	yqeK	8	
b2850	ygeF	8	
b2855	ygeK	8	
b2856	ygeL	8	
b2859	ygeO	8	
b2860	insD	8	
b2861	insC	8	
b2862	ygeP	8	
b3022	ygiU	21	
b3025	qseB	21	
b3026	qseC	21	
b3027	ygiZ	21	
b3268	yhdW	26	
b3443	yrhA	29	
b3444	insA	29	
b3445	insB	29	
b3483	yhhH	19	
b4272	insC	16	
b4273	insD	16	
b4274	yjgW	16	
b4277	yjgZ	16	
b4294	insA	16	
b4339	yjiQ	16	
b4359	mdoB	16	
b4462	ygaR	12	
b4510	rzoD	6	
b4514	ybfQ	17	
b4516	insA	1	
b4517	gnsA	1	
b4518	ymdF	1	
b4521	ymgH	4	
b4538	yoeF	11	
b4541	yehK	14	
b4542	yohO	14	
b4545	ypdJ	23	
b4548	ypjJ	12	
unique to W3110	insH	11	
unique to W3110	insH	14	
unique to W3110	insH	29	
