Blattner	index	W3110_control	W3110_cumate	Step_06_control	Step_06_cumate	Step_07_control	Step_07_cumate	Step_11_control	Step_11_cumate	Step_12_lowOD_control	Step_12_lowOD_cumate	Step_15_control	Step_15_cumate	Step_16_control	Step_16_cumate	MGF-01_control	MGF-01_cumate	MGF-02_control	MGF-02_cumate
b0002	W3110_lambdaRed.CDS.1	0.02260805452005783	0.023002420640250706	0.042017123384732256	0.046296286639692506	0.042546852658187584	0.04493932564552574	0.07249055435028534	0.06113407915251229	0.09052043777285425	0.047820302960822327	0.057586680928790455	0.05320859178507808	0.07511093268778933	0.04273650050095829	0.07486954784615328	0.04320774160859162	0.049722862962994635	0.03605682166535645
b0103	W3110_lambdaRed.CDS.100	0.001732239186062064	0.0016301298048928949	0.0014909509740081161	0.0016402064479346106	0.0015227436758881452	0.0013323697867078151	0.0013207602639793198	0.0017176873714809587	0.0015461810916193202	0.0021926105576325215	0.0017684601803488577	0.0024583671894793427	0.0010938193296821288	0.0014925366547831164	0.0010554361877857313	0.001767555208915552	0.001450305691948594	0.001729342143790894
b1045	W3110_lambdaRed.CDS.1007	0.0030118344271928324	0.0018077822441344702	0.003157109946120296	0.005869383419014255	0.008880800956607891	0.004329036607266964	0.004492490533100508	0.007881026987194775	0.003752958854445189	0.003650242235599682	0.005543084811489303	0.024422153008608043	0.011255491154888402	0.005054484309118544	0.003720336499996174	0.004557006179651443	0.0033512823070359233	0.0012191227179379816
b0104	W3110_lambdaRed.CDS.101	0.08688724352866879	0.059441165199942476	0.10332084333072249	0.06770748086127613	0.11836669174805824	0.06897817725745421	0.09713704071111841	0.06260609138765123	0.08635372886975172	0.06422570058779943	0.11218875329171973	0.10766472865449632	0.12721652012989865	0.07907858673187664	0.12071780447192149	0.07168976303208166	0.09294894552652481	0.06835060203572327
b1048	W3110_lambdaRed.CDS.1011	0.01991669152966949	0.027723483429329492	0.02522531403968738	0.020985392796181	0.025907973785039135	0.024064097205262158	0.026500751364331693	0.03434658037219557	0.028982702838767836	0.029587769177776557	0.03678707143601361	0.012536094337280241	0.0299565435131994	0.032176503698217465	0.025425777071653527	0.03161628942449683	0.03275554605756293	0.030570734162416544
b1049	W3110_lambdaRed.CDS.1012	0.014924711248940847	0.01215706942886557	0.01391357624080825	0.01182618702013962	0.013881477927202348	0.01051013040401382	0.011653600801628902	0.010076581655240469	0.01552077006327876	0.012059796580672681	0.014855777668144813	0.010762400227935981	0.014678704587203668	0.010270525245661006	0.014772264222244992	0.009155986820154637	0.01503567914985887	0.01082407785174283
b1051	W3110_lambdaRed.CDS.1014	0.0047042941694363	0.003601963218009979	0.009303750091260788	0.005479541150595196	0.0034812591272994297	0.0026836114371946453	0.004496430999638354	0.002847445262601679	0.032085048861119785	0.0038737466934287298	0.013992096811339413	0.0017187701660915198	0.010510323781234907	0.0073672484387480065	0.012560923942522296	0.00874317849645115	0.018723371858222943	0.00715291993709966
b1054	W3110_lambdaRed.CDS.1016	0.002175152605256711	0.001482043245112569	0.0021739098591358062	0.0017528270000617043	0.002082138460520915	0.0019311081917895018	0.0011573485096545034	0.0020688548813944416	0.0014545935427495342	0.001501901871260425	0.0016572741478425121	0.004104472436060498	0.0015051832427038752	0.0019704270206992148	0.0009710271819999166	0.0017562818061922904	0.0008580989243222025	0.0017708843169180883
b1055	W3110_lambdaRed.CDS.1017	0.003621239305076445	0.0010999839660618483	0.0025203083877039846	0.0015972325865259809	0.004462482782502756	0.0015459265635800149	0.0025669962355263074	0.0011127577539975831	0.0029596299191962817	0.004298000536090504	0.0010912347026946784	0.0029901631679090297	0.003610020556292188	0.001617664366940559	0.005264956108547029	0.0020197210104299845	0.003701211912833834	0.0022702383190580785
b1056	W3110_lambdaRed.CDS.1018	0.0029214482139182907	0.0036182730693035798	0.002279022689937326	0.003203131694264143	0.002428478527550866	0.003842662113734189	0.004415839013209953	0.005580845955024567	0.0060873917868649865	0.004691496452991969	0.0028910685987888637	0.003523963815413773	0.005183721638139772	0.00470819982322298	0.0043521566330772645	0.005527770351009142	0.004875873854556494	0.008828579966926563
