$gene_or_promoter	SolutionOrder	mass reclaimed $(fg/cell)$	A14.07036	cumulativeMass
b3322	11	24.1442705355	4.59165577905e-07	121.055606581
b3323	11	24.1442705355	4.59165577905e-07	121.05560704
PM-8819	11	24.1442705355	4.59165577905e-07	121.055607499
PM0-9514	11	24.1442705355	4.59165577905e-07	121.055607959
b3324	11	24.1442705355	4.59165577905e-07	121.055608418
b3325	11	24.1442705355	4.59165577905e-07	121.055608877
b3326	11	24.1442705355	4.59165577905e-07	121.055609336
b3327	11	24.1442705355	4.59165577905e-07	121.055609795
b3328	11	24.1442705355	4.59165577905e-07	121.055610254
b3329	11	24.1442705355	4.59165577905e-07	121.055610714
b3330	11	24.1442705355	4.59165577905e-07	121.055611173
b3331	11	24.1442705355	4.59165577905e-07	121.055611632
b3332	11	24.1442705355	4.59165577905e-07	121.055612091
b3333	11	24.1442705355	4.59165577905e-07	121.05561255
b3334	11	24.1442705355	4.59165577905e-07	121.055613009
b3335	11	24.1442705355	4.59165577905e-07	121.055613469
b3336	11	24.1442705355	0.104650969614	121.160264438
b3337	11	24.1442705355	4.59165577905e-07	121.160264897
b3338	11	24.1442705355	4.59165577905e-07	121.160265357
PM0-3321	11	24.1442705355	4.59165577905e-07	121.160265816
b3339	11	24.1442705355	18.9912477636	140.151513579
PM0-9799	11	24.1442705355	4.59165577905e-07	140.151514039
b3340	11	24.1442705355	5.04836307811	145.199877117
b0955	10	6.88266638029	4.59165577905e-07	41.5120025379
PM0-10011	10	6.88266638029	4.59165577905e-07	41.512002997
b0956	10	6.88266638029	0.00128272688275	41.5132857239
b0957	10	6.88266638029	6.83684604541	48.3501317693
PM00064	10	6.88266638029	4.59165577905e-07	48.3501322285
b0958	10	6.88266638029	4.59165577905e-07	48.3501326876
PM00092	10	6.88266638029	4.59165577905e-07	48.3501331468
PM0-46336	10	6.88266638029	4.59165577905e-07	48.350133606
b0959	10	6.88266638029	4.59165577905e-07	48.3501340651
b0960	10	6.88266638029	4.59165577905e-07	48.3501345243
b0961	10	6.88266638029	0.00748396769418	48.357618492
PM0-36232	10	6.88266638029	4.59165577905e-07	48.3576189512
PM0-36233	10	6.88266638029	4.59165577905e-07	48.3576194103
