level_0,Step05_predicted_from_W3110,Step09_predicted_from_Step05,Step10_predicted_from_Step09,Step10_predicted_from_W3110,iBAQ_Step04,iBAQ_Step05,iBAQ_Step09,iBAQ_Step10,iBAQ_W3110,$D_{KL}\left(\text{iBAQ_Step05}\|\text{Step05_predicted_from_W3110}\right)$,$D_{KL}\left(\text{iBAQ_Step10}\|\text{Step10_predicted_from_Step09}\right)$,$D_{KL}\left(\text{iBAQ_Step09}\|\text{Step09_predicted_from_Step05}\right)$,$D_{KL}\left(\text{iBAQ_Step10}\|\text{Step10_predicted_from_W3110}\right)$,$\log_2\left(\frac{\text{iBAQ_Step05}}{\text{Step05_predicted_from_W3110}}\right)$,$\log_2\left(\frac{\text{iBAQ_Step10}}{\text{Step10_predicted_from_Step09}}\right)$,$\log_2\left(\frac{\text{iBAQ_Step10}}{\text{Step10_predicted_from_W3110}}\right)$,$\log_2\left(\frac{\text{iBAQ_Step09}}{\text{Step09_predicted_from_Step05}}\right)$
b2977,0.0,0.0,0.0,0.0,9.621772640014148e-05,0.0,0.0,0.0,3.799435962803324e-05,0.0,0.0,0.0,0.0,,,,
b2976,0.0,0.0,0.0,0.0,0.00020263689359954016,0.0,0.0,0.0,0.00011281952117771548,0.0,0.0,0.0,0.0,,,,
b4034,0.0,0.0,0.0,0.0,6.0916484829124744e-06,0.0,0.0,0.0,1.9697661033869882e-05,0.0,0.0,0.0,0.0,,,,
b4035,0.0,0.0,0.0,0.0,2.4443812829049927e-05,0.0,0.0,0.0,3.1191373749939844e-05,0.0,0.0,0.0,0.0,,,,
b4037,0.0,0.0,0.0,0.0,4.8418321382256734e-05,0.0,0.0,0.0,9.543814050149143e-05,0.0,0.0,0.0,0.0,,,,
b1152,0.0,0.0,0.0,0.0,5.09283523131977e-05,0.0,0.0,0.0,5.956936827213994e-05,0.0,0.0,0.0,0.0,,,,
b1166,0.0,0.0,0.0,0.0,1.6327408691147482e-06,0.0,0.0,0.0,9.67774380360934e-06,0.0,0.0,0.0,0.0,,,,
b1550,0.0,0.0,0.0,0.0,0.0008940360755915012,0.0,0.0,0.0,0.0009573189821451623,0.0,0.0,0.0,0.0,,,,
b1557,0.0,0.0,0.0,0.0,2.2096897396772222e-05,0.0,0.0,0.0,2.123324766954463e-05,0.0,0.0,0.0,0.0,,,,
b1564,0.0,0.0,0.0,0.0,7.655281036550035e-05,0.0,0.0,0.0,9.080724693448175e-05,0.0,0.0,0.0,0.0,,,,
b0506,5.185948689100642e-05,0.0,0.0,0.0,5.137848619594742e-05,1.4762174367159565e-05,0.0,0.0,5.178502975483611e-05,1.8549086798740838e-05,0.0,0.0,0.0,-1.812702695778306,,,
b0581,2.9884038357708794e-05,0.0,0.0,0.0,2.8888276875542105e-05,1.1073841813462207e-05,0.0,0.0,2.9841132420016136e-05,7.816764444659742e-06,0.0,0.0,0.0,-1.4322193001838492,,,
