$gene_or_promoter	SolutionOrder	class	mass reclaimed $(fg/cell)$	MGF-01_cumate	MGF-01_cumate_cumulative_abundance
b3339	11	gene	0.052276702551	0.0522586061997	0.70971637592
b3338	11	gene	0.052276702551	1.6183900684e-05	0.709700192019
b3336	11	gene	0.052276702551	1.91245028247e-06	0.709698279569
PM0-9799	11	promoter	0.052276702551	-0.0	0.76197498212
PM0-3321	11	promoter	0.052276702551	-0.0	0.70971637592
b3337	11	gene	0.052276702551	-0.0	0.709700192019
b3335	11	gene	0.052276702551	-0.0	0.709698279569
b3334	11	gene	0.052276702551	-0.0	0.709698279569
b3333	11	gene	0.052276702551	-0.0	0.709698279569
b3332	11	gene	0.052276702551	-0.0	0.709698279569
b3331	11	gene	0.052276702551	-0.0	0.709698279569
b3330	11	gene	0.052276702551	-0.0	0.709698279569
b3329	11	gene	0.052276702551	-0.0	0.709698279569
b3328	11	gene	0.052276702551	-0.0	0.709698279569
b3327	11	gene	0.052276702551	-0.0	0.709698279569
b3326	11	gene	0.052276702551	-0.0	0.709698279569
b3325	11	gene	0.052276702551	-0.0	0.709698279569
b3324	11	gene	0.052276702551	-0.0	0.709698279569
PM0-9514	11	promoter	0.052276702551	-0.0	0.709698279569
PM-8819	11	promoter	0.052276702551	-0.0	0.709698279569
b3323	11	gene	0.052276702551	-0.0	0.709698279569
b3322	11	gene	0.052276702551	-0.0	0.709698279569
b0957	10	gene	0.023305039273	0.0227423543711	0.183871818703
b0962	10	gene	0.023305039273	0.000202878988811	0.206632926579
b0967	10	gene	0.023305039273	0.000133586217223	0.206952553993
b0969	10	gene	0.023305039273	4.75615839512e-05	0.207088259656
b0963	10	gene	0.023305039273	4.73104428919e-05	0.206835805568
b0965	10	gene	0.023305039273	4.29356285383e-05	0.206883116011
b0955	10	gene	0.023305039273	3.2412297533e-05	0.183830781967
b0966	10	gene	0.023305039273	2.65023539686e-05	0.206926051639
b0961	10	gene	0.023305039273	1.34599521754e-05	0.206619466627
b0956	10	gene	0.023305039273	8.6244384867e-06	0.183863194265
b0960	10	gene	0.023305039273	5.29355253654e-06	0.206614173074
b0968	10	gene	0.023305039273	2.1194459501e-06	0.20708614021
PM0-36218	10	promoter	0.023305039273	-0.0	0.206883116011
b0964	10	gene	0.023305039273	-0.0	0.206883116011
PM0-10012	10	promoter	0.023305039273	-0.0	0.206883116011
PM0-36233	10	promoter	0.023305039273	-0.0	0.206632926579
PM0-36232	10	promoter	0.023305039273	-0.0	0.206632926579
b0959	10	gene	0.023305039273	-0.0	0.206614173074
PM0-46336	10	promoter	0.023305039273	-0.0	0.206614173074
PM00092	10	promoter	0.023305039273	-0.0	0.206614173074
b0958	10	gene	0.023305039273	-0.0	0.206614173074
PM00064	10	promoter	0.023305039273	-0.0	0.206614173074
PM0-10011	10	promoter	0.023305039273	-0.0	0.183863194265
b4384	9	gene	0.018764182353	0.005329603045	0.992403556225
b4382	9	gene	0.018764182353	0.00420754155808	0.984890692512
b4381	9	gene	0.018764182353	0.00390644959265	0.980984242919
b4383	9	gene	0.018764182353	0.00330532215463	0.98909823407
b4376	9	gene	0.018764182353	0.00122368604804	0.97974240837
b4375	9	gene	0.018764182353	0.000650079821462	0.979092328549
b4371	9	gene	0.018764182353	9.9867209263e-05	0.978975530735
b4380	9	gene	0.018764182353	1.35391262489e-05	0.980970703793
b4374	9	gene	0.018764182353	8.46670407741e-06	0.979083861845
b4373	9	gene	0.018764182353	8.46390026225e-06	0.979075397945
b4378	9	gene	0.018764182353	2.49126489297e-06	0.980966818502
b4385	9	gene	0.018764182353	2.39044368445e-06	0.99773315927
b4387	9	gene	0.018764182353	2.25149614476e-06	0.997737461592
b4386	9	gene	0.018764182353	1.91187838411e-06	0.997735549713
b4379	9	gene	0.018764182353	1.39402568077e-06	0.980969309767
b4377	9	gene	0.018764182353	7.24083842504e-07	0.980966094419
PM00508	9	promoter	0.018764182353	-0.0	0.997739713088
PM00507	9	promoter	0.018764182353	-0.0	0.98909823407
PM00024	9	promoter	0.018764182353	-0.0	0.980984242919
b4568	9	gene	0.018764182353	-0.0	0.980966094419
PM00529	9	promoter	0.018764182353	-0.0	0.97974240837
b4372	9	gene	0.018764182353	0.0	0.979075397945
PM0-10195	9	promoter	0.018764182353	-0.0	0.979075397945
b0605	8	gene	0.018647166074	0.0163917764123	0.114793112388
b0606	8	gene	0.018647166074	0.00185351778048	0.1311848888
b0607	8	gene	0.018647166074	0.000312123514923	0.133038406581
b0611	8	gene	0.018647166074	6.51483682699e-05	0.133369040058
b0610	8	gene	0.018647166074	1.85099622746e-05	0.133350530096
b0604	8	gene	0.018647166074	6.0900358697e-06	0.114787022352
PM0-9991	8	promoter	0.018647166074	-0.0	0.133434188426
b0608	8	gene	0.018647166074	0.0	0.133350530096
PM0-9990	8	promoter	0.018647166074	-0.0	0.133350530096
PM-8821	8	promoter	0.018647166074	-0.0	0.1311848888
PM00102	8	promoter	0.018647166074	-0.0	0.114793112388
