$gene_or_promoter	SolutionOrder	class	mass reclaimed $(fg/cell)$	MGF-02_control	MGF-02_control_cumulative_abundance
b3339	11	gene	0.047422427785	0.0473639418328	0.699913700286
b3338	11	gene	0.047422427785	4.82983087925e-05	0.699865401978
b3336	11	gene	0.047422427785	1.01876431436e-05	0.699855214334
PM0-9799	11	promoter	0.047422427785	-0.0	0.747277642119
PM0-3321	11	promoter	0.047422427785	-0.0	0.699913700286
b3337	11	gene	0.047422427785	-0.0	0.699865401978
b3335	11	gene	0.047422427785	-0.0	0.699855214334
b3334	11	gene	0.047422427785	-0.0	0.699855214334
b3333	11	gene	0.047422427785	-0.0	0.699855214334
b3332	11	gene	0.047422427785	-0.0	0.699855214334
b3331	11	gene	0.047422427785	-0.0	0.699855214334
b3330	11	gene	0.047422427785	-0.0	0.699855214334
b3329	11	gene	0.047422427785	-0.0	0.699855214334
b3328	11	gene	0.047422427785	-0.0	0.699855214334
b3327	11	gene	0.047422427785	-0.0	0.699855214334
b3326	11	gene	0.047422427785	-0.0	0.699855214334
b3325	11	gene	0.047422427785	-0.0	0.699855214334
b3324	11	gene	0.047422427785	-0.0	0.699855214334
PM0-9514	11	promoter	0.047422427785	-0.0	0.699855214334
PM-8819	11	promoter	0.047422427785	-0.0	0.699855214334
b3323	11	gene	0.047422427785	-0.0	0.699855214334
b3322	11	gene	0.047422427785	-0.0	0.699855214334
b1243	10	gene	0.028711351299	0.0206394440057	0.222907407806
b1241	10	gene	0.028711351299	0.00491676215417	0.217990645652
b1247	10	gene	0.028711351299	0.000934616709091	0.245145038159
b1246	10	gene	0.028711351299	0.000676911274861	0.244468126884
b1245	10	gene	0.028711351299	0.000544376107171	0.243923750777
b1251	10	gene	0.028711351299	0.000504278831237	0.246160363466
b1244	10	gene	0.028711351299	0.000376898965499	0.243546851812
b1250	10	gene	0.028711351299	4.38279060245e-05	0.24611653556
b1238	10	gene	0.028711351299	3.73546540487e-05	0.217953290998
b1249	10	gene	0.028711351299	2.56105478908e-05	0.246090925012
b1248	10	gene	0.028711351299	1.12701438535e-05	0.246079654868
PM0-10028	10	promoter	0.028711351299	-0.0	0.246664642297
b4595	10	gene	0.028711351299	-0.0	0.24611653556
PM1023	10	promoter	0.028711351299	-0.0	0.24611653556
PM00306	10	promoter	0.028711351299	-0.0	0.222907407806
b1242	10	gene	0.028711351299	-0.0	0.222907407806
PM00279	10	promoter	0.028711351299	-0.0	0.222907407806
b4573	10	gene	0.028711351299	-0.0	0.217990645652
b4382	9	gene	0.023787237197	0.00703967155216	0.979897786352
b4384	9	gene	0.023787237197	0.00579183069492	0.991179862692
b4383	9	gene	0.023787237197	0.0042424047873	0.986937457904
b4381	9	gene	0.023787237197	0.00336920509814	0.976528581254
b4376	9	gene	0.023787237197	0.00233111662805	0.974191600908
b4375	9	gene	0.023787237197	0.000857069660962	0.973334531247
b4371	9	gene	0.023787237197	0.000121543540197	0.973192657254
b4374	9	gene	0.023787237197	1.24889379092e-05	0.973322042309
b4373	9	gene	0.023787237197	6.82739813721e-06	0.973315214911
b4386	9	gene	0.023787237197	3.32393288511e-06	0.996974451589
b4380	9	gene	0.023787237197	2.81113757478e-06	0.976525770117
b4385	9	gene	0.023787237197	2.75820207137e-06	0.996971693387
b4387	9	gene	0.023787237197	2.11892890456e-06	0.996977775522
b4378	9	gene	0.023787237197	2.08257773415e-06	0.976523687539
b4372	9	gene	0.023787237197	1.01411749411e-06	0.973314200794
b4377	9	gene	0.023787237197	9.70002449781e-07	0.976522717536
PM00508	9	promoter	0.023787237197	-0.0	0.996979894451
PM00507	9	promoter	0.023787237197	-0.0	0.986937457904
PM00024	9	promoter	0.023787237197	-0.0	0.976528581254
b4379	9	gene	0.023787237197	0.0	0.976525770117
b4568	9	gene	0.023787237197	-0.0	0.976522717536
PM00529	9	promoter	0.023787237197	-0.0	0.974191600908
PM0-10195	9	promoter	0.023787237197	-0.0	0.973314200794
b1493	8	gene	0.021954944061	0.0176531970469	0.264143099926
b1492	8	gene	0.021954944061	0.00148025577904	0.262662844147
b1480	8	gene	0.021954944061	0.000814712850403	0.261145855855
b1482	8	gene	0.021954944061	0.000693291083355	0.261960568705
b1474	8	gene	0.021954944061	0.000460784985113	0.260186234521
b1479	8	gene	0.021954944061	0.000426100151446	0.260719755703
b1452	8	gene	0.021954944061	0.000258870582392	0.259841352912
b1478	8	gene	0.021954944061	6.97663696793e-05	0.260649989333
b1468	8	gene	0.021954944061	4.08460082137e-05	0.260145388513
b1464	8	gene	0.021954944061	2.5323466693e-05	0.260115799154
b1461	8	gene	0.021954944061	1.55756588124e-05	0.260100223495
b1491	8	gene	0.021954944061	6.06213264073e-06	0.262656782014
b1467	8	gene	0.021954944061	4.26589231595e-06	0.26014112262
b1484	8	gene	0.021954944061	2.92222610431e-06	0.262653859788
b1477	8	gene	0.021954944061	2.03015638399e-06	0.260647959177
b1475	8	gene	0.021954944061	9.39671030387e-07	0.260647019506
PM0-44963	8	promoter	0.021954944061	-0.0	0.281796296973
b1498	8	gene	0.021954944061	-0.0	0.281796296973
b1497	8	gene	0.021954944061	-0.0	0.281796296973
b1496	8	gene	0.021954944061	-0.0	0.281796296973
b1495	8	gene	0.021954944061	-0.0	0.281796296973
b1494	8	gene	0.021954944061	-0.0	0.281796296973
PM450	8	promoter	0.021954944061	-0.0	0.281796296973
b1490	8	gene	0.021954944061	-0.0	0.262656782014
b1489	8	gene	0.021954944061	-0.0	0.262656782014
PM0-46160	8	promoter	0.021954944061	-0.0	0.262656782014
b1488	8	gene	0.021954944061	-0.0	0.262656782014
b1487	8	gene	0.021954944061	-0.0	0.262656782014
b1486	8	gene	0.021954944061	-0.0	0.262656782014
b1485	8	gene	0.021954944061	-0.0	0.262656782014
b1483	8	gene	0.021954944061	-0.0	0.262653859788
PM00544	8	promoter	0.021954944061	-0.0	0.261960568705
PM0-7481	8	promoter	0.021954944061	-0.0	0.261960568705
b1481	8	gene	0.021954944061	-0.0	0.261960568705
PM0-4141	8	promoter	0.021954944061	-0.0	0.261960568705
b1476	8	gene	0.021954944061	0.0	0.260647959177
PM00217	8	promoter	0.021954944061	-0.0	0.260186234521
PM0-10383	8	promoter	0.021954944061	-0.0	0.260186234521
b1473	8	gene	0.021954944061	-0.0	0.260186234521
b1472	8	gene	0.021954944061	-0.0	0.260186234521
b1471	8	gene	0.021954944061	-0.0	0.260186234521
PM0-2841	8	promoter	0.021954944061	-0.0	0.260186234521
b1469	8	gene	0.021954944061	-0.0	0.260186234521
PM-8813	8	promoter	0.021954944061	-0.0	0.260145388513
b1466	8	gene	0.021954944061	-0.0	0.26014112262
b1465	8	gene	0.021954944061	-0.0	0.26014112262
b1463	8	gene	0.021954944061	-0.0	0.260115799154
b1462	8	gene	0.021954944061	-0.0	0.260115799154
b1460	8	gene	0.021954944061	-0.0	0.260100223495
b1459	8	gene	0.021954944061	-0.0	0.260100223495
b1457	8	gene	0.021954944061	-0.0	0.260100223495
b1456	8	gene	0.021954944061	-0.0	0.260100223495
b1455	8	gene	0.021954944061	-0.0	0.260100223495
b1454	8	gene	0.021954944061	-0.0	0.260100223495
PM0-10042	8	promoter	0.021954944061	-0.0	0.260100223495
PM0-8528	8	promoter	0.021954944061	-0.0	0.260100223495
b1453	8	gene	0.021954944061	-0.0	0.260100223495
PM0-10041	8	promoter	0.021954944061	-0.0	0.259841352912
b2414	7	gene	0.021479751605	0.0214713909997	0.395945618068
b2413	7	gene	0.021479751605	8.36060578757e-06	0.395937257463
PM0-10091	7	promoter	0.021479751605	-0.0	0.395945618068
b4015	6	gene	0.017521128086	0.0131134925169	0.908242909962
b4014	6	gene	0.017521128086	0.0044000710731	0.903842838889
b4016	6	gene	0.017521128086	7.56449603164e-06	0.921356402479
b4017	6	gene	0.017521128086	-0.0	0.921363966975
PM00001	6	promoter	0.017521128086	-0.0	0.903842838889
b0957	5	gene	0.015812576626	0.0153686350427	0.166143584196
b0962	5	gene	0.015812576626	0.000157563150392	0.181534674971
b0967	5	gene	0.015812576626	5.99943709716e-05	0.181832910299
b0966	5	gene	0.015812576626	5.86063994908e-05	0.1817743039
b0963	5	gene	0.015812576626	5.33359741605e-05	0.181692238121
b0965	5	gene	0.015812576626	2.87298048654e-05	0.181745574095
b0955	5	gene	0.015812576626	2.35898876183e-05	0.166110555135
b0969	5	gene	0.015812576626	1.84308388629e-05	0.181904700922
b0960	5	gene	0.015812576626	1.62756666368e-05	0.181512219239
b0968	5	gene	0.015812576626	1.17962515444e-05	0.18189290467
b0956	5	gene	0.015812576626	9.43917341216e-06	0.166134145023
b0961	5	gene	0.015812576626	6.18006500484e-06	0.181528494906
PM0-36218	5	promoter	0.015812576626	-0.0	0.181745574095
b0964	5	gene	0.015812576626	-0.0	0.181745574095
PM0-10012	5	promoter	0.015812576626	-0.0	0.181745574095
PM0-36233	5	promoter	0.015812576626	-0.0	0.181534674971
PM0-36232	5	promoter	0.015812576626	-0.0	0.181534674971
b0959	5	gene	0.015812576626	-0.0	0.181512219239
PM0-46336	5	promoter	0.015812576626	-0.0	0.181512219239
PM00092	5	promoter	0.015812576626	-0.0	0.181512219239
b0958	5	gene	0.015812576626	-0.0	0.181512219239
PM00064	5	promoter	0.015812576626	-0.0	0.181512219239
PM0-10011	5	promoter	0.015812576626	-0.0	0.166134145023
b1580	4	gene	0.014465735317	0.00749900596813	0.284085403003
b1581	4	gene	0.014465735317	0.00673816152131	0.291584408971
b1584	4	gene	0.014465735317	0.000113992786425	0.298354813435
b1586	4	gene	0.014465735317	7.44538589185e-05	0.298468806222
b1583	4	gene	0.014465735317	3.22429427826e-05	0.298322570493
b1588	4	gene	0.014465735317	5.02451548009e-06	0.298543260081
