$gene_or_promoter	SolutionOrder	class	mass reclaimed $(fg/cell)$	Step_07_cumate	Step_07_cumate_cumulative_abundance
b3339	11	gene	0.057113792292	0.0569172746447	0.712438023025
b3336	11	gene	0.057113792292	0.000159749197854	0.712241505378
b3338	11	gene	0.057113792292	3.67684487966e-05	0.712401254576
PM0-9799	11	promoter	0.057113792292	-0.0	0.76935529767
PM0-3321	11	promoter	0.057113792292	-0.0	0.712438023025
b3337	11	gene	0.057113792292	-0.0	0.712401254576
b3335	11	gene	0.057113792292	-0.0	0.712241505378
b3334	11	gene	0.057113792292	-0.0	0.712241505378
b3333	11	gene	0.057113792292	-0.0	0.712241505378
b3332	11	gene	0.057113792292	-0.0	0.712241505378
b3331	11	gene	0.057113792292	-0.0	0.712241505378
b3330	11	gene	0.057113792292	-0.0	0.712241505378
b3329	11	gene	0.057113792292	-0.0	0.712241505378
b3328	11	gene	0.057113792292	-0.0	0.712241505378
b3327	11	gene	0.057113792292	-0.0	0.712241505378
b3326	11	gene	0.057113792292	-0.0	0.712241505378
b3325	11	gene	0.057113792292	-0.0	0.712241505378
b3324	11	gene	0.057113792292	-0.0	0.712241505378
PM0-9514	11	promoter	0.057113792292	-0.0	0.712241505378
PM-8819	11	promoter	0.057113792292	-0.0	0.712241505378
b3323	11	gene	0.057113792292	-0.0	0.712241505378
b3322	11	gene	0.057113792292	-0.0	0.712241505378
b0957	10	gene	0.026092523939	0.0255112103715	0.181511140718
b0962	10	gene	0.026092523939	0.000219199539959	0.207044563726
b0967	10	gene	0.026092523939	0.000125932366354	0.207386930756
b0966	10	gene	0.026092523939	5.45953900795e-05	0.207332335366
b0955	10	gene	0.026092523939	4.65191326712e-05	0.181461294671
b0963	10	gene	0.026092523939	4.4004507628e-05	0.207263763266
b0969	10	gene	0.026092523939	3.97418480853e-05	0.207514076762
b0965	10	gene	0.026092523939	2.45675927457e-05	0.207307767773
b0961	10	gene	0.026092523939	1.20165763035e-05	0.207032547149
b0960	10	gene	0.026092523939	1.01960595124e-05	0.20702235109
b0956	10	gene	0.026092523939	3.32691418712e-06	0.181507813804
b0968	10	gene	0.026092523939	1.21363980559e-06	0.207512863122
PM0-36218	10	promoter	0.026092523939	-0.0	0.207307767773
b0964	10	gene	0.026092523939	-0.0	0.207307767773
PM0-10012	10	promoter	0.026092523939	-0.0	0.207307767773
PM0-36233	10	promoter	0.026092523939	-0.0	0.207044563726
PM0-36232	10	promoter	0.026092523939	-0.0	0.207044563726
b0959	10	gene	0.026092523939	-0.0	0.20702235109
PM0-46336	10	promoter	0.026092523939	-0.0	0.20702235109
PM00092	10	promoter	0.026092523939	-0.0	0.20702235109
b0958	10	gene	0.026092523939	-0.0	0.20702235109
PM00064	10	promoter	0.026092523939	-0.0	0.20702235109
PM0-10011	10	promoter	0.026092523939	-0.0	0.181507813804
b0605	9	gene	0.019088341404	0.0163021749428	0.113675345654
b0606	9	gene	0.019088341404	0.00236862540809	0.129977520597
b0607	9	gene	0.019088341404	0.000299713874313	0.132346146005
b0611	9	gene	0.019088341404	7.43906772077e-05	0.132658429568
b0598	9	gene	0.019088341404	2.75342761781e-05	0.113644478841
b0610	9	gene	0.019088341404	1.25696885235e-05	0.132645859879
b0604	9	gene	0.019088341404	3.33253688602e-06	0.113672013117
PM0-9991	9	promoter	0.019088341404	-0.0	0.132732820245
b0608	9	gene	0.019088341404	0.0	0.132645859879
PM0-9990	9	promoter	0.019088341404	-0.0	0.132645859879
PM-8821	9	promoter	0.019088341404	-0.0	0.129977520597
PM00102	9	promoter	0.019088341404	-0.0	0.113675345654
PM0-10408	9	promoter	0.019088341404	-0.0	0.113675345654
PM0-10406	9	promoter	0.019088341404	-0.0	0.113675345654
b0603	9	gene	0.019088341404	-0.0	0.113672013117
PM0-10368	9	promoter	0.019088341404	-0.0	0.113672013117
b0602	9	gene	0.019088341404	-0.0	0.113672013117
b0601	9	gene	0.019088341404	-0.0	0.113672013117
b0600	9	gene	0.019088341404	-0.0	0.113672013117
b0599	9	gene	0.019088341404	-0.0	0.113672013117
b4512	9	gene	0.019088341404	-0.0	0.113672013117
PM0-7163	9	promoter	0.019088341404	-0.0	0.113644478841
b2414	8	gene	0.015924738744	0.0159112184381	0.402813414817
b2413	8	gene	0.015924738744	1.35203061597e-05	0.402799894511
PM0-10091	8	promoter	0.015924738744	-0.0	0.402813414817
b1243	7	gene	0.015765947845	0.00757969484375	0.248361926697
b1241	7	gene	0.015765947845	0.00623150478936	0.242130421908
b1251	7	gene	0.015765947845	0.000614931549746	0.257241054507
b1246	7	gene	0.015765947845	0.000455469988689	0.25626674547
b1247	7	gene	0.015765947845	0.000434052872028	0.256722215459
b1245	7	gene	0.015765947845	0.000235226799281	0.256031518671
b1244	7	gene	0.015765947845	8.98971299443e-05	0.255941621541
b1238	7	gene	0.015765947845	4.03836952915e-05	0.242090038212
b1250	7	gene	0.015765947845	2.99583788114e-05	0.257211096128
b1249	7	gene	0.015765947845	2.89304423462e-05	0.257182165686
b1248	7	gene	0.015765947845	2.58973552898e-05	0.257156268331
PM0-10028	7	promoter	0.015765947845	-0.0	0.257855986057
b4595	7	gene	0.015765947845	-0.0	0.257211096128
PM1023	7	promoter	0.015765947845	-0.0	0.257211096128
PM00306	7	promoter	0.015765947845	-0.0	0.248361926697
b1242	7	gene	0.015765947845	-0.0	0.248361926697
PM00279	7	promoter	0.015765947845	-0.0	0.248361926697
b4573	7	gene	0.015765947845	-0.0	0.242130421908
b1581	6	gene	0.013934279536	0.00698787437367	0.292869313965
b1580	6	gene	0.013934279536	0.00672257880237	0.286146735163
b1584	6	gene	0.013934279536	0.000131908291441	0.299890931574
b1583	6	gene	0.013934279536	3.37432353065e-05	0.299857188339
b1588	6	gene	0.013934279536	2.58604948543e-05	0.300043900009
b1586	6	gene	0.013934279536	1.63815012679e-05	0.300027518508
b1589	6	gene	0.013934279536	1.12541944837e-05	0.300069760504
b1585	6	gene	0.013934279536	4.6786425042e-06	0.300022839866
b1592	6	gene	0.013934279536	-0.0	0.300081014699
b1591	6	gene	0.013934279536	0.0	0.300081014699
b1590	6	gene	0.013934279536	-0.0	0.300081014699
b1587	6	gene	0.013934279536	-0.0	0.300043900009
PM0-5721	6	promoter	0.013934279536	-0.0	0.300043900009
PM0-10047	6	promoter	0.013934279536	-0.0	0.299857188339
b1582	6	gene	0.013934279536	-0.0	0.299857188339
b0436	5	gene	0.0138594865511	0.0103542320796	0.0879099993859
b0439	5	gene	0.0138594865511	0.00141861968123	0.100350866256
b0437	5	gene	0.0138594865511	0.00123316777927	0.0982642314655
b0438	5	gene	0.0138594865511	0.000853467011224	0.0994973992448
PM00511	5	promoter	0.0138594865511	-0.0	0.100350866256
sraA	5	gene	0.0138594865511	-0.0	0.100350866256
PM0-9696	5	promoter	0.0138594865511	-0.0	0.0994973992448
PM00569	5	promoter	0.0138594865511	-0.0	0.0982642314655
PM0-9744	5	promoter	0.0138594865511	-0.0	0.0982642314655
PM00339	5	promoter	0.0138594865511	-0.0	0.0982642314655
PM0-9980	5	promoter	0.0138594865511	-0.0	0.0879099993859
b0014	4	gene	0.00931552429031	0.00866486452431	0.00536781218059
b0015	4	gene	0.00931552429031	0.000650659766035	0.0140326767049
b4413	4	gene	0.00931552429031	-0.0	0.0146833364709
b0018	4	gene	0.00931552429031	-0.0	0.0146833364709
b4412	4	gene	0.00931552429031	-0.0	0.0146833364709
b0016	4	gene	0.00931552429031	-0.0	0.0146833364709
PM00316	4	promoter	0.00931552429031	-0.0	0.00536781218059
b0013	4	gene	0.00931552429031	-0.0	0.00536781218059
b0011	4	gene	0.00931552429031	-0.0	0.00536781218059
b0010	4	gene	0.00931552429031	-0.0	0.00536781218059
b1676	3	gene	0.007232051307	0.00490353827125	0.307495815635
b1677	3	gene	0.007232051307	0.00139681772419	0.312399353907
b1687	3	gene	0.007232051307	0.000438096164684	0.314053588291
b1667	3	gene	0.007232051307	0.00013753827792	0.307316207322
b1682	3	gene	0.007232051307	7.15726649634e-05	0.31390108748
b1664	3	gene	0.007232051307	5.15991810927e-05	0.307264608141
b1678	3	gene	0.007232051307	4.94467307453e-05	0.313796171631
b1686	3	gene	0.007232051307	3.69080550579e-05	0.314016680236
b1680	3	gene	0.007232051307	3.53013145863e-05	0.313845618362
b1683	3	gene	0.007232051307	2.95639083936e-05	0.313972660145
b1681	3	gene	0.007232051307	2.01678038818e-05	0.313880919676
b1673	3	gene	0.007232051307	1.90250422298e-05	0.307459262196
b1675	3	gene	0.007232051307	1.75283975905e-05	0.307478287238
b1685	3	gene	0.007232051307	1.44561824052e-05	0.314002224053
b1668	3	gene	0.007232051307	5.51659586142e-06	0.3074537456
b1688	3	gene	0.007232051307	4.97499288467e-06	0.314491684456
b4430	3	gene	0.007232051307	-0.0	0.314002224053
PM0-2801	3	promoter	0.007232051307	-0.0	0.314002224053
b1684	3	gene	0.007232051307	0.0	0.314002224053
b1679	3	gene	0.007232051307	-0.0	0.313845618362
PM0-8763	3	promoter	0.007232051307	-0.0	0.312399353907
PM00585	3	promoter	0.007232051307	-0.0	0.307495815635
PM0-10196	3	promoter	0.007232051307	-0.0	0.307478287238
b1674	3	gene	0.007232051307	0.0	0.307478287238
b1672	3	gene	0.007232051307	-0.0	0.307459262196
b1671	3	gene	0.007232051307	-0.0	0.307459262196
b1670	3	gene	0.007232051307	-0.0	0.307459262196
b1669	3	gene	0.007232051307	-0.0	0.307459262196
b1666	3	gene	0.007232051307	-0.0	0.307316207322
b1665	3	gene	0.007232051307	-0.0	0.307316207322
PM00648	3	promoter	0.007232051307	-0.0	0.307316207322
PM0-9712	3	promoter	0.007232051307	-0.0	0.307316207322
b3871	2	gene	0.007111019756	0.00315771249908	0.864038177773
b3870	2	gene	0.007111019756	0.00254672354361	0.861491454229
b3888	2	gene	0.007111019756	0.000681592962013	0.867202395449
b3893	2	gene	0.007111019756	0.000344033841347	0.868006345308
b3895	2	gene	0.007111019756	0.000218629738682	0.868383844247
b3891	2	gene	0.007111019756	0.000122356897011	0.867883988411
b3894	2	gene	0.007111019756	3.34650975796e-05	0.868350379149
b3878	2	gene	0.007111019756	5.48072848477e-06	0.867195890272
b3884	2	gene	0.007111019756	1.02444823965e-06	0.867201371001
b3892	2	gene	0.007111019756	-0.0	0.868006345308
b3890	2	gene	0.007111019756	-0.0	0.867883988411
b3889	2	gene	0.007111019756	-0.0	0.867883988411
b3887	2	gene	0.007111019756	0.0	0.867202395449
b3886	2	gene	0.007111019756	-0.0	0.867202395449
b3885	2	gene	0.007111019756	0.0	0.867202395449
PM0-10169	2	promoter	0.007111019756	-0.0	0.867202395449
b3883	2	gene	0.007111019756	-0.0	0.867201371001
b3882	2	gene	0.007111019756	-0.0	0.867201371001
b3881	2	gene	0.007111019756	-0.0	0.867201371001
b3880	2	gene	0.007111019756	-0.0	0.867201371001
b3879	2	gene	0.007111019756	-0.0	0.867201371001
b3877	2	gene	0.007111019756	-0.0	0.867195890272
b3876	2	gene	0.007111019756	-0.0	0.867195890272
b3875	2	gene	0.007111019756	-0.0	0.867195890272
b3874	2	gene	0.007111019756	-0.0	0.867195890272
b3873	2	gene	0.007111019756	-0.0	0.867195890272
b3872	2	gene	0.007111019756	-0.0	0.867195890272
PM00034	2	promoter	0.007111019756	-0.0	0.864038177773
b2465	1	gene	0.006506120282	0.0044542526308	0.42622453006
b2468	1	gene	0.006506120282	0.000813184615925	0.430682233816
b2463	1	gene	0.006506120282	0.000501863819484	0.425542016153
b2431	1	gene	0.006506120282	0.000277492266389	0.425047109562
b2464	1	gene	0.006506120282	0.000180650087117	0.426043879973
b2439	1	gene	0.006506120282	6.021038598e-05	0.42540834833
b2441	1	gene	0.006506120282	4.87481340977e-05	0.425493268019
b2470	1	gene	0.006506120282	4.20781992778e-05	0.431495418432
b2432	1	gene	0.006506120282	2.94964600764e-05	0.425324601828
b2434	1	gene	0.006506120282	2.93551419603e-05	0.425354098289
b2440	1	gene	0.006506120282	2.47093029057e-05	0.425468558716
b2471	1	gene	0.006506120282	1.57332136135e-05	0.431537496631
b2436	1	gene	0.006506120282	1.32069665092e-05	0.425395141364
b2435	1	gene	0.006506120282	1.16879332191e-05	0.42538345343
b2467	1	gene	0.006506120282	3.45112501038e-06	0.430678782691
PM0-36248	1	promoter	0.006506120282	-0.0	0.431537496631
b4606	1	gene	0.006506120282	-0.0	0.431537496631
PM0-8401	1	promoter	0.006506120282	-0.0	0.431495418432
b2469	1	gene	0.006506120282	-0.0	0.431495418432
PM0-36247	1	promoter	0.006506120282	-0.0	0.431495418432
b2466	1	gene	0.006506120282	-0.0	0.430678782691
PM0-7682	1	promoter	0.006506120282	-0.0	0.42622453006
PM0-10095	1	promoter	0.006506120282	-0.0	0.426043879973
PM0-8523	1	promoter	0.006506120282	-0.0	0.426043879973
b2462	1	gene	0.006506120282	-0.0	0.425542016153
b2461	1	gene	0.006506120282	-0.0	0.425542016153
b2460	1	gene	0.006506120282	-0.0	0.425542016153
b2459	1	gene	0.006506120282	-0.0	0.425542016153
b2458	1	gene	0.006506120282	-0.0	0.425542016153
b2457	1	gene	0.006506120282	-0.0	0.425542016153
b2456	1	gene	0.006506120282	-0.0	0.425542016153
b2455	1	gene	0.006506120282	-0.0	0.425542016153
b2454	1	gene	0.006506120282	-0.0	0.425542016153
b2453	1	gene	0.006506120282	-0.0	0.425542016153
b2452	1	gene	0.006506120282	-0.0	0.425542016153
b2451	1	gene	0.006506120282	-0.0	0.425542016153
b2450	1	gene	0.006506120282	-0.0	0.425542016153
b2449	1	gene	0.006506120282	-0.0	0.425542016153
b2448	1	gene	0.006506120282	-0.0	0.425542016153
b2447	1	gene	0.006506120282	-0.0	0.425542016153
b2446	1	gene	0.006506120282	-0.0	0.425542016153
PM0-46124	1	promoter	0.006506120282	-0.0	0.425542016153
b2445	1	gene	0.006506120282	-0.0	0.425542016153
b2444	1	gene	0.006506120282	-0.0	0.425542016153
b2443	1	gene	0.006506120282	-0.0	0.425542016153
