$gene_or_promoter	SolutionOrder	class	mass reclaimed $(fg/cell)$	Step_12_lowOD_control	Step_12_lowOD_control_cumulative_abundance
b3339	11	gene	0.039367094633	0.0389808036556	0.7257705501
b3336	11	gene	0.039367094633	0.00035213551265	0.725384259122
b3338	11	gene	0.039367094633	3.41554647059e-05	0.725736394635
PM0-9799	11	promoter	0.039367094633	-0.0	0.764751353755
PM0-3321	11	promoter	0.039367094633	-0.0	0.7257705501
b3337	11	gene	0.039367094633	-0.0	0.725736394635
b3335	11	gene	0.039367094633	-0.0	0.725384259122
b3334	11	gene	0.039367094633	-0.0	0.725384259122
b3333	11	gene	0.039367094633	-0.0	0.725384259122
b3332	11	gene	0.039367094633	-0.0	0.725384259122
b3331	11	gene	0.039367094633	-0.0	0.725384259122
b3330	11	gene	0.039367094633	-0.0	0.725384259122
b3329	11	gene	0.039367094633	-0.0	0.725384259122
b3328	11	gene	0.039367094633	-0.0	0.725384259122
b3327	11	gene	0.039367094633	-0.0	0.725384259122
b3326	11	gene	0.039367094633	-0.0	0.725384259122
b3325	11	gene	0.039367094633	-0.0	0.725384259122
b3324	11	gene	0.039367094633	-0.0	0.725384259122
PM0-9514	11	promoter	0.039367094633	-0.0	0.725384259122
PM-8819	11	promoter	0.039367094633	-0.0	0.725384259122
b3323	11	gene	0.039367094633	-0.0	0.725384259122
b3322	11	gene	0.039367094633	-0.0	0.725384259122
b1580	10	gene	0.024650241676	0.0137619457858	0.265395415879
b1581	10	gene	0.024650241676	0.0103957712405	0.279157361665
b1588	10	gene	0.024650241676	0.000325476987455	0.289673243452
b1584	10	gene	0.024650241676	5.83301503402e-05	0.289589538135
b1589	10	gene	0.024650241676	4.61258284468e-05	0.28999872044
b1583	10	gene	0.024650241676	3.64052296848e-05	0.289553132905
b1586	10	gene	0.024650241676	2.53751672406e-05	0.289647868285
b1591	10	gene	0.024650241676	8.11286639687e-07	0.290044846268
b1590	10	gene	0.024650241676	-0.0	0.290044846268
b1587	10	gene	0.024650241676	-0.0	0.289673243452
PM0-5721	10	promoter	0.024650241676	-0.0	0.289673243452
b1585	10	gene	0.024650241676	0.0	0.289647868285
PM0-10047	10	promoter	0.024650241676	-0.0	0.289553132905
b1582	10	gene	0.024650241676	-0.0	0.289553132905
b1241	9	gene	0.023262820812	0.0148321689347	0.222619551144
b1243	9	gene	0.023262820812	0.00703084972661	0.237451720079
b1251	9	gene	0.023262820812	0.000340827427991	0.245501050221
b1246	9	gene	0.023262820812	0.000293942429297	0.244826106281
b1247	9	gene	0.023262820812	0.000293150886366	0.24512004871
b1245	9	gene	0.023262820812	0.000180316398413	0.244645789883
b1244	9	gene	0.023262820812	0.000163220077551	0.244482569805
b1250	9	gene	0.023262820812	5.87838591548e-05	0.245442266362
b1238	9	gene	0.023262820812	4.04943070001e-05	0.222579056837
b1248	9	gene	0.023262820812	1.82224504129e-05	0.245413199597
b1249	9	gene	0.023262820812	1.08443145268e-05	0.245431422047
PM0-10028	9	promoter	0.023262820812	-0.0	0.245841877649
b4595	9	gene	0.023262820812	-0.0	0.245442266362
PM1023	9	promoter	0.023262820812	-0.0	0.245442266362
PM00306	9	promoter	0.023262820812	-0.0	0.237451720079
b1242	9	gene	0.023262820812	-0.0	0.237451720079
PM00279	9	promoter	0.023262820812	-0.0	0.237451720079
b4573	9	gene	0.023262820812	-0.0	0.222619551144
b0957	8	gene	0.013173435358	0.0125215952714	0.174613676757
b0962	8	gene	0.013173435358	0.000202983132494	0.187166596524
b0967	8	gene	0.013173435358	0.000129921532214	0.187539462701
b0963	8	gene	0.013173435358	8.44865660824e-05	0.187369579657
b0969	8	gene	0.013173435358	6.29470463938e-05	0.187670575563
b0965	8	gene	0.013173435358	5.74200715885e-05	0.187454066223
b0955	8	gene	0.013173435358	3.06846252852e-05	0.174560087251
b0966	8	gene	0.013173435358	2.79764063461e-05	0.187511486294
b0960	8	gene	0.013173435358	2.71875003777e-05	0.187135272029
b0956	8	gene	0.013173435358	2.29048812461e-05	0.174590771876
b0961	8	gene	0.013173435358	4.1369950911e-06	0.187162459529
b0968	8	gene	0.013173435358	1.19132983896e-06	0.187669384233
PM0-36218	8	promoter	0.013173435358	-0.0	0.187454066223
b0964	8	gene	0.013173435358	-0.0	0.187454066223
PM0-10012	8	promoter	0.013173435358	-0.0	0.187454066223
PM0-36233	8	promoter	0.013173435358	-0.0	0.187166596524
PM0-36232	8	promoter	0.013173435358	-0.0	0.187166596524
b0959	8	gene	0.013173435358	-0.0	0.187135272029
PM0-46336	8	promoter	0.013173435358	-0.0	0.187135272029
PM00092	8	promoter	0.013173435358	-0.0	0.187135272029
b0958	8	gene	0.013173435358	-0.0	0.187135272029
PM00064	8	promoter	0.013173435358	-0.0	0.187135272029
PM0-10011	8	promoter	0.013173435358	-0.0	0.174590771876
b2414	7	gene	0.012372981816	0.0123588408098	0.39849903819
b2413	7	gene	0.012372981816	1.41410062948e-05	0.398484897184
PM0-10091	7	promoter	0.012372981816	-0.0	0.39849903819
b0436	6	gene	0.0106033642477	0.00812746385959	0.0902353068063
b0437	6	gene	0.0106033642477	0.00114242260093	0.0983627706659
b0439	6	gene	0.0106033642477	0.00077286635691	0.100065804697
b0438	6	gene	0.0106033642477	0.000560611430038	0.0995051932668
PM00511	6	promoter	0.0106033642477	-0.0	0.100065804697
sraA	6	gene	0.0106033642477	-0.0	0.100065804697
PM0-9696	6	promoter	0.0106033642477	-0.0	0.0995051932668
