$gene_or_promoter	SolutionOrder	class	mass reclaimed $(fg/cell)$	Step_15_control	Step_15_control_cumulative_abundance
b3339	11	gene	0.048335997252	0.0477989503924	0.704587511308
b3336	11	gene	0.048335997252	0.000506568104335	0.704050464448
b3338	11	gene	0.048335997252	3.04787550926e-05	0.704557032553
PM0-9799	11	promoter	0.048335997252	-0.0	0.7523864617
PM0-3321	11	promoter	0.048335997252	-0.0	0.704587511308
b3337	11	gene	0.048335997252	-0.0	0.704557032553
b3335	11	gene	0.048335997252	-0.0	0.704050464448
b3334	11	gene	0.048335997252	-0.0	0.704050464448
b3333	11	gene	0.048335997252	-0.0	0.704050464448
b3332	11	gene	0.048335997252	-0.0	0.704050464448
b3331	11	gene	0.048335997252	-0.0	0.704050464448
b3330	11	gene	0.048335997252	-0.0	0.704050464448
b3329	11	gene	0.048335997252	-0.0	0.704050464448
b3328	11	gene	0.048335997252	-0.0	0.704050464448
b3327	11	gene	0.048335997252	-0.0	0.704050464448
b3326	11	gene	0.048335997252	-0.0	0.704050464448
b3325	11	gene	0.048335997252	-0.0	0.704050464448
b3324	11	gene	0.048335997252	-0.0	0.704050464448
PM0-9514	11	promoter	0.048335997252	-0.0	0.704050464448
PM-8819	11	promoter	0.048335997252	-0.0	0.704050464448
b3323	11	gene	0.048335997252	-0.0	0.704050464448
b3322	11	gene	0.048335997252	-0.0	0.704050464448
b1580	10	gene	0.01876842315	0.0096523673991	0.256629878219
b1581	10	gene	0.01876842315	0.00897293603192	0.266282245618
b1584	10	gene	0.01876842315	6.88104454162e-05	0.275280602889
b1586	10	gene	0.01876842315	2.94119781475e-05	0.275351106854
b1583	10	gene	0.01876842315	2.54212386021e-05	0.27525518165
b1588	10	gene	0.01876842315	1.77825367964e-05	0.275380518833
b1585	10	gene	0.01876842315	1.69352044814e-06	0.275349413334
b1592	10	gene	0.01876842315	-0.0	0.275398301369
b1591	10	gene	0.01876842315	0.0	0.275398301369
b1590	10	gene	0.01876842315	-0.0	0.275398301369
b1589	10	gene	0.01876842315	0.0	0.275398301369
b1587	10	gene	0.01876842315	-0.0	0.275380518833
PM0-5721	10	promoter	0.01876842315	-0.0	0.275380518833
PM0-10047	10	promoter	0.01876842315	-0.0	0.27525518165
b1582	10	gene	0.01876842315	-0.0	0.27525518165
b1579	10	gene	0.01876842315	-0.0	0.256629878219
b1578	10	gene	0.01876842315	-0.0	0.256629878219
b1577	10	gene	0.01876842315	-0.0	0.256629878219
b1576	10	gene	0.01876842315	-0.0	0.256629878219
b1575	10	gene	0.01876842315	-0.0	0.256629878219
PM0-9327	10	promoter	0.01876842315	-0.0	0.256629878219
b2414	9	gene	0.015269065138	0.0152552169659	0.379074756439
b2413	9	gene	0.015269065138	1.38481717772e-05	0.379060908267
PM0-10091	9	promoter	0.015269065138	-0.0	0.379074756439
b0957	8	gene	0.014758732555	0.0142070703668	0.173118778342
b0962	8	gene	0.014758732555	0.000213243894501	0.187341236842
b0967	8	gene	0.014758732555	0.000106332338869	0.187705827956
b0966	8	gene	0.014758732555	7.81022313842e-05	0.187627725725
b0963	8	gene	0.014758732555	4.36591300723e-05	0.187554480736
b0955	8	gene	0.014758732555	3.47276177209e-05	0.173078234768
b0965	8	gene	0.014758732555	2.95858583023e-05	0.187598139866
b0969	8	gene	0.014758732555	2.30691298166e-05	0.187813898193
b0960	8	gene	0.014758732555	1.34364620814e-05	0.187325848709
b0956	8	gene	0.014758732555	5.81595557238e-06	0.173112962386
b0961	8	gene	0.014758732555	1.95167110882e-06	0.187339285171
b0968	8	gene	0.014758732555	1.73789819142e-06	0.187812160295
PM0-9395	8	promoter	0.014758732555	-0.0	0.187836967323
b0970	8	gene	0.014758732555	-0.0	0.187836967323
PM0-36218	8	promoter	0.014758732555	-0.0	0.187598139866
b0964	8	gene	0.014758732555	-0.0	0.187598139866
PM0-10012	8	promoter	0.014758732555	-0.0	0.187598139866
PM0-36233	8	promoter	0.014758732555	-0.0	0.187341236842
PM0-36232	8	promoter	0.014758732555	-0.0	0.187341236842
b0959	8	gene	0.014758732555	-0.0	0.187325848709
PM0-46336	8	promoter	0.014758732555	-0.0	0.187325848709
PM00092	8	promoter	0.014758732555	-0.0	0.187325848709
b0958	8	gene	0.014758732555	-0.0	0.187325848709
PM00064	8	promoter	0.014758732555	-0.0	0.187325848709
PM0-10011	8	promoter	0.014758732555	-0.0	0.173112962386
b0436	7	gene	0.0118383313636	0.00925730653034	0.0900174477754
