$gene_or_promoter	SolutionOrder	class	mass reclaimed $(fg/cell)$	W3110_control	W3110_control_cumulative_abundance
b3339	19	gene	0.050058894175	0.0498513109982	0.709797624024
b3336	19	gene	0.050058894175	0.000191580313726	0.709590040847
b3338	19	gene	0.050058894175	1.60028630157e-05	0.709781621161
PM0-9799	19	promoter	0.050058894175	-0.0	0.759648935022
PM0-3321	19	promoter	0.050058894175	-0.0	0.709797624024
b3337	19	gene	0.050058894175	-0.0	0.709781621161
b3335	19	gene	0.050058894175	-0.0	0.709590040847
b3334	19	gene	0.050058894175	-0.0	0.709590040847
b3333	19	gene	0.050058894175	-0.0	0.709590040847
b3332	19	gene	0.050058894175	-0.0	0.709590040847
b3331	19	gene	0.050058894175	-0.0	0.709590040847
b3330	19	gene	0.050058894175	-0.0	0.709590040847
b3329	19	gene	0.050058894175	-0.0	0.709590040847
b3328	19	gene	0.050058894175	-0.0	0.709590040847
b3327	19	gene	0.050058894175	-0.0	0.709590040847
b3326	19	gene	0.050058894175	-0.0	0.709590040847
b3325	19	gene	0.050058894175	-0.0	0.709590040847
b3324	19	gene	0.050058894175	-0.0	0.709590040847
PM0-9514	19	promoter	0.050058894175	-0.0	0.709590040847
PM-8819	19	promoter	0.050058894175	-0.0	0.709590040847
b3323	19	gene	0.050058894175	-0.0	0.709590040847
b3322	19	gene	0.050058894175	-0.0	0.709590040847
b0957	18	gene	0.0203111862	0.0198736888516	0.161128203806
b0962	18	gene	0.0203111862	0.000139568798238	0.181019059398
b0967	18	gene	0.0203111862	8.71298875447e-05	0.181256880508
b0955	18	gene	0.0203111862	6.70975989857e-05	0.161053817866
b0966	18	gene	0.0203111862	5.38349617058e-05	0.181203045547
b0963	18	gene	0.0203111862	3.89745725192e-05	0.181158628196
b0969	18	gene	0.0203111862	2.057878483e-05	0.181344425281
b0960	18	gene	0.0203111862	1.14122766279e-05	0.181001892658
b0956	18	gene	0.0203111862	7.28834146023e-06	0.161120915465
b0961	18	gene	0.0203111862	5.75446349245e-06	0.181013304934
b0965	18	gene	0.0203111862	5.44277801769e-06	0.181197602769
b0968	18	gene	0.0203111862	4.1488571106e-07	0.181344010396
PM0-36218	18	promoter	0.0203111862	-0.0	0.181197602769
b0964	18	gene	0.0203111862	-0.0	0.181197602769
PM0-10012	18	promoter	0.0203111862	-0.0	0.181197602769
PM0-36233	18	promoter	0.0203111862	-0.0	0.181019059398
PM0-36232	18	promoter	0.0203111862	-0.0	0.181019059398
b0959	18	gene	0.0203111862	-0.0	0.181001892658
PM0-46336	18	promoter	0.0203111862	-0.0	0.181001892658
PM00092	18	promoter	0.0203111862	-0.0	0.181001892658
b0958	18	gene	0.0203111862	-0.0	0.181001892658
PM00064	18	promoter	0.0203111862	-0.0	0.181001892658
PM0-10011	18	promoter	0.0203111862	-0.0	0.161120915465
b2414	17	gene	0.014474403253	0.014455786648	0.358154313043
b2413	17	gene	0.014474403253	1.86166049296e-05	0.358135696438
PM0-10091	17	promoter	0.014474403253	-0.0	0.358154313043
b0436	16	gene	0.0126136466894	0.010150991284	0.0848673335214
b0437	16	gene	0.0126136466894	0.000925561394583	0.0950183248054
b0439	16	gene	0.0126136466894	0.000854648119378	0.0966263320915
b0438	16	gene	0.0126136466894	0.000682445891435	0.0959438862
PM00511	16	promoter	0.0126136466894	-0.0	0.0966263320915
sraA	16	gene	0.0126136466894	-0.0	0.0966263320915
PM0-9696	16	promoter	0.0126136466894	-0.0	0.0959438862
PM00569	16	promoter	0.0126136466894	-0.0	0.0950183248054
PM0-9744	16	promoter	0.0126136466894	-0.0	0.0950183248054
PM00339	16	promoter	0.0126136466894	-0.0	0.0950183248054
PM0-9980	16	promoter	0.0126136466894	-0.0	0.0848673335214
b1241	15	gene	0.011269665867	0.00530608747618	0.218454323368
b1243	15	gene	0.011269665867	0.0043675755163	0.223760410845
b1251	15	gene	0.011269665867	0.000476989073014	0.229217361815
b1246	15	gene	0.011269665867	0.000380014147889	0.228408876088
b1247	15	gene	0.011269665867	0.000356852343155	0.228788890236
b1245	15	gene	0.011269665867	0.000157445836526	0.228251430252
b1244	15	gene	0.011269665867	0.000123443890992	0.228127986361
b1250	15	gene	0.011269665867	5.09333167197e-05	0.229166428498
b1238	15	gene	0.011269665867	2.96383473956e-05	0.218424685021
b1248	15	gene	0.011269665867	1.05294055657e-05	0.229145742579
b1249	15	gene	0.011269665867	1.0156513047e-05	0.229156271985
PM0-10028	15	promoter	0.011269665867	-0.0	0.229694350888
b4595	15	gene	0.011269665867	-0.0	0.229166428498
PM1023	15	promoter	0.011269665867	-0.0	0.229166428498
PM00306	15	promoter	0.011269665867	-0.0	0.223760410845
b1242	15	gene	0.011269665867	-0.0	0.223760410845
PM00279	15	promoter	0.011269665867	-0.0	0.223760410845
b4573	15	gene	0.011269665867	-0.0	0.218454323368
b1676	14	gene	0.00825592543	0.0066166736356	0.253796687447
b1677	14	gene	0.00825592543	0.000782991527699	0.260413361083
b1687	14	gene	0.00825592543	0.000415749515687	0.261440061029
b1675	14	gene	0.00825592543	7.89483696451e-05	0.253717739078
b1664	14	gene	0.00825592543	6.50075509612e-05	0.253599885114
b1678	14	gene	0.00825592543	6.2085906004e-05	0.26119635261
b1682	14	gene	0.00825592543	5.32045066272e-05	0.261320066957
b1667	14	gene	0.00825592543	4.28666507507e-05	0.253664892665
b1680	14	gene	0.00825592543	4.15810073749e-05	0.261258438516
b1686	14	gene	0.00825592543	2.26045962066e-05	0.261417456432
b1685	14	gene	0.00825592543	2.22746050183e-05	0.261395181827
b1683	14	gene	0.00825592543	2.10496430771e-05	0.261373271463
b1681	14	gene	0.00825592543	2.00474327668e-05	0.261300019524
b1668	14	gene	0.00825592543	5.2634173789e-06	0.253707759316
b1673	14	gene	0.00825592543	4.7163442833e-06	0.253713022733
b1684	14	gene	0.00825592543	8.60721008031e-07	0.261394321106
b4430	14	gene	0.00825592543	-0.0	0.261395181827
PM0-2801	14	promoter	0.00825592543	-0.0	0.261395181827
b1679	14	gene	0.00825592543	-0.0	0.261258438516
PM0-8763	14	promoter	0.00825592543	-0.0	0.260413361083
PM00585	14	promoter	0.00825592543	-0.0	0.253796687447
PM0-10196	14	promoter	0.00825592543	-0.0	0.253717739078
b1674	14	gene	0.00825592543	0.0	0.253717739078
b1672	14	gene	0.00825592543	-0.0	0.253713022733
b1671	14	gene	0.00825592543	-0.0	0.253713022733
b1670	14	gene	0.00825592543	-0.0	0.253713022733
b1669	14	gene	0.00825592543	-0.0	0.253713022733
b1666	14	gene	0.00825592543	-0.0	0.253664892665
b1665	14	gene	0.00825592543	-0.0	0.253664892665
PM00648	14	promoter	0.00825592543	-0.0	0.253664892665
PM0-9712	14	promoter	0.00825592543	-0.0	0.253664892665
b1663	14	gene	0.00825592543	-0.0	0.253599885114
b3984	13	gene	0.007722772901	0.0048405923092	0.888902212565
b3983	13	gene	0.007722772901	0.00288218059111	0.886020031973
PM00496	13	promoter	0.007722772901	-0.0	0.886020031973
b2465	12	gene	0.006907728599	0.00480977821534	0.380120360703
b2463	12	gene	0.006907728599	0.00058843138806	0.379270221722
b2468	12	gene	0.006907728599	0.000470072602224	0.384938711008
b2431	12	gene	0.006907728599	0.000438132960756	0.37861285664
b2464	12	gene	0.006907728599	0.00026170759284	0.37985865311
b2470	12	gene	0.006907728599	0.000110630529462	0.38540878361
b2439	12	gene	0.006907728599	6.5777207828e-05	0.379152365799
b2432	12	gene	0.006907728599	3.46735081438e-05	0.379050989601
b2441	12	gene	0.006907728599	2.97157724772e-05	0.379240505949
b2435	12	gene	0.006907728599	2.91747783052e-05	0.379114383986
b2434	12	gene	0.006907728599	2.87208775689e-05	0.379085663109
b2440	12	gene	0.006907728599	2.23629429907e-05	0.379218143006
b2436	12	gene	0.006907728599	8.80703388407e-06	0.379143558765
b2467	12	gene	0.006907728599	8.57208950063e-06	0.384930138918
b2471	12	gene	0.006907728599	1.17109983144e-06	0.385519414139
PM0-36248	12	promoter	0.006907728599	-0.0	0.385519414139
b4606	12	gene	0.006907728599	-0.0	0.385519414139
PM0-8401	12	promoter	0.006907728599	-0.0	0.38540878361
b2469	12	gene	0.006907728599	-0.0	0.38540878361
PM0-36247	12	promoter	0.006907728599	-0.0	0.38540878361
b2466	12	gene	0.006907728599	-0.0	0.384930138918
PM0-7682	12	promoter	0.006907728599	-0.0	0.380120360703
PM0-10095	12	promoter	0.006907728599	-0.0	0.37985865311
PM0-8523	12	promoter	0.006907728599	-0.0	0.37985865311
b2462	12	gene	0.006907728599	-0.0	0.379270221722
b2461	12	gene	0.006907728599	-0.0	0.379270221722
b2460	12	gene	0.006907728599	-0.0	0.379270221722
b2459	12	gene	0.006907728599	-0.0	0.379270221722
b2458	12	gene	0.006907728599	-0.0	0.379270221722
b2457	12	gene	0.006907728599	-0.0	0.379270221722
b2456	12	gene	0.006907728599	-0.0	0.379270221722
b2455	12	gene	0.006907728599	-0.0	0.379270221722
b2454	12	gene	0.006907728599	-0.0	0.379270221722
b2453	12	gene	0.006907728599	-0.0	0.379270221722
b2452	12	gene	0.006907728599	-0.0	0.379270221722
b2451	12	gene	0.006907728599	-0.0	0.379270221722
b2450	12	gene	0.006907728599	-0.0	0.379270221722
b2449	12	gene	0.006907728599	-0.0	0.379270221722
b2448	12	gene	0.006907728599	-0.0	0.379270221722
b2447	12	gene	0.006907728599	-0.0	0.379270221722
b2446	12	gene	0.006907728599	-0.0	0.379270221722
PM0-46124	12	promoter	0.006907728599	-0.0	0.379270221722
b2445	12	gene	0.006907728599	-0.0	0.379270221722
b2444	12	gene	0.006907728599	-0.0	0.379270221722
b2443	12	gene	0.006907728599	-0.0	0.379270221722
b2442	12	gene	0.006907728599	-0.0	0.379270221722
b2438	12	gene	0.006907728599	-0.0	0.379152365799
b2437	12	gene	0.006907728599	-0.0	0.379152365799
PM0-2922	12	promoter	0.006907728599	-0.0	0.379143558765
PM0-2921	12	promoter	0.006907728599	-0.0	0.379114383986
b2433	12	gene	0.006907728599	-0.0	0.379085663109
PM0-3684	12	promoter	0.006907728599	-0.0	0.379085663109
b2430	12	gene	0.006907728599	-0.0	0.37861285664
b2903	11	gene	0.006883647591	0.00325856743764	0.481178445822
b2904	11	gene	0.006883647591	0.00117250397356	0.48443701326
b2905	11	gene	0.006883647591	0.00104580971536	0.485609517234
b2908	11	gene	0.006883647591	0.000687515863586	0.486710329372
b2898	11	gene	0.006883647591	0.000247923967565	0.480730967764
b2901	11	gene	0.006883647591	0.00019939801196	0.480978891731
b2910	11	gene	0.006883647591	0.000151931852103	0.48743527107
b2909	11	gene	0.006883647591	3.74258344362e-05	0.487397845236
b2906	11	gene	0.006883647591	3.66409651096e-05	0.486655326949
b2897	11	gene	0.006883647591	1.92102262749e-05	0.480711757537
b2907	11	gene	0.006883647591	1.83614580196e-05	0.486691967914
b2896	11	gene	0.006883647591	5.56467558102e-06	0.480706192862
b2894	11	gene	0.006883647591	2.63753091575e-06	0.480703555331
b2902	11	gene	0.006883647591	1.56079123095e-07	0.481178289743
PM0-46275	11	promoter	0.006883647591	-0.0	0.48743527107
PM00233	11	promoter	0.006883647591	-0.0	0.486655326949
b2900	11	gene	0.006883647591	-0.0	0.480978891731
b2899	11	gene	0.006883647591	-0.0	0.480978891731
PM0-10118	11	promoter	0.006883647591	-0.0	0.480730967764
PM0-10117	11	promoter	0.006883647591	-0.0	0.480730967764
b2895	11	gene	0.006883647591	-0.0	0.480706192862
PM0-3382	11	promoter	0.006883647591	-0.0	0.480706192862
PM0-9743	11	promoter	0.006883647591	-0.0	0.480706192862
b3871	10	gene	0.006688682828	0.00344665818391	0.867825280948
b3870	10	gene	0.006688682828	0.00225104652372	0.865574234425
b3893	10	gene	0.006688682828	0.000383417879682	0.871509937271
b3895	10	gene	0.006688682828	0.000346484234808	0.871916433018
b3891	10	gene	0.006688682828	0.000171928073999	0.871338009197
b3887	10	gene	0.006688682828	2.84021424873e-05	0.871289410285
b3894	10	gene	0.006688682828	2.307786788e-05	0.87189335515
b3888	10	gene	0.006688682828	2.01967694131e-05	0.871317812427
b3884	10	gene	0.006688682828	9.00152846619e-06	0.871278054696
b3878	10	gene	0.006688682828	6.11556408678e-06	0.871271939132
b3885	10	gene	0.006688682828	2.35406000776e-06	0.871287056225
PM00303	10	promoter	0.006688682828	-0.0	0.872262917253
b3904	10	gene	0.006688682828	-0.0	0.872262917253
b3903	10	gene	0.006688682828	-0.0	0.872262917253
PM0-10474	10	promoter	0.006688682828	-0.0	0.872262917253
b3902	10	gene	0.006688682828	-0.0	0.872262917253
b3901	10	gene	0.006688682828	-0.0	0.872262917253
b3900	10	gene	0.006688682828	-0.0	0.872262917253
b3899	10	gene	0.006688682828	-0.0	0.872262917253
b3898	10	gene	0.006688682828	-0.0	0.872262917253
b3897	10	gene	0.006688682828	-0.0	0.872262917253
b3896	10	gene	0.006688682828	-0.0	0.872262917253
