$gene_or_promoter	SolutionOrder	class	mass reclaimed $(fg/cell)$	W3110_cumate	W3110_cumate_cumulative_abundance
b3339	11	gene	0.053713295067	0.0534908891655	0.718116685977
b3336	11	gene	0.053713295067	0.000191575782346	0.717894280076
b3338	11	gene	0.053713295067	3.08301192608e-05	0.718085855858
PM0-9799	11	promoter	0.053713295067	-0.0	0.771607575143
PM0-3321	11	promoter	0.053713295067	-0.0	0.718116685977
b3337	11	gene	0.053713295067	-0.0	0.718085855858
b3335	11	gene	0.053713295067	-0.0	0.717894280076
b3334	11	gene	0.053713295067	-0.0	0.717894280076
b3333	11	gene	0.053713295067	-0.0	0.717894280076
b3332	11	gene	0.053713295067	-0.0	0.717894280076
b3331	11	gene	0.053713295067	-0.0	0.717894280076
b3330	11	gene	0.053713295067	-0.0	0.717894280076
b3329	11	gene	0.053713295067	-0.0	0.717894280076
b3328	11	gene	0.053713295067	-0.0	0.717894280076
b3327	11	gene	0.053713295067	-0.0	0.717894280076
b3326	11	gene	0.053713295067	-0.0	0.717894280076
b3325	11	gene	0.053713295067	-0.0	0.717894280076
b3324	11	gene	0.053713295067	-0.0	0.717894280076
PM0-9514	11	promoter	0.053713295067	-0.0	0.717894280076
PM-8819	11	promoter	0.053713295067	-0.0	0.717894280076
b3323	11	gene	0.053713295067	-0.0	0.717894280076
b3322	11	gene	0.053713295067	-0.0	0.717894280076
b1241	10	gene	0.027174670309	0.0178688004835	0.224777668748
b1243	10	gene	0.027174670309	0.00740728949969	0.242646469231
b1246	10	gene	0.027174670309	0.000568855389506	0.250452583074
b1251	10	gene	0.027174670309	0.000427033384335	0.251490710576
b1247	10	gene	0.027174670309	0.000416925070814	0.251021438463
b1245	10	gene	0.027174670309	0.000214382987419	0.250238200086
b1244	10	gene	0.027174670309	0.000184441355334	0.250053758731
b1238	10	gene	0.027174670309	3.45950964294e-05	0.224743073651
b1248	10	gene	0.027174670309	2.52512315125e-05	0.251438363534
b1250	10	gene	0.027174670309	2.26442558642e-05	0.25146806632
b1249	10	gene	0.027174670309	4.45155456412e-06	0.251463614766
PM0-10028	10	promoter	0.027174670309	-0.0	0.25191774396
b4595	10	gene	0.027174670309	-0.0	0.25146806632
PM1023	10	promoter	0.027174670309	-0.0	0.25146806632
PM00306	10	promoter	0.027174670309	-0.0	0.242646469231
b1242	10	gene	0.027174670309	-0.0	0.242646469231
PM00279	10	promoter	0.027174670309	-0.0	0.242646469231
b4573	10	gene	0.027174670309	-0.0	0.224777668748
b0957	9	gene	0.025624676618	0.0249658611532	0.166036623053
b0962	9	gene	0.025624676618	0.00023157064231	0.191015959323
b0967	9	gene	0.025624676618	0.000122849422268	0.191394127023
b0955	9	gene	0.025624676618	6.77559102273e-05	0.165960613702
b0969	9	gene	0.025624676618	6.74968936347e-05	0.191517793427
b0965	9	gene	0.025624676618	6.54256268184e-05	0.191295635096
b0963	9	gene	0.025624676618	4.81051311475e-05	0.191247529965
b0966	9	gene	0.025624676618	3.30663004094e-05	0.191361060723
b0961	9	gene	0.025624676618	8.30611736893e-06	0.191007653205
b0956	9	gene	0.025624676618	8.25344073178e-06	0.166028369613
b0960	9	gene	0.025624676618	5.16899878674e-06	0.191002484206
b0968	9	gene	0.025624676618	8.16980920003e-07	0.191516976446
PM0-9395	9	promoter	0.025624676618	-0.0	0.19158529032
b0970	9	gene	0.025624676618	-0.0	0.19158529032
PM0-36218	9	promoter	0.025624676618	-0.0	0.191295635096
b0964	9	gene	0.025624676618	-0.0	0.191295635096
PM0-10012	9	promoter	0.025624676618	-0.0	0.191295635096
PM0-36233	9	promoter	0.025624676618	-0.0	0.191015959323
PM0-36232	9	promoter	0.025624676618	-0.0	0.191015959323
b0959	9	gene	0.025624676618	-0.0	0.191002484206
PM0-46336	9	promoter	0.025624676618	-0.0	0.191002484206
PM00092	9	promoter	0.025624676618	-0.0	0.191002484206
b0958	9	gene	0.025624676618	-0.0	0.191002484206
PM00064	9	promoter	0.025624676618	-0.0	0.191002484206
PM0-10011	9	promoter	0.025624676618	-0.0	0.166028369613
b0436	8	gene	0.0138769383848	0.0107792619241	0.0782844157975
b0437	8	gene	0.0138769383848	0.00123630216029	0.0890636777216
b0439	8	gene	0.0138769383848	0.00120942970674	0.0909519244755
b0438	8	gene	0.0138769383848	0.000651944593679	0.0902999798819
PM00511	8	promoter	0.0138769383848	-0.0	0.0909519244755
sraA	8	gene	0.0138769383848	-0.0	0.0909519244755
PM0-9696	8	promoter	0.0138769383848	-0.0	0.0902999798819
PM00569	8	promoter	0.0138769383848	-0.0	0.0890636777216
PM0-9744	8	promoter	0.0138769383848	-0.0	0.0890636777216
PM00339	8	promoter	0.0138769383848	-0.0	0.0890636777216
PM0-9980	8	promoter	0.0138769383848	-0.0	0.0782844157975
b2414	7	gene	0.013787978055	0.0137672228012	0.384648932653
b2413	7	gene	0.013787978055	2.07552538422e-05	0.3846281774
PM0-10091	7	promoter	0.013787978055	-0.0	0.384648932653
b0605	6	gene	0.013625829415	0.0116362870108	0.104856549155
b0606	6	gene	0.013625829415	0.00159750549413	0.116492836166
b0607	6	gene	0.013625829415	0.000239290520275	0.11809034166
b0611	6	gene	0.013625829415	6.14707683033e-05	0.118372643195
b0598	6	gene	0.013625829415	4.55466100414e-05	0.104808284548
b0610	6	gene	0.013625829415	4.30110148167e-05	0.11832963218
b0604	6	gene	0.013625829415	2.71799686377e-06	0.104853831158
PM0-9991	6	promoter	0.013625829415	-0.0	0.118434113963
b0608	6	gene	0.013625829415	0.0	0.11832963218
PM0-9990	6	promoter	0.013625829415	-0.0	0.11832963218
PM-8821	6	promoter	0.013625829415	-0.0	0.116492836166
PM00102	6	promoter	0.013625829415	-0.0	0.104856549155
PM0-10408	6	promoter	0.013625829415	-0.0	0.104856549155
PM0-10406	6	promoter	0.013625829415	-0.0	0.104856549155
b0603	6	gene	0.013625829415	-0.0	0.104853831158
PM0-10368	6	promoter	0.013625829415	-0.0	0.104853831158
b0602	6	gene	0.013625829415	-0.0	0.104853831158
b0601	6	gene	0.013625829415	-0.0	0.104853831158
b0600	6	gene	0.013625829415	-0.0	0.104853831158
b0599	6	gene	0.013625829415	-0.0	0.104853831158
b4512	6	gene	0.013625829415	-0.0	0.104853831158
PM0-7163	6	promoter	0.013625829415	-0.0	0.104808284548
b3984	5	gene	0.008195462352	0.00521242157743	0.893322767087
b3983	5	gene	0.008195462352	0.00298304077422	0.890339726313
PM00496	5	promoter	0.008195462352	-0.0	0.890339726313
b1676	4	gene	0.006901538746	0.0052399092922	0.284180910498
b1677	4	gene	0.006901538746	0.000873980005497	0.28942081979
b1687	4	gene	0.006901538746	0.000355876491724	0.290503170939
b1664	4	gene	0.006901538746	7.19683121954e-05	0.283970129623
b1667	4	gene	0.006901538746	7.07595297721e-05	0.284042097935
b1682	4	gene	0.006901538746	4.99632783233e-05	0.290378022073
b1686	4	gene	0.006901538746	4.80484833941e-05	0.290455122456
b1678	4	gene	0.006901538746	4.45101113468e-05	0.290294799796
b1673	4	gene	0.006901538746	2.48836236087e-05	0.284116484328
b1680	4	gene	0.006901538746	2.10917387036e-05	0.290339309907
b1675	4	gene	0.006901538746	2.08410385999e-05	0.284160069459
b1674	4	gene	0.006901538746	1.87015075024e-05	0.284141367952
b1681	4	gene	0.006901538746	1.76204277218e-05	0.290360401646
b1685	4	gene	0.006901538746	1.63799825625e-05	0.290438742473
b1688	4	gene	0.006901538746	1.26209377492e-05	0.290859047431
b1683	4	gene	0.006901538746	1.07571214557e-05	0.290427985352
b1668	4	gene	0.006901538746	3.6268630488e-06	0.284112857465
b4430	4	gene	0.006901538746	-0.0	0.290438742473
PM0-2801	4	promoter	0.006901538746	-0.0	0.290438742473
b1684	4	gene	0.006901538746	0.0	0.290438742473
b1679	4	gene	0.006901538746	-0.0	0.290339309907
PM0-8763	4	promoter	0.006901538746	-0.0	0.28942081979
PM00585	4	promoter	0.006901538746	-0.0	0.284180910498
PM0-10196	4	promoter	0.006901538746	-0.0	0.284160069459
b1672	4	gene	0.006901538746	-0.0	0.284116484328
b1671	4	gene	0.006901538746	-0.0	0.284116484328
b1670	4	gene	0.006901538746	-0.0	0.284116484328
b1669	4	gene	0.006901538746	-0.0	0.284116484328
b1666	4	gene	0.006901538746	-0.0	0.284042097935
b1665	4	gene	0.006901538746	-0.0	0.284042097935
PM00648	4	promoter	0.006901538746	-0.0	0.284042097935
PM0-9712	4	promoter	0.006901538746	-0.0	0.284042097935
b2296	3	gene	0.00671767809	0.00335632321175	0.371196432152
b2297	3	gene	0.00671767809	0.00247475374528	0.374552755364
b2294	3	gene	0.00671767809	0.000347408261087	0.370843894317
b2290	3	gene	0.00671767809	0.000139770701691	0.370688008484
b2300	3	gene	0.00671767809	0.000128968924768	0.377090215857
b2309	3	gene	0.00671767809	8.3589241404e-05	0.377318658744
b2303	3	gene	0.00671767809	8.15537136522e-05	0.377225108157
b2299	3	gene	0.00671767809	5.01177180837e-05	0.377040098139
b2298	3	gene	0.00671767809	1.25890303761e-05	0.377027509109
b2293	3	gene	0.00671767809	1.06748924138e-05	0.370833219424
b2304	3	gene	0.00671767809	7.55902910719e-06	0.37730666187
b2301	3	gene	0.00671767809	5.92337449691e-06	0.377219184782
b2291	3	gene	0.00671767809	5.44023862526e-06	0.370827779185
b2295	3	gene	0.00671767809	5.12957421432e-06	0.371191302578
b2306	3	gene	0.00671767809	4.43784468338e-06	0.377314220899
b2310	3	gene	0.00671767809	3.43858835666e-06	0.377402247985
PM0-3781	3	promoter	0.00671767809	-0.0	0.377405686574
PM0-9577	3	promoter	0.00671767809	-0.0	0.377402247985
b2308	3	gene	0.00671767809	-0.0	0.377318658744
b2307	3	gene	0.00671767809	-0.0	0.377318658744
b2305	3	gene	0.00671767809	-0.0	0.377314220899
b2302	3	gene	0.00671767809	-0.0	0.377225108157
PM00524	3	promoter	0.00671767809	-0.0	0.371196432152
PM0-46328	3	promoter	0.00671767809	-0.0	0.371191302578
b2292	3	gene	0.00671767809	-0.0	0.370833219424
PM0-45323	3	promoter	0.00671767809	-0.0	0.370827779185
PM0-45322	3	promoter	0.00671767809	-0.0	0.370688008484
b2185	2	gene	0.006687999162	0.00358818288018	0.358833412485
b2167	2	gene	0.006687999162	0.000905604151523	0.355976486799
b2169	2	gene	0.006687999162	0.000862980688455	0.357183275261
b2171	2	gene	0.006687999162	0.000524801252984	0.35804625595
b2168	2	gene	0.006687999162	0.000301184310198	0.356882090951
b2183	2	gene	0.006687999162	0.000179799937236	0.358652937303
b2186	2	gene	0.006687999162	0.000167441421743	0.362421595365
b2187	2	gene	0.006687999162	7.54491739575e-05	0.362589036787
b2180	2	gene	0.006687999162	3.30965877221e-05	0.358617976837
b2173	2	gene	0.006687999162	1.72040857081e-05	0.358571057203
b2175	2	gene	0.006687999162	1.54902302058e-05	0.35859878781
b2174	2	gene	0.006687999162	1.05265221506e-05	0.358588261288
b2177	2	gene	0.006687999162	3.69879621817e-06	0.358614278041
b2181	2	gene	0.006687999162	1.86387811761e-06	0.358651073425
b2184	2	gene	0.006687999162	6.75245298142e-07	0.35883273724
PM0-46360	2	promoter	0.006687999162	-0.0	0.358833412485
PM0-10470	2	promoter	0.006687999162	-0.0	0.35883273724
b2182	2	gene	0.006687999162	-0.0	0.358652937303
PM0-46319	2	promoter	0.006687999162	-0.0	0.358652937303
b2179	2	gene	0.006687999162	-0.0	0.358617976837
b2178	2	gene	0.006687999162	0.0	0.358617976837
b2176	2	gene	0.006687999162	-0.0	0.358614278041
PM0-46320	2	promoter	0.006687999162	-0.0	0.35859878781
b2172	2	gene	0.006687999162	-0.0	0.358571057203
PM0-36246	2	promoter	0.006687999162	-0.0	0.35804625595
PM0-36245	2	promoter	0.006687999162	-0.0	0.35804625595
b4502	2	gene	0.006687999162	-0.0	0.35804625595
b2170	2	gene	0.006687999162	-0.0	0.35804625595
PM00221	2	promoter	0.006687999162	-0.0	0.35804625595
b2166	2	gene	0.006687999162	-0.0	0.355976486799
b2165	2	gene	0.006687999162	-0.0	0.355976486799
b3871	1	gene	0.006076551524	0.00313236544316	0.871690861335
b3870	1	gene	0.006076551524	0.0022625004479	0.869428360887
b3893	1	gene	0.006076551524	0.000215089176376	0.875027081124
b3895	1	gene	0.006076551524	0.000181684494093	0.875323227917
b3891	1	gene	0.006076551524	0.000125292810701	0.874901788313
b3894	1	gene	0.006076551524	8.10576171389e-05	0.8752421703
b3887	1	gene	0.006076551524	2.9234306573e-05	0.874854275671
b3888	1	gene	0.006076551524	1.82783353847e-05	0.874883509978
b3878	1	gene	0.006076551524	1.41137167966e-05	0.874823226778
b3884	1	gene	0.006076551524	1.12179400232e-05	0.874837340495
b3885	1	gene	0.006076551524	5.71723601115e-06	0.874848558435
b3896	1	gene	0.006076551524	-0.0	0.875504912411
b3892	1	gene	0.006076551524	-0.0	0.875027081124
b3890	1	gene	0.006076551524	-0.0	0.874901788313
b3889	1	gene	0.006076551524	-0.0	0.874901788313
b3886	1	gene	0.006076551524	-0.0	0.874854275671
PM0-10169	1	promoter	0.006076551524	-0.0	0.874848558435
b3883	1	gene	0.006076551524	-0.0	0.874837340495
b3882	1	gene	0.006076551524	-0.0	0.874837340495
b3881	1	gene	0.006076551524	-0.0	0.874837340495
b3880	1	gene	0.006076551524	-0.0	0.874837340495
b3879	1	gene	0.006076551524	-0.0	0.874837340495
b3877	1	gene	0.006076551524	-0.0	0.874823226778
b3876	1	gene	0.006076551524	-0.0	0.874823226778
b3875	1	gene	0.006076551524	-0.0	0.874823226778
b3874	1	gene	0.006076551524	-0.0	0.874823226778
b3873	1	gene	0.006076551524	-0.0	0.874823226778
b3872	1	gene	0.006076551524	-0.0	0.874823226778
PM00034	1	promoter	0.006076551524	-0.0	0.871690861335
