$gene_or_promoter	SolutionOrder	class	mass reclaimed $(fg/cell)$	iBAQ_Step10	iBAQ_Step10_cumulative_abundance
b1580	11	gene	0.0236000212563	0.0165321845874	0.260806739552
b1581	11	gene	0.0236000212563	0.00689484664043	0.277338924139
b1583	11	gene	0.0236000212563	0.000111110019469	0.284233770779
b1584	11	gene	0.0236000212563	3.17680943806e-05	0.284344880799
b1586	11	gene	0.0236000212563	3.01119145938e-05	0.284376648893
b1585	11	gene	0.0236000212563	-0.0	0.284376648893
PM0-10047	11	promoter	0.0236000212563	-0.0	0.284233770779
b1582	11	gene	0.0236000212563	-0.0	0.284233770779
b0957	10	gene	0.0139811445319	0.0132579097708	0.177869558086
b0965	10	gene	0.0139811445319	0.000222392150222	0.191456328498
b0963	10	gene	0.0139811445319	0.000221588570176	0.191234739928
b0967	10	gene	0.0139811445319	6.90125471454e-05	0.191693810276
b0961	10	gene	0.0139811445319	5.7512233774e-05	0.191142557485
b0955	10	gene	0.0139811445319	4.58994581937e-05	0.177802100458
b0962	10	gene	0.0139811445319	3.46702089701e-05	0.191200069719
b0956	10	gene	0.0139811445319	2.15581696794e-05	0.177847999917
b0968	10	gene	0.0139811445319	2.04221671054e-05	0.191762822823
b0966	10	gene	0.0139811445319	1.50896279442e-05	0.191678720648
b0960	10	gene	0.0139811445319	1.50896279442e-05	0.191127467857
PM0-36218	10	promoter	0.0139811445319	-0.0	0.191456328498
b0964	10	gene	0.0139811445319	-0.0	0.191456328498
PM0-10012	10	promoter	0.0139811445319	-0.0	0.191456328498
PM0-36233	10	promoter	0.0139811445319	-0.0	0.191200069719
PM0-36232	10	promoter	0.0139811445319	-0.0	0.191200069719
b0959	10	gene	0.0139811445319	-0.0	0.191127467857
PM0-46336	10	promoter	0.0139811445319	-0.0	0.191127467857
PM00092	10	promoter	0.0139811445319	-0.0	0.191127467857
b0958	10	gene	0.0139811445319	-0.0	0.191127467857
PM00064	10	promoter	0.0139811445319	-0.0	0.191127467857
PM0-10011	10	promoter	0.0139811445319	-0.0	0.177847999917
b0605	9	gene	0.0127711070834	0.0117788885339	0.102856983677
b0607	9	gene	0.0127711070834	0.000502003755105	0.114970069754
b0606	9	gene	0.0127711070834	0.000334197543797	0.114635872211
b0600	9	gene	0.0127711070834	4.3704557577e-05	0.102797727676
b0599	9	gene	0.0127711070834	4.19366283548e-05	0.102755791048
b0610	9	gene	0.0127711070834	3.06802580051e-05	0.115472073509
b0604	9	gene	0.0127711070834	1.55514425933e-05	0.102841432234
b0611	9	gene	0.0127711070834	1.23752556876e-05	0.115502753767
b0598	9	gene	0.0127711070834	1.17691083011e-05	0.10274402194
PM0-9991	9	promoter	0.0127711070834	-0.0	0.115515129023
b0608	9	gene	0.0127711070834	-0.0	0.115472073509
PM0-9990	9	promoter	0.0127711070834	-0.0	0.115472073509
PM-8821	9	promoter	0.0127711070834	-0.0	0.114635872211
PM00102	9	promoter	0.0127711070834	-0.0	0.102856983677
PM0-10408	9	promoter	0.0127711070834	-0.0	0.102856983677
PM0-10406	9	promoter	0.0127711070834	-0.0	0.102856983677
b0603	9	gene	0.0127711070834	-0.0	0.102841432234
PM0-10368	9	promoter	0.0127711070834	-0.0	0.102841432234
b0602	9	gene	0.0127711070834	-0.0	0.102841432234
b0601	9	gene	0.0127711070834	-0.0	0.102841432234
b4512	9	gene	0.0127711070834	-0.0	0.102755791048
PM0-7163	9	promoter	0.0127711070834	-0.0	0.10274402194
b2414	8	gene	0.0124556358589	0.0124556358589	0.40759331377
PM0-10091	8	promoter	0.0124556358589	-0.0	0.40759331377
b2413	8	gene	0.0124556358589	-0.0	0.40759331377
b1823	7	gene	0.0118199885282	0.0110644343589	0.333418474883
b1817	7	gene	0.0118199885282	0.00044716581566	0.332736065635
b1818	7	gene	0.0118199885282	0.000143171429792	0.333183231451
b1819	7	gene	0.0118199885282	8.13836612124e-05	0.333326402881
b1825	7	gene	0.0118199885282	5.48069354265e-05	0.344482909242
b1822	7	gene	0.0118199885282	1.06883409063e-05	0.333407786542
b1816	7	gene	0.0118199885282	9.03751601364e-06	0.332727028119
b1813	7	gene	0.0118199885282	5.7430017148e-06	0.332721285117
b4536	7	gene	0.0118199885282	3.55746853374e-06	0.344537716177
PM171	7	promoter	0.0118199885282	-0.0	0.344537716177
b1826	7	gene	0.0118199885282	-0.0	0.344537716177
PM0-10453	7	promoter	0.0118199885282	-0.0	0.344482909242
PM0-10063	7	promoter	0.0118199885282	-0.0	0.344482909242
b1824	7	gene	0.0118199885282	-0.0	0.344482909242
b1821	7	gene	0.0118199885282	-0.0	0.333407786542
PM0-46155	7	promoter	0.0118199885282	-0.0	0.333407786542
b1820	7	gene	0.0118199885282	-0.0	0.333407786542
PM00276	7	promoter	0.0118199885282	-0.0	0.332736065635
PM0-9955	7	promoter	0.0118199885282	-0.0	0.332736065635
b1815	7	gene	0.0118199885282	-0.0	0.332727028119
b1814	7	gene	0.0118199885282	-0.0	0.332727028119
PM00307	7	promoter	0.0118199885282	-0.0	0.332727028119
b2093	6	gene	0.00959231889184	0.000544500893451	0.374357572413
b2097	6	gene	0.00959231889184	0.00048599871248	0.383372220042
b2094	6	gene	0.00959231889184	0.000253523463782	0.374902073306
b2094	6	gene	0.00959231889184	0.000253523463782	0.37515559677
b2094	6	gene	0.00959231889184	0.000253523463782	0.375409120234
b2094	6	gene	0.00959231889184	0.000253523463782	0.375662643698
b2094	6	gene	0.00959231889184	0.000253523463782	0.375916167161
b2094	6	gene	0.00959231889184	0.000253523463782	0.376169690625
b2094	6	gene	0.00959231889184	0.000253523463782	0.376423214089
b2094	6	gene	0.00959231889184	0.000253523463782	0.376676737553
b2094	6	gene	0.00959231889184	0.000253523463782	0.376930261017
b2094	6	gene	0.00959231889184	0.000253523463782	0.37718378448
b2094	6	gene	0.00959231889184	0.000253523463782	0.377437307944
b2094	6	gene	0.00959231889184	0.000253523463782	0.377690831408
b2094	6	gene	0.00959231889184	0.000253523463782	0.377944354872
b2094	6	gene	0.00959231889184	0.000253523463782	0.378197878336
b2094	6	gene	0.00959231889184	0.000253523463782	0.378451401799
b2094	6	gene	0.00959231889184	0.000253523463782	0.378704925263
b2094	6	gene	0.00959231889184	0.000253523463782	0.378958448727
b2094	6	gene	0.00959231889184	0.000253523463782	0.379211972191
b2094	6	gene	0.00959231889184	0.000253523463782	0.379465495654
b2094	6	gene	0.00959231889184	0.000253523463782	0.379719019118
b2094	6	gene	0.00959231889184	0.000253523463782	0.379972542582
b2094	6	gene	0.00959231889184	0.000253523463782	0.380226066046
b2094	6	gene	0.00959231889184	0.000253523463782	0.38047958951
b2094	6	gene	0.00959231889184	0.000253523463782	0.380733112973
b2094	6	gene	0.00959231889184	0.000253523463782	0.380986636437
b2094	6	gene	0.00959231889184	0.000253523463782	0.381240159901
b2094	6	gene	0.00959231889184	0.000253523463782	0.381493683365
b2094	6	gene	0.00959231889184	0.000253523463782	0.381747206828
b2094	6	gene	0.00959231889184	0.000253523463782	0.382000730292
b2094	6	gene	0.00959231889184	0.000253523463782	0.382254253756
b2094	6	gene	0.00959231889184	0.000253523463782	0.38250777722
b2094	6	gene	0.00959231889184	0.000253523463782	0.382761300684
b2095	6	gene	0.00959231889184	0.000185797973569	0.383014824147
b2096	6	gene	0.00959231889184	0.000171597920676	0.383200622121
b2091	6	gene	0.00959231889184	5.36288674686e-05	0.374265899862
b2092	6	gene	0.00959231889184	3.80436831681e-05	0.37431952873
PM0-8905	6	promoter	0.00959231889184	-0.0	0.383858218754
PM00232	6	promoter	0.00959231889184	-0.0	0.383372220042
PM0-10078	6	promoter	0.00959231889184	-0.0	0.383200622121
b3829	5	gene	0.00911694505449	0.00856639545074	0.866985520984
b3831	5	gene	0.00911694505449	0.000417089777294	0.875681461505
b3830	5	gene	0.00911694505449	0.000129545070542	0.875551916434
b3832	5	gene	0.00911694505449	3.91475591537e-06	0.876098551282
PM00179	5	promoter	0.00911694505449	-0.0	0.875681461505
PM0-9097	5	promoter	0.00911694505449	-0.0	0.875681461505
PM0-8601	5	promoter	0.00911694505449	-0.0	0.866985520984
b0023	4	gene	0.00907492935461	0.00907492935461	0.011423819124
b0024	4	gene	0.00907492935461	-0.0	0.0204987484786
PM0-8222	4	promoter	0.00907492935461	-0.0	0.0204987484786
