$gene_or_promoter	SolutionOrder	class	mass reclaimed $(fg/cell)$	iBAQ_W3110	iBAQ_W3110_cumulative_abundance
b0957	11	gene	0.0182364391335	0.01715214599	0.189958854415
b0965	11	gene	0.0182364391335	0.000534214391866	0.207478017373
b0963	11	gene	0.0182364391335	0.000264908990729	0.207215562735
b0961	11	gene	0.0182364391335	5.83200471942e-05	0.207120196741
b0955	11	gene	0.0182364391335	5.37035488846e-05	0.189887063194
b0967	11	gene	0.0182364391335	4.31335631483e-05	0.208052357741
b0966	11	gene	0.0182364391335	4.0125976057e-05	0.208012231765
b0962	11	gene	0.0182364391335	3.86821820026e-05	0.207176880553
b0968	11	gene	0.0182364391335	2.80110234436e-05	0.208095491305
b0956	11	gene	0.0182364391335	1.89057888465e-05	0.189939948626
b0960	11	gene	0.0182364391335	1.32869232718e-05	0.207106909818
PM0-36218	11	promoter	0.0182364391335	-8.181174515e-07	0.207478835491
b0964	11	gene	0.0182364391335	-8.181174515e-07	0.207479653608
PM0-10012	11	promoter	0.0182364391335	-8.181174515e-07	0.207480471726
PM0-36233	11	promoter	0.0182364391335	-8.181174515e-07	0.207177698671
PM0-36232	11	promoter	0.0182364391335	-8.181174515e-07	0.207178516788
b0959	11	gene	0.0182364391335	-8.181174515e-07	0.207107727935
PM0-46336	11	promoter	0.0182364391335	-8.181174515e-07	0.207108546052
PM00092	11	promoter	0.0182364391335	-8.181174515e-07	0.20710936417
b0958	11	gene	0.0182364391335	-8.181174515e-07	0.207110182287
PM00064	11	promoter	0.0182364391335	-8.181174515e-07	0.207111000405
PM0-10011	11	promoter	0.0182364391335	-8.181174515e-07	0.189940766743
b1480	10	gene	0.014247109954	0.00771314075346	0.277081888104
b1482	10	gene	0.014247109954	0.00297796891294	0.284791756388
b1452	10	gene	0.014247109954	0.00258256048675	0.274223776648
b1493	10	gene	0.014247109954	0.000563874078536	0.287890498248
b1479	10	gene	0.014247109954	0.000142509691429	0.276939378413
b1492	10	gene	0.014247109954	0.00012205568203	0.287768442566
b1461	10	gene	0.014247109954	0.000101207343719	0.276798974077
b1478	10	gene	0.014247109954	4.36283310998e-05	0.276895750082
b1494	10	gene	0.014247109954	1.13939590104e-05	0.288453554209
b1464	10	gene	0.014247109954	1.02947746828e-05	0.276898545186
b1497	10	gene	0.014247109954	6.50982027686e-06	0.288466831134
b1490	10	gene	0.014247109954	3.51439824126e-06	0.287765746285
b1495	10	gene	0.014247109954	2.70108277368e-06	0.288464948168
b1487	10	gene	0.014247109954	1.74780697326e-06	0.287766452831
PM0-44963	10	promoter	0.014247109954	-8.181174515e-07	0.288472522837
b1498	10	gene	0.014247109954	-8.181174515e-07	0.288473340954
b1496	10	gene	0.014247109954	-8.181174515e-07	0.288467649251
PM450	10	promoter	0.014247109954	-8.181174515e-07	0.288454372327
b1491	10	gene	0.014247109954	-8.181174515e-07	0.287769260684
b1489	10	gene	0.014247109954	-8.181174515e-07	0.287766564403
PM0-46160	10	promoter	0.014247109954	-8.181174515e-07	0.28776738252
b1488	10	gene	0.014247109954	-8.181174515e-07	0.287768200638
b1486	10	gene	0.014247109954	-8.181174515e-07	0.287767270948
b1485	10	gene	0.014247109954	-8.181174515e-07	0.287768089066
b1484	10	gene	0.014247109954	-8.181174515e-07	0.287768907183
b1483	10	gene	0.014247109954	-8.181174515e-07	0.287769725301
PM00544	10	promoter	0.014247109954	-8.181174515e-07	0.284792574505
PM0-7481	10	promoter	0.014247109954	-8.181174515e-07	0.284793392623
b1481	10	gene	0.014247109954	-8.181174515e-07	0.28479421074
PM0-4141	10	promoter	0.014247109954	-8.181174515e-07	0.284795028858
b1477	10	gene	0.014247109954	-8.181174515e-07	0.276896568199
b1476	10	gene	0.014247109954	-8.181174515e-07	0.276897386316
b1475	10	gene	0.014247109954	-8.181174515e-07	0.276898204434
b1474	10	gene	0.014247109954	-8.181174515e-07	0.276899022551
PM00217	10	promoter	0.014247109954	-8.181174515e-07	0.276899840669
PM0-10383	10	promoter	0.014247109954	-8.181174515e-07	0.276900658786
b1473	10	gene	0.014247109954	-8.181174515e-07	0.276901476904
b1472	10	gene	0.014247109954	-8.181174515e-07	0.276902295021
b1471	10	gene	0.014247109954	-8.181174515e-07	0.276903113139
PM0-2841	10	promoter	0.014247109954	-8.181174515e-07	0.276903931256
b1469	10	gene	0.014247109954	-8.181174515e-07	0.276904749373
b1468	10	gene	0.014247109954	-8.181174515e-07	0.276905567491
PM-8813	10	promoter	0.014247109954	-8.181174515e-07	0.276906385608
b1467	10	gene	0.014247109954	-8.181174515e-07	0.276907203726
b1466	10	gene	0.014247109954	-8.181174515e-07	0.276908021843
b1465	10	gene	0.014247109954	-8.181174515e-07	0.276908839961
b1463	10	gene	0.014247109954	-8.181174515e-07	0.276899363304
b1462	10	gene	0.014247109954	-8.181174515e-07	0.276900181421
b1460	10	gene	0.014247109954	-8.181174515e-07	0.276799792195
b1459	10	gene	0.014247109954	-8.181174515e-07	0.276800610312
b1457	10	gene	0.014247109954	-8.181174515e-07	0.27680142843
b1456	10	gene	0.014247109954	-8.181174515e-07	0.276802246547
b1455	10	gene	0.014247109954	-8.181174515e-07	0.276803064665
b1454	10	gene	0.014247109954	-8.181174515e-07	0.276803882782
PM0-10042	10	promoter	0.014247109954	-8.181174515e-07	0.276804700899
PM0-8528	10	promoter	0.014247109954	-8.181174515e-07	0.276805519017
b1453	10	gene	0.014247109954	-8.181174515e-07	0.276806337134
PM0-10041	10	promoter	0.014247109954	-8.181174515e-07	0.274224594765
b0605	9	gene	0.0133915611908	0.0124029989054	0.108078086077
b0607	9	gene	0.0133915611908	0.000562931930466	0.120799796434
b0606	9	gene	0.0133915611908	0.000319529568928	0.120480266865
b0600	9	gene	0.0133915611908	3.1465047024e-05	0.108026811077
b0599	9	gene	0.0133915611908	2.61056681913e-05	0.108000705408
b0604	9	gene	0.0133915611908	2.55367752365e-05	0.108055003654
b0611	9	gene	0.0133915611908	1.44753728772e-05	0.12137303657
b0610	9	gene	0.0133915611908	1.19444414199e-05	0.121361092129
b0598	9	gene	0.0133915611908	7.20900808397e-06	0.107994314518
PM0-9991	9	promoter	0.0133915611908	-8.181174515e-07	0.121387511943
b0608	9	gene	0.0133915611908	-8.181174515e-07	0.121361910247
PM0-9990	9	promoter	0.0133915611908	-8.181174515e-07	0.121362728364
PM-8821	9	promoter	0.0133915611908	-8.181174515e-07	0.120481084982
PM00102	9	promoter	0.0133915611908	-8.181174515e-07	0.108078904194
PM0-10408	9	promoter	0.0133915611908	-8.181174515e-07	0.108079722312
PM0-10406	9	promoter	0.0133915611908	-8.181174515e-07	0.108080540429
b0603	9	gene	0.0133915611908	-8.181174515e-07	0.108055821771
PM0-10368	9	promoter	0.0133915611908	-8.181174515e-07	0.108056639889
b0602	9	gene	0.0133915611908	-8.181174515e-07	0.108057458006
b0601	9	gene	0.0133915611908	-8.181174515e-07	0.108058276124
b4512	9	gene	0.0133915611908	-8.181174515e-07	0.108001523526
PM0-7163	9	promoter	0.0133915611908	-8.181174515e-07	0.107995132635
b2414	8	gene	0.0120631142409	0.0120639323584	0.421538663273
PM0-10091	8	promoter	0.0120631142409	-8.181174515e-07	0.421539481391
b3460	7	gene	0.011923176168	0.00970416054163	0.781750641858
b3458	7	gene	0.011923176168	0.00133145908132	0.780391289074
b3454	7	gene	0.011923176168	0.000347999588262	0.779864451624
b3455	7	gene	0.011923176168	0.000169806330909	0.780212451213
b3448	7	gene	0.011923176168	0.000136935115117	0.779621582134
b3440	7	gene	0.011923176168	9.33437833598e-05	0.779536419525
b3453	7	gene	0.011923176168	7.68435568902e-05	0.779788426185
b3459	7	gene	0.011923176168	2.87118200351e-05	0.781721930038
b3449	7	gene	0.011923176168	2.03130248383e-05	0.779758517249
b3450	7	gene	0.011923176168	1.1232146277e-05	0.779778830274
b3439	7	gene	0.011923176168	5.61141092249e-06	0.779530808114
b3456	7	gene	0.011923176168	5.16736823374e-06	0.780382257544
b3457	7	gene	0.011923176168	3.8641619763e-06	0.780387424912
PM00256	7	promoter	0.011923176168	-8.181174515e-07	0.791454802399
PM00257	7	promoter	0.011923176168	-8.181174515e-07	0.781722748155
PM00449	7	promoter	0.011923176168	-8.181174515e-07	0.779865269742
b3452	7	gene	0.011923176168	-8.181174515e-07	0.779789244302
b3451	7	gene	0.011923176168	-8.181174515e-07	0.77979006242
b3447	7	gene	0.011923176168	-8.181174515e-07	0.779622400251
b3446	7	gene	0.011923176168	-8.181174515e-07	0.779623218369
b3445	7	gene	0.011923176168	-8.181174515e-07	0.779624036486
b3444	7	gene	0.011923176168	-8.181174515e-07	0.779624854603
b3443	7	gene	0.011923176168	-8.181174515e-07	0.779625672721
b3442	7	gene	0.011923176168	-8.181174515e-07	0.779626490838
b3441	7	gene	0.011923176168	-8.181174515e-07	0.779627308956
PM0-8042	7	promoter	0.011923176168	-8.181174515e-07	0.779628127073
PM0-3601	7	promoter	0.011923176168	-8.181174515e-07	0.779628945191
b4451	7	gene	0.011923176168	-8.181174515e-07	0.779629763308
b1823	6	gene	0.0116207720146	0.0107619650943	0.345706902328
b1817	6	gene	0.0116207720146	0.000608135072713	0.344881993485
b1818	6	gene	0.0116207720146	0.000103987093932	0.345490128557
b1819	6	gene	0.0116207720146	0.000103515928597	0.345594115651
b1825	6	gene	0.0116207720146	2.1330223228e-05	0.35646641307
b1822	6	gene	0.0116207720146	1.17251009881e-05	0.345695177227
b1813	6	gene	0.0116207720146	7.97441048254e-06	0.344872799506
b4536	6	gene	0.0116207720146	7.46446178408e-06	0.356486107059
b1816	6	gene	0.0116207720146	5.31015545651e-06	0.344878319564
PM171	6	promoter	0.0116207720146	-8.181174515e-07	0.356486925176
b1826	6	gene	0.0116207720146	-8.181174515e-07	0.356487743294
PM0-10063	6	promoter	0.0116207720146	-8.181174515e-07	0.356468049305
PM0-10453	6	promoter	0.0116207720146	-8.181174515e-07	0.356467231188
b1824	6	gene	0.0116207720146	-8.181174515e-07	0.356468867423
b1821	6	gene	0.0116207720146	-8.181174515e-07	0.345695995345
PM0-46155	6	promoter	0.0116207720146	-8.181174515e-07	0.345696813462
b1820	6	gene	0.0116207720146	-8.181174515e-07	0.34569763158
PM00276	6	promoter	0.0116207720146	-8.181174515e-07	0.344882811602
PM0-9955	6	promoter	0.0116207720146	-8.181174515e-07	0.344883629719
b1815	6	gene	0.0116207720146	-8.181174515e-07	0.344879137681
