gene_or_promoter	start	end	strand	class	genes_in_TU	start_if_select_as_start	cannot_as_start	Uniprot	Description	Gene	proteinMW	Copies/Cell_MG1655.Glucose	g/Protein	cumulativeAbudance
PM00249	148	189	1	promoter	[b0001, b0002, b0003, b0004]	148	0						5809958.571344681	5809958.571344681
b0001	190	255	1	gene		190	0	P0AD86					5809958.571344681	11619917.142689362
b0002	337	2799	1	gene		337	0	P00561	Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) GN=thrA PE=1 SV=2	thrA	89045.79557	4375.280572451086	389600339.41587204	401220256.5585614
b0003	2801	3733	1	gene		2801	0	P00547	Homoserine kinase OS=Escherichia coli (strain K12) GN=thrB PE=1 SV=2	thrB	33583.89194	843.8283594075925	28339040.438252073	429559296.9968135
b0004	3734	5020	1	gene		3734	0	P00934	Threonine synthase OS=Escherichia coli (strain K12) GN=thrC PE=1 SV=1	thrC	47066.2141	13676.33944956671	643693520.6375829	1073252817.6343963
b0005	5234	5530	1	gene		5234	0	P75616					5809958.571344681	1079062776.205741
b0006	5683	6459	-1	gene		5683	0	P0A8I3	UPF0246 protein yaaA OS=Escherichia coli (strain K12) GN=yaaA PE=1 SV=1	yaaA	29549.3024	612.8657397620406	18109755.07482824	1097172531.280569
b0007	6529	7959	-1	gene		6529	0	P30143					5809958.571344681	1102982489.8519137
PM0-9956	8191	8237	1	promoter	[b0008]	8191	0						5809958.571344681	1108792448.4232583
b0008	8238	9191	1	gene		8238	0	P0A870	Transaldolase B OS=Escherichia coli (strain K12) GN=talB PE=1 SV=2	talB	35179.30906	9247.453775293008	325319034.3790965	1434111482.8023548
b0009	9306	9893	1	gene		9306	0	P0AF03	Molybdopterin adenylyltransferase OS=Escherichia coli (strain K12) GN=mog PE=1 SV=1	mog	21191.02051	154.73395199473205	3278970.350313722	1437390453.1526685
b0010	9928	10494	-1	gene		9928	0	P0AC98					5809958.571344681	1443200411.724013
b0011	10643	11356	-1	gene		10643	0	P75617					5809958.571344681	1449010370.2953577
b0013	11382	11786	-1	gene		11382	0	P28696					5809958.571344681	1454820328.8667023
PM00316	12048	12162	1	promoter	[b0014, b0015]	12048	0						5809958.571344681	1460630287.438047
b0014	12163	14079	1	gene		12163	0	P0A6Y8	Chaperone protein dnaK OS=Escherichia coli (strain K12) GN=dnaK PE=1 SV=2	dnaK	69054.47444	18132.697884331876	1252143922.5818377	2712774210.0198846
b0015	14168	15298	1	gene		14168	0	P08622	Chaperone protein dnaJ OS=Escherichia coli (strain K12) GN=dnaJ PE=1 SV=3	dnaJ	41056.47202	748.3045630825619	30722745.35663753	2743496955.376522
b0016	15445	16557	1	gene		15445	0	P0CF91					5809958.571344681	2749306913.947867
b0018	16751	16960	-1	gene		16751	0	P33236					5809958.571344681	2755116872.519212
b4412	16751	16903	-1	gene		16960	1	P0ACG4					5809958.571344681	2760926831.0905566
b4413	16952	17006	1	gene		16960	0						5809958.571344681	2766736789.6619015
b0019	17489	18655	1	gene		17489	0	P13738					5809958.571344681	2772546748.2332463
b0020	18715	19620	1	gene		18715	0	P0A9G2					5809958.571344681	2778356706.804591
b0021	19811	20314	-1	gene		19811	0	P0CF25					5809958.571344681	2784166665.375936
b0022	20233	20508	-1	gene		20314	0	P0CF07					5809958.571344681	2789976623.947281
b0023	20815	21078	-1	gene		20815	0	P0A7U7	30S ribosomal protein S20 OS=Escherichia coli (strain K12) GN=rpsT PE=1 SV=2	rpsT	9660.30985	31221.87332489734	301612970.415958	3091589594.363239
PM0-8222	21079	21210	-1	promoter	[b0023]	21079	0						5809958.571344681	3097399552.9345837
b0024	21181	21399	1	gene		21210	0	P75620					5809958.571344681	3103209511.5059285
PM0-8866	21383	21406	1	promoter	[b0025, b0026, b0027, b0028, b0029]	21399	0						5809958.571344681	3109019470.0772734
b0025	21407	22348	1	gene		21407	0	P0AG40	Riboflavin biosynthesis protein ribF OS=Escherichia coli (strain K12) GN=ribF PE=1 SV=1	ribF	34694.52422	92.51508996765655	3209767.029598339	3112229237.1068716
PM0-9552	21833	22390	1	promoter	[b0029, b0028, b0027, b0026]	22348	0						5809958.571344681	3118039195.6782165
b0026	22391	25207	1	gene		22391	0	P00956	Isoleucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=ileS PE=1 SV=5	ileS	104212.5396	1979.5032126473495	206289056.93633914	3324328252.6145554
PM0-9328	25014	25206	1	promoter	[b0029, b0028, b0027]	25207	1						5809958.571344681	3330138211.1859
b0027	25207	25701	1	gene		25207	0	P00804					5809958.571344681	3335948169.757245
b0028	25826	26275	1	gene		25826	0	P0AEM0	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase OS=Escherichia coli (strain K12) GN=fkpB PE=1 SV=2	fkpB	16052.92141	456.9740059498948	7335767.803926534	3343283937.5611715
b0029	26277	27227	1	gene		26277	0	P62623	4-hydroxy-3-methylbut-2-enyl diphosphate reductase OS=Escherichia coli (strain K12) GN=ispH PE=1 SV=1	ispH	34734.93615	220.2220303446042	7649398.16284319	3350933335.7240148
b0030	27293	28207	1	gene		27293	0	P22564	Non-specific ribonucleoside hydrolase rihC OS=Escherichia coli (strain K12) GN=rihC PE=1 SV=1	rihC	32521.71177	46.113880277914085	1499702.3229946094	3352433038.0470095
PM0-9557	28288	28373	1	promoter	[b0031]	28288	0						5809958.571344681	3358242996.6183543
b0031	28374	29195	1	gene		28374	0	P04036	Dihydrodipicolinate reductase OS=Escherichia coli (strain K12) GN=dapB PE=1 SV=1	dapB	28720.56121	3108.885778055264	89288944.28353468	3447531940.901889
PM00151	29551	29650	1	promoter	[b0032, b0033]	29551	0						5809958.571344681	3453341899.4732337
b0032	29651	30799	1	gene		29651	0	P0A6F1	Carbamoyl-phosphate synthase small chain OS=Escherichia coli (strain K12) GN=carA PE=1 SV=1	carA	41387.12046	9270.2399070087	383668535.72446823	3837010435.197702
PM00319	30775	30816	1	promoter	[b0033]	30799	0						5809958.571344681	3842820393.769047
b0033	30817	34038	1	gene		30817	0	P00968	Carbamoyl-phosphate synthase large chain OS=Escherichia coli (strain K12) GN=carB PE=1 SV=2	carB	117749.3328	4413.609039539936	519699519.6458763	4362519913.414923
PM338	34218	34299	1	promoter	[b0034]	34218	0						5809958.571344681	4368329871.986267
b0034	34300	34695	1	gene		34300	0	P0AE58					5809958.571344681	4374139830.557611
b0035	34781	35371	-1	gene		34781	0	P39206					5809958.571344681	4379949789.128956
b0036	35377	36162	-1	gene		35377	0	P31551					5809958.571344681	4385759747.7003
b0037	36271	37824	-1	gene		36271	0	P31552					5809958.571344681	4391569706.271645
b0038	37898	39115	-1	gene		37898	0	P31572					5809958.571344681	4397379664.842989
b0039	39244	40386	-1	gene		39244	0	P60584					5809958.571344681	4403189623.414333
b0040	40417	41931	-1	gene		40417	0	P31553					5809958.571344681	4408999581.985678
PM00528	41932	42037	-1	promoter	[b0035, b0036, b0037, b0038, b0039, b0040]	41932	0						5809958.571344681	4414809540.557022
PM339	42325	42402	1	promoter	[b0044, b0043, b0042, b0041]	42325	0						5809958.571344681	4420619499.128366
b0041	42403	43173	1	gene		42403	0	P60566					5809958.571344681	4426429457.699711
b0042	43188	44129	1	gene		43188	0	P31574					5809958.571344681	4432239416.271055
b0043	44180	45466	1	gene		44180	0	P68644					5809958.571344681	4438049374.8424
b0044	45463	45750	1	gene		45466	0	P68646					5809958.571344681	4443859333.413744
PM0-10464	45592	45806	1	promoter	[b0045]	45750	0						5809958.571344681	4449669291.985088
b0045	45807	47138	1	gene		45807	0	P31679					5809958.571344681	4455479250.556433
b0046	47246	47776	1	gene		47246	0	P0A754					5809958.571344681	4461289209.127777
b0047	47769	49631	1	gene		47776	0	P03819					5809958.571344681	4467099167.699121
PM00320	49799	49822	1	promoter	[b0048]	49799	0						5809958.571344681	4472909126.270466
b0048	49823	50302	1	gene		49823	0	P0ABQ4	Dihydrofolate reductase OS=Escherichia coli (strain K12) GN=folA PE=1 SV=1	folA	17969.89353	248.950469397662	4473613.429319509	4477382739.699785
b0049	50380	51222	-1	gene		50380	0	P05637	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical] OS=Escherichia coli (strain K12) GN=apaH PE=1 SV=2	apaH	31258.68847	44.40289618486112	1387976.2990083254	4478770715.998794
b0050	51229	51606	-1	gene		51229	0	P62672	Protein ApaG OS=Escherichia coli (strain K12) GN=apaG PE=3 SV=1	apaG	13840.01621	0.01319444274010949	182.61130140503215	4478770898.610095
PM0-5442	51607	52034	-1	promoter	[b0049, b0050]	51607	0						5809958.571344681	4484580857.181439
b0051	51609	52430	-1	gene		52034	0	P06992	Ribosomal RNA small subunit methyltransferase A OS=Escherichia coli (strain K12) GN=rsmA PE=1 SV=1	rsmA	30382.61031	196.79403925068658	5979116.605884455	4490559973.787324
b0052	52427	53416	-1	gene		52430	0	P19624	4-hydroxythreonine-4-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=pdxA PE=1 SV=1	pdxA	35073.53746	120.56260496351658	4228557.041463081	4494788530.828787
PM0-5426	52431	52588	-1	promoter	[b0049, b0050, b0051]	53416	1						5809958.571344681	4500598489.400131
b0053	53416	54702	-1	gene		53416	0	P0ABZ6	Chaperone surA OS=Escherichia coli (strain K12) GN=surA PE=1 SV=1	surA	47236.24996	1532.6019626421314	72394369.3965503	4572992858.796681
b0054	54755	57109	-1	gene		54755	0	P31554	LPS-assembly protein lptD OS=Escherichia coli (strain K12) GN=lptD PE=1 SV=2	lptD	89597.20601	456.3405810305086	40886841.049313575	4613879699.845995
PM0-4527	57110	57336	-1	promoter	[b0052, b0053, b0054]	57110	0						5809958.571344681	4619689658.417339
PM0-4525	57110	57241	-1	promoter	[b0054]	57336	1						5809958.571344681	4625499616.988684
b0055	57364	58179	1	gene		57364	0	P31680	DnaJ-like protein djlA OS=Escherichia coli (strain K12) GN=djlA PE=1 SV=1	djlA	30541.54864	0.8278065024347802	25282.492558620117	4625524899.481242
b4659	58474	59279	1	gene		58474	0						5809958.571344681	4631334858.052587
b0058	59687	60346	-1	gene		59687	0	P0AA37					5809958.571344681	4637144816.623931
b0059	60358	63264	-1	gene		60358	0	P60240	RNA polymerase-associated protein rapA OS=Escherichia coli (strain K12) GN=rapA PE=1 SV=2	rapA	109682.6916	77.21861607265815	8469545.652476167	4645614362.276407
PM0-4081	63265	63358	-1	promoter	[b0058, b0059]	63265	0						5809958.571344681	4651424320.847752
PM0-9741	63265	63588	-1	promoter	[b0059]	63358	0						5809958.571344681	4657234279.419096
b0060	63429	65780	-1	gene		63588	0	P21189					5809958.571344681	4663044237.99044
PM0-7961	65781	65803	-1	promoter	[b0060]	65781	0						5809958.571344681	4668854196.561785
b0061	65855	66550	-1	gene		65855	0	P08203					5809958.571344681	4674664155.133129
b0062	66835	68337	-1	gene		66835	0	P08202					5809958.571344681	4680474113.7044735
b0063	68348	70048	-1	gene		68348	0	P08204					5809958.571344681	4686284072.275818
PM00003	70049	70075	-1	promoter	[b0061, b0062, b0063]	70049	0						5809958.571344681	4692094030.847162
PM00004	70241	70386	1	promoter	[b0064]	70241	0						5809958.571344681	4697903989.418507
b0064	70387	71265	1	gene		70387	0	P0A9E0					5809958.571344681	4703713947.989851
PM0-9957	71271	71350	1	promoter	[b0065]	71271	0						5809958.571344681	4709523906.561195
b0065	71351	72115	1	gene		71351	0	P30149					5809958.571344681	4715333865.13254
b0066	72229	72927	-1	gene		72229	0	P31548					5809958.571344681	4721143823.703884
b0067	72911	74521	-1	gene		72927	0	P31549					5809958.571344681	4726953782.2752285
b0068	74497	75480	-1	gene		74521	0	P31550	Thiamine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=thiB PE=1 SV=2	thiB	36122.50419	9.973192412516514	360256.684708804	4727314038.959937
sroA	75516	75608	-1	gene		75516	0						5809958.571344681	4733123997.531281
PM0-9626	75609	75608	-1	promoter	[sroA]	75609	1						5809958.571344681	4738933956.102626
b0069	75644	77299	-1	gene		75644	0	P33595					5809958.571344681	4744743914.67397
PM0-9592	77300	77338	-1	promoter	[b0069, b0068, b0067, b0066]	77300	0						5809958.571344681	4750553873.245315
PM0-9591	77367	77366	1	promoter	[b4662, b0070, b4577]	77367	1						5809958.571344681	4756363831.816659
b4577	77367	77593	1	gene		77367	0						5809958.571344681	4762173790.388003
b4662	77388	77519	1	gene		77593	1	C1P5Z7					5809958.571344681	4767983748.959348
b0070	77621	78799	1	gene		77621	0	P31675					5809958.571344681	4773793707.530692
b0071	78848	79453	-1	gene		78848	0	P30126	3-isopropylmalate dehydratase small subunit OS=Escherichia coli (strain K12) GN=leuD PE=1 SV=3	leuD	22455.24259	6487.3210939189685	145674368.92317462	4919468076.453867
b0072	79464	80864	-1	gene		79464	0	P0A6A6	3-isopropylmalate dehydratase large subunit OS=Escherichia coli (strain K12) GN=leuC PE=1 SV=2	leuC	49832.04222	4175.182141874766	208057852.77009338	5127525929.22396
b0073	80867	81958	-1	gene		80867	0	P30125	3-isopropylmalate dehydrogenase OS=Escherichia coli (strain K12) GN=leuB PE=1 SV=3	leuB	39474.00703	3580.7473714714606	141346446.91411847	5268872376.138079
