,gene,Step,E_coli_W3110
b0061,araD,29,W3110_lambdaRed.CDS.57
b0062,araA,29,W3110_lambdaRed.CDS.58
b0063,araB,29,W3110_lambdaRed.CDS.59
b0064,araC,29,W3110_lambdaRed.CDS.60
b0065,yabI,29,W3110_lambdaRed.CDS.61
b0066,thiQ,29,W3110_lambdaRed.CDS.62
b0067,thiP,29,W3110_lambdaRed.CDS.63
b0068,tbpA,29,W3110_lambdaRed.CDS.64
b0069,sgrR,29,W3110_lambdaRed.CDS.65
b0070,setA,29,W3110_lambdaRed.CDS.67
b0150,fhuA,28,W3110_lambdaRed.CDS.150
b0151,fhuC,28,W3110_lambdaRed.CDS.151
b0152,fhuD,28,W3110_lambdaRed.CDS.152
b0153,fhuB,28,W3110_lambdaRed.CDS.153
b0223,yafJ,9,W3110_lambdaRed.CDS.219
b0224,yafK,9,W3110_lambdaRed.CDS.220
b0225,yafQ,9,W3110_lambdaRed.CDS.221
b0226,dinJ,9,W3110_lambdaRed.CDS.222
b0227,yafL,9,W3110_lambdaRed.CDS.223
b0228,yafM,9,W3110_lambdaRed.CDS.224
b0231,dinB,9,W3110_lambdaRed.CDS.227
b0232,yafN,9,W3110_lambdaRed.CDS.228
b0233,yafO,9,W3110_lambdaRed.CDS.229
b0234,yafP,9,W3110_lambdaRed.CDS.230
b0235,ykfJ,9,
b0236,prfH,9,
b0245,ykfI,9,W3110_lambdaRed.CDS.240
b0246,yafW,9,
b0247,ykfG,9,W3110_lambdaRed.CDS.243
b0248,yafX,9,W3110_lambdaRed.CDS.244
b0249,ykfF,9,W3110_lambdaRed.CDS.245
b0250,ykfB,9,W3110_lambdaRed.CDS.246
b0251,yafY,9,W3110_lambdaRed.CDS.247
b0252,yafZ,9,W3110_lambdaRed.CDS.249
b0253,ykfA,9,W3110_lambdaRed.CDS.250
b0254,perR,9,W3110_lambdaRed.CDS.251
b0255,insN,9,W3110_lambdaRed.CDS.252
b0256,insI,9,W3110_lambdaRed.CDS.253
b0257,insO,9,W3110_lambdaRed.CDS.254
b0258,ykfC,9,W3110_lambdaRed.CDS.255
b0259,insH,9,W3110_lambdaRed.CDS.2982
b0259,insH,9,W3110_lambdaRed.CDS.256
b0259,insH,9,W3110_lambdaRed.CDS.2188
b0259,insH,9,W3110_lambdaRed.CDS.2081
b0259,insH,9,W3110_lambdaRed.CDS.2016
b0259,insH,9,W3110_lambdaRed.CDS.1887
b0259,insH,9,W3110_lambdaRed.CDS.1309
b0259,insH,9,W3110_lambdaRed.CDS.667
b0259,insH,9,W3110_lambdaRed.CDS.3569
b0259,insH,9,W3110_lambdaRed.CDS.629
b0259,insH,9,W3110_lambdaRed.CDS.552
b0259,insH,9,W3110_lambdaRed.CDS.4109
b0259,insH,9,W3110_lambdaRed.CDS.3787
b0259,insH,9,W3110_lambdaRed.CDS.3572
b0259,insH,9,W3110_lambdaRed.CDS.3221
b0259,insH,9,W3110_lambdaRed.CDS.3116
b0260,mmuP,9,W3110_lambdaRed.CDS.257
b0261,mmuM,9,W3110_lambdaRed.CDS.258
b0262,afuC,9,W3110_lambdaRed.CDS.259
b0263,afuB,9,
b0264,insB,9,W3110_lambdaRed.CDS.261
b0264,insB,9,W3110_lambdaRed.CDS.272
b0265,insA,9,
b0266,yagB,9,W3110_lambdaRed.CDS.263
b0267,yagA,9,W3110_lambdaRed.CDS.264
b0268,yagE,9,W3110_lambdaRed.CDS.265
b0269,yagF,9,W3110_lambdaRed.CDS.266
b0270,yagG,9,W3110_lambdaRed.CDS.267
b0271,yagH,9,W3110_lambdaRed.CDS.268
b0272,yagI,9,W3110_lambdaRed.CDS.269
b0273,argF,9,W3110_lambdaRed.CDS.270
b0274,insB,9,
b0275,insA,9,
b0276,yagJ,9,W3110_lambdaRed.CDS.273
b0277,yagK,9,W3110_lambdaRed.CDS.274
b0278,yagL,9,W3110_lambdaRed.CDS.275
b0279,yagM,9,W3110_lambdaRed.CDS.276
b0280,yagN,9,
b0281,intF,9,W3110_lambdaRed.CDS.278
b0282,yagP,9,
b0283,yagQ,9,W3110_lambdaRed.CDS.279
b0284,yagR,9,W3110_lambdaRed.CDS.280
b0285,yagS,9,W3110_lambdaRed.CDS.281
b0286,yagT,9,W3110_lambdaRed.CDS.282
b0287,yagU,9,W3110_lambdaRed.CDS.284
b0288,ykgJ,9,
b0289,yagV,9,
b0290,yagW,9,
b0291,yagX,9,
b0292,yagY,9,
b0293,yagZ,9,W3110_lambdaRed.CDS.290
b0294,ykgK,9,W3110_lambdaRed.CDS.291
b0295,ykgL,9,
b0296,ykgM,9,W3110_lambdaRed.CDS.293
b0297,eaeH,9,
b0298,insE,9,W3110_lambdaRed.CDS.2074
b0298,insE,9,W3110_lambdaRed.CDS.295
b0298,insE,9,W3110_lambdaRed.CDS.369
b0298,insE,9,W3110_lambdaRed.CDS.540
b0299,insF,9,W3110_lambdaRed.CDS.2075
b0299,insF,9,W3110_lambdaRed.CDS.296
b0299,insF,9,W3110_lambdaRed.CDS.368
b0299,insF,9,W3110_lambdaRed.CDS.541
b0300,ykgA,9,W3110_lambdaRed.CDS.297
