$gene_or_promoter	SolutionOrder	class	mass reclaimed $(fg/cell)$	iBAQ_Step04	iBAQ_Step04_cumulative_abundance
b0957	11	gene	0.0155150609941	0.0146281927634	0.195489184649
b0965	11	gene	0.0155150609941	0.000364119420812	0.210459771955
b0963	11	gene	0.0155150609941	0.000207029592316	0.210253811709
b0961	11	gene	0.0155150609941	9.97886776082e-05	0.210122573043
b0967	11	gene	0.0155150609941	6.65651911236e-05	0.210832288527
b0955	11	gene	0.0155150609941	5.465257941e-05	0.195414893188
b0962	11	gene	0.0155150609941	3.21628863841e-05	0.210221648823
b0968	11	gene	0.0155150609941	3.11004643099e-05	0.210898853718
b0956	11	gene	0.0155150609941	1.99953305211e-05	0.195469189319
b0966	11	gene	0.0155150609941	8.39715055057e-06	0.210823891376
b0960	11	gene	0.0155150609941	6.97787480941e-06	0.210115595168
PM0-36218	11	promoter	0.0155150609941	-3.56448835719e-07	0.210460128404
b0964	11	gene	0.0155150609941	-3.56448835719e-07	0.210460484853
PM0-10012	11	promoter	0.0155150609941	-3.56448835719e-07	0.210460841302
PM0-36233	11	promoter	0.0155150609941	-3.56448835719e-07	0.210222005272
PM0-36232	11	promoter	0.0155150609941	-3.56448835719e-07	0.210222361721
b0959	11	gene	0.0155150609941	-3.56448835719e-07	0.210115951617
PM0-46336	11	promoter	0.0155150609941	-3.56448835719e-07	0.210116308066
PM00092	11	promoter	0.0155150609941	-3.56448835719e-07	0.210116664515
b0958	11	gene	0.0155150609941	-3.56448835719e-07	0.210117020964
PM00064	11	promoter	0.0155150609941	-3.56448835719e-07	0.210117377413
PM0-10011	11	promoter	0.0155150609941	-3.56448835719e-07	0.195469545767
b1823	10	gene	0.0133394881983	0.011852763841	0.339224470947
b1817	10	gene	0.0133394881983	0.00102293406013	0.337800416046
b1818	10	gene	0.0133394881983	0.000226395855157	0.338823350106
b1819	10	gene	0.0133394881983	0.000162926090908	0.339049745962
b1825	10	gene	0.0133394881983	4.42581049098e-05	0.351076165442
b1822	10	gene	0.0133394881983	1.28682412118e-05	0.339211602706
b1816	10	gene	0.0133394881983	8.45449515426e-06	0.337792674449
b4536	10	gene	0.0133394881983	7.47196241328e-06	0.351119710649
b1813	10	gene	0.0133394881983	6.04938228211e-06	0.337787694413
PM171	10	promoter	0.0133394881983	-3.56448835719e-07	0.351120067098
b1826	10	gene	0.0133394881983	-3.56448835719e-07	0.351120423547
PM0-10453	10	promoter	0.0133394881983	-3.56448835719e-07	0.351076521891
PM0-10063	10	promoter	0.0133394881983	-3.56448835719e-07	0.351076878339
b1824	10	gene	0.0133394881983	-3.56448835719e-07	0.351077234788
b1821	10	gene	0.0133394881983	-3.56448835719e-07	0.339211959155
PM0-46155	10	promoter	0.0133394881983	-3.56448835719e-07	0.339212315604
b1820	10	gene	0.0133394881983	-3.56448835719e-07	0.339212672053
PM00276	10	promoter	0.0133394881983	-3.56448835719e-07	0.337800772495
PM0-9955	10	promoter	0.0133394881983	-3.56448835719e-07	0.337801128944
b1815	10	gene	0.0133394881983	-3.56448835719e-07	0.337793030898
b1814	10	gene	0.0133394881983	-3.56448835719e-07	0.337793387347
PM00307	10	promoter	0.0133394881983	-3.56448835719e-07	0.337793743795
b0605	9	gene	0.0123131751331	0.0112849109633	0.117886510508
b0607	9	gene	0.0123131751331	0.000534966858167	0.129508579605
b0606	9	gene	0.0123131751331	0.000337514582578	0.129171065023
b0600	9	gene	0.0123131751331	4.92653389958e-05	0.117813605825
b0599	9	gene	0.0123131751331	4.02790624803e-05	0.117773326763
b0604	9	gene	0.0123131751331	2.61344857794e-05	0.117861445369
b0610	9	gene	0.0123131751331	1.6794578501e-05	0.130042833566
b0611	9	gene	0.0123131751331	1.61117809917e-05	0.130059628144
b0598	9	gene	0.0123131751331	1.18313171699e-05	0.117761851895
PM0-9991	9	promoter	0.0123131751331	-3.56448835719e-07	0.130075739925
b0608	9	gene	0.0123131751331	-3.56448835719e-07	0.130043190015
PM0-9990	9	promoter	0.0123131751331	-3.56448835719e-07	0.130043546463
PM-8821	9	promoter	0.0123131751331	-3.56448835719e-07	0.129171421472
PM00102	9	promoter	0.0123131751331	-3.56448835719e-07	0.117886866957
PM0-10408	9	promoter	0.0123131751331	-3.56448835719e-07	0.117887223406
PM0-10406	9	promoter	0.0123131751331	-3.56448835719e-07	0.117887579855
b0603	9	gene	0.0123131751331	-3.56448835719e-07	0.117861801818
PM0-10368	9	promoter	0.0123131751331	-3.56448835719e-07	0.117862158267
b0602	9	gene	0.0123131751331	-3.56448835719e-07	0.117862514716
b0601	9	gene	0.0123131751331	-3.56448835719e-07	0.117862871164
b4512	9	gene	0.0123131751331	-3.56448835719e-07	0.117773683212
PM0-7163	9	promoter	0.0123131751331	-3.56448835719e-07	0.117762208343
b2414	8	gene	0.0121731290989	0.0121734855478	0.40919545119
PM0-10091	8	promoter	0.0121731290989	-3.56448835719e-07	0.409195807638
b0023	7	gene	0.0112579274151	0.0112582838639	0.00836679474165
PM0-8222	7	promoter	0.0112579274151	-3.56448835719e-07	0.0196250786056
b1480	6	gene	0.0105082354916	0.00457177351967	0.276538441008
b1482	6	gene	0.0105082354916	0.00326989254118	0.281108788732
b1452	6	gene	0.0105082354916	0.00166460770466	0.274643903908
b1493	6	gene	0.0105082354916	0.000626547278965	0.284506039001
b1479	6	gene	0.0105082354916	0.000140012522579	0.276398428485
b1492	6	gene	0.0105082354916	0.000125639660339	0.284380399341
b1461	6	gene	0.0105082354916	6.8217067239e-05	0.276305303573
b1478	6	gene	0.0105082354916	1.97201715305e-05	0.276378708314
b1464	6	gene	0.0105082354916	1.16037525637e-05	0.276372807743
b1494	6	gene	0.0105082354916	1.11827324693e-05	0.285132229831
b1497	6	gene	0.0105082354916	8.22644125742e-06	0.285144982305
b1490	6	gene	0.0105082354916	2.64886949178e-06	0.28437810692
b1495	6	gene	0.0105082354916	1.92619021463e-06	0.285143412563
b1487	6	gene	0.0105082354916	1.92078816982e-06	0.284377255478
PM0-44963	6	promoter	0.0105082354916	-3.56448835719e-07	0.285152852297
b1498	6	gene	0.0105082354916	-3.56448835719e-07	0.285153208746
b1496	6	gene	0.0105082354916	-3.56448835719e-07	0.285145338754
PM450	6	promoter	0.0105082354916	-3.56448835719e-07	0.28513258628
b1491	6	gene	0.0105082354916	-3.56448835719e-07	0.284380755789
b1489	6	gene	0.0105082354916	-3.56448835719e-07	0.284378463369
PM0-46160	6	promoter	0.0105082354916	-3.56448835719e-07	0.284378819818
b1488	6	gene	0.0105082354916	-3.56448835719e-07	0.284379176266
b1486	6	gene	0.0105082354916	-3.56448835719e-07	0.284377611927
b1485	6	gene	0.0105082354916	-3.56448835719e-07	0.284377968376
b1484	6	gene	0.0105082354916	-3.56448835719e-07	0.284378324825
b1483	6	gene	0.0105082354916	-3.56448835719e-07	0.284378681274
PM00544	6	promoter	0.0105082354916	-3.56448835719e-07	0.281109145181
PM0-7481	6	promoter	0.0105082354916	-3.56448835719e-07	0.28110950163
b1481	6	gene	0.0105082354916	-3.56448835719e-07	0.281109858079
PM0-4141	6	promoter	0.0105082354916	-3.56448835719e-07	0.281110214528
b1477	6	gene	0.0105082354916	-3.56448835719e-07	0.276379064763
b1476	6	gene	0.0105082354916	-3.56448835719e-07	0.276379421212
b1475	6	gene	0.0105082354916	-3.56448835719e-07	0.27637977766
b1474	6	gene	0.0105082354916	-3.56448835719e-07	0.276380134109
PM00217	6	promoter	0.0105082354916	-3.56448835719e-07	0.276380490558
PM0-10383	6	promoter	0.0105082354916	-3.56448835719e-07	0.276380847007
b1473	6	gene	0.0105082354916	-3.56448835719e-07	0.276381203456
b1472	6	gene	0.0105082354916	-3.56448835719e-07	0.276381559905
b1471	6	gene	0.0105082354916	-3.56448835719e-07	0.276381916353
PM0-2841	6	promoter	0.0105082354916	-3.56448835719e-07	0.276382272802
b1469	6	gene	0.0105082354916	-3.56448835719e-07	0.276382629251
b1468	6	gene	0.0105082354916	-3.56448835719e-07	0.2763829857
PM-8813	6	promoter	0.0105082354916	-3.56448835719e-07	0.276383342149
b1467	6	gene	0.0105082354916	-3.56448835719e-07	0.276383698598
b1466	6	gene	0.0105082354916	-3.56448835719e-07	0.276384055046
b1465	6	gene	0.0105082354916	-3.56448835719e-07	0.276384411495
b1463	6	gene	0.0105082354916	-3.56448835719e-07	0.276373164192
b1462	6	gene	0.0105082354916	-3.56448835719e-07	0.27637352064
b1460	6	gene	0.0105082354916	-3.56448835719e-07	0.276305660022
b1459	6	gene	0.0105082354916	-3.56448835719e-07	0.276306016471
b1457	6	gene	0.0105082354916	-3.56448835719e-07	0.27630637292
b1456	6	gene	0.0105082354916	-3.56448835719e-07	0.276306729369
b1455	6	gene	0.0105082354916	-3.56448835719e-07	0.276307085817
b1454	6	gene	0.0105082354916	-3.56448835719e-07	0.276307442266
PM0-10042	6	promoter	0.0105082354916	-3.56448835719e-07	0.276307798715
PM0-8528	6	promoter	0.0105082354916	-3.56448835719e-07	0.276308155164
b1453	6	gene	0.0105082354916	-3.56448835719e-07	0.276308511613
PM0-10041	6	promoter	0.0105082354916	-3.56448835719e-07	0.274644260357
b3829	5	gene	0.0100028559456	0.00869043186555	0.857717209505
b3831	5	gene	0.0100028559456	0.000946427462522	0.866768587526
b3830	5	gene	0.0100028559456	0.0003616590529	0.86640764137
b3832	5	gene	0.0100028559456	5.40691109036e-06	0.867715014988
PM00179	5	promoter	0.0100028559456	-3.56448835719e-07	0.866768943974
PM0-9097	5	promoter	0.0100028559456	-3.56448835719e-07	0.866769300423
PM0-8601	5	promoter	0.0100028559456	-3.56448835719e-07	0.857717565954
b3984	4	gene	0.00862724511233	0.00480984624346	0.891719778866
b3983	4	gene	0.00862724511233	0.0038177553177	0.887902023548
PM00496	4	promoter	0.00862724511233	-3.56448835719e-07	0.887902379997
b3460	3	gene	0.00790173816257	0.00585401356998	0.778480093277
b3458	3	gene	0.00790173816257	0.00108086034535	0.777329734624
b3454	3	gene	0.00790173816257	0.000325947867412	0.77683352282
b3455	3	gene	0.00790173816257	0.000160784116473	0.777159470688
b3440	3	gene	0.00790173816257	0.000140265665066	0.77643937814
b3448	3	gene	0.00790173816257	0.000121639057608	0.776576079317
b3453	3	gene	0.00790173816257	0.000103797529174	0.77673008174
b3459	3	gene	0.00790173816257	6.98547570557e-05	0.77841023852
b3449	3	gene	0.00790173816257	2.02381103092e-05	0.776697718375
b3450	3	gene	0.00790173816257	1.2838152737e-05	0.776717956485
b3439	3	gene	0.00790173816257	7.36590453697e-06	0.776432012236
b3456	3	gene	0.00790173816257	5.65332390081e-06	0.777320254804
b3457	3	gene	0.00790173816257	3.82649550263e-06	0.777325908128
PM00256	3	promoter	0.00790173816257	-3.56448835719e-07	0.784334106847
PM00257	3	promoter	0.00790173816257	-3.56448835719e-07	0.778410594969
PM00449	3	promoter	0.00790173816257	-3.56448835719e-07	0.776833879269
b3452	3	gene	0.00790173816257	-3.56448835719e-07	0.776730438189
b3451	3	gene	0.00790173816257	-3.56448835719e-07	0.776730794638
b3447	3	gene	0.00790173816257	-3.56448835719e-07	0.776576435766
b3446	3	gene	0.00790173816257	-3.56448835719e-07	0.776576792215
b3445	3	gene	0.00790173816257	-3.56448835719e-07	0.776577148664
b3444	3	gene	0.00790173816257	-3.56448835719e-07	0.776577505112
b3443	3	gene	0.00790173816257	-3.56448835719e-07	0.776577861561
b3442	3	gene	0.00790173816257	-3.56448835719e-07	0.77657821801
b3441	3	gene	0.00790173816257	-3.56448835719e-07	0.776578574459
PM0-8042	3	promoter	0.00790173816257	-3.56448835719e-07	0.776578930908
PM0-3601	3	promoter	0.00790173816257	-3.56448835719e-07	0.776579287357
b4451	3	gene	0.00790173816257	-3.56448835719e-07	0.776579643805
b0436	2	gene	0.0072667468437	0.0042284436121	0.0916647031253
b0437	2	gene	0.0072667468437	0.0023113702339	0.0958920773909
b0438	2	gene	0.0072667468437	0.00044665310545	0.0982030911759
b0439	2	gene	0.0072667468437	0.000282775034107	0.0986490313837
PM00511	2	promoter	0.0072667468437	-3.56448835719e-07	0.0986493878325
sraA	2	gene	0.0072667468437	-3.56448835719e-07	0.0986497442814
PM0-9696	2	promoter	0.0072667468437	-3.56448835719e-07	0.0982034476247
PM00569	2	promoter	0.0072667468437	-3.56448835719e-07	0.0958924338397
PM0-9744	2	promoter	0.0072667468437	-3.56448835719e-07	0.0958927902885
PM00339	2	promoter	0.0072667468437	-3.56448835719e-07	0.0958931467374
PM0-9980	2	promoter	0.0072667468437	-3.56448835719e-07	0.0916650595741
b3495	1	gene	0.00713520824561	0.00648620459874	0.785473328097
b3500	1	gene	0.00713520824561	0.000242351678193	0.792212390696
b3498	1	gene	0.00713520824561	0.000221688615023	0.791958819798
b3487	1	gene	0.00713520824561	7.41941266695e-05	0.785325884516
b3493	1	gene	0.00713520824561	7.30820904572e-05	0.785401315353
b3499	1	gene	0.00713520824561	3.29516291005e-05	0.792179795515
