E_coli_K12	E_coli_W3110	Identity_E_coli_K12.to.E_coli_W3110	Identity_E_coli_W3110.to.E_coli_K12
sp|A5A607|YLCI_ECOLI	W3110_lambdaRed.CDS.560	100.0	100.0
sp|P39306|ULAF_ECOLI	W3110_lambdaRed.CDS.4224	100.0	100.0
sp|P39282|YJEM_ECOLI	W3110_lambdaRed.CDS.4185	100.0	100.0
sp|P39283|YJEN_ECOLI	W3110_lambdaRed.CDS.4186	100.0	100.0
sp|P39284|YJEO_ECOLI	W3110_lambdaRed.CDS.4187	100.0	100.0
sp|P39285|MSCM_ECOLI	W3110_lambdaRed.CDS.4188	100.0	100.0
sp|P39286|RSGA_ECOLI	W3110_lambdaRed.CDS.4190	100.0	100.0
sp|P39288|QUEG_ECOLI	W3110_lambdaRed.CDS.4192	100.0	100.0
sp|P39293|YJFK_ECOLI	W3110_lambdaRed.CDS.4209	100.0	100.0
sp|P39295|YJFM_ECOLI	W3110_lambdaRed.CDS.4211	100.0	100.0
sp|P39297|BSMA_ECOLI	W3110_lambdaRed.CDS.4215	100.0	100.0
sp|P39298|YJFP_ECOLI	W3110_lambdaRed.CDS.4216	100.0	100.0
sp|P39300|ULAG_ECOLI	W3110_lambdaRed.CDS.4218	100.0	100.0
sp|P39301|ULAA_ECOLI	W3110_lambdaRed.CDS.4219	100.0	100.0
sp|P39304|ULAD_ECOLI	W3110_lambdaRed.CDS.4222	100.0	100.0
sp|P39305|ULAE_ECOLI	W3110_lambdaRed.CDS.4223	100.0	100.0
sp|P39308|YJFZ_ECOLI	W3110_lambdaRed.CDS.4229	100.0	100.0
sp|P40719|QSEC_ECOLI	W3110_lambdaRed.CDS.3026	100.0	100.0
sp|P39310|YTFB_ECOLI	W3110_lambdaRed.CDS.4231	100.0	100.0
sp|P39314|YTFF_ECOLI	W3110_lambdaRed.CDS.4235	100.0	100.0
sp|P39315|QOR2_ECOLI	W3110_lambdaRed.CDS.4236	100.0	100.0
sp|P39317|YTFI_ECOLI	W3110_lambdaRed.CDS.4240	100.0	100.0
sp|P39321|TAMB_ECOLI	W3110_lambdaRed.CDS.4247	100.0	100.0
sp|P39325|YTFQ_ECOLI	W3110_lambdaRed.CDS.4252	100.0	100.0
sp|P39328|YTFT_ECOLI	W3110_lambdaRed.CDS.4254	100.0	100.0
sp|P39332|YJGH_ECOLI	W3110_lambdaRed.CDS.4271	100.0	100.0
sp|P39333|BDCA_ECOLI	W3110_lambdaRed.CDS.4272	100.0	100.0
sp|P39334|BDCR_ECOLI	W3110_lambdaRed.CDS.4273	100.0	100.0
sp|P39336|YJGL_ECOLI	W3110_lambdaRed.CDS.4275	100.0	100.0
sp|P39337|YJGM_ECOLI	W3110_lambdaRed.CDS.4278	100.0	100.0
sp|P39338|YJGN_ECOLI	W3110_lambdaRed.CDS.4279	100.0	100.0
sp|P39342|YJGR_ECOLI	W3110_lambdaRed.CDS.4286	100.0	100.0
sp|P39280|EPMB_ECOLI	W3110_lambdaRed.CDS.4173	100.0	100.0
sp|P39279|YJEJ_ECOLI	W3110_lambdaRed.CDS.4172	100.0	100.0
sp|P39277|YJEH_ECOLI	W3110_lambdaRed.CDS.4168	100.0	100.0
sp|P39276|DTPC_ECOLI	W3110_lambdaRed.CDS.4158	100.0	100.0
sp|P38392|SIEB_ECOLI	W3110_lambdaRed.CDS.1330	100.0	100.0
sp|P38393|KILR_ECOLI	W3110_lambdaRed.CDS.1329	100.0	100.0
sp|P38394|YDAE_ECOLI	W3110_lambdaRed.CDS.1328	100.0	100.0
sp|P38489|NFSB_ECOLI	W3110_lambdaRed.CDS.579	100.0	100.0
sp|P38506|XNI_ECOLI	W3110_lambdaRed.CDS.2800	100.0	100.0
sp|P38521|YGGL_ECOLI	W3110_lambdaRed.CDS.2958	100.0	100.0
sp|P39099|DEGQ_ECOLI	W3110_lambdaRed.CDS.3238	100.0	100.0
sp|P39160|UXUB_ECOLI	W3110_lambdaRed.CDS.4355	100.0	100.0
sp|P39161|UXUR_ECOLI	W3110_lambdaRed.CDS.4356	100.0	100.0
sp|P39165|YCHO_ECOLI	W3110_lambdaRed.CDS.1192	100.0	100.0
sp|P39172|ZNUA_ECOLI	W3110_lambdaRed.CDS.1849	100.0	100.0
sp|P39173|YEAD_ECOLI	W3110_lambdaRed.CDS.1768	100.0	100.0
sp|P39176|ERFK_ECOLI	W3110_lambdaRed.CDS.1973	100.0	100.0
sp|P39177|USPG_ECOLI	W3110_lambdaRed.CDS.614	100.0	100.0
sp|P39180|AG43_ECOLI	W3110_lambdaRed.CDS.1985	100.0	100.0
