gene_or_promoter	start	end	strand	class	genes_in_TU	start_if_select_as_start	cannot_as_start	Uniprot	Description	Gene	Cellular protein location (according to www.uniprot.org)	A14.07036	A14.07037	A14.07038	kDa/Protein	cumulativeAbundance
PM00249	148	189	1	promoter	[b0001, b0002, b0003, b0004]	148	0								10.0	0.0
b0001	190	255	1	gene		190	0	P0AD86							110.73090803705458	10.0
b0002	337	2799	1	gene		337	0	P00561							110.73090803705458	120.73090803705458
b0003	2801	3733	1	gene		2801	0	P00547	Homoserine kinase OS=Escherichia coli (strain K12) GN=thrB PE=1 SV=2	thrB	Cytoplasm	0.03313050728592512	0.03255620802110336	0.03330208746932849	110.73090803705458	231.46181607410915
b0004	3734	5020	1	gene		3734	0	P00934							110.73090803705458	342.1927241111637
b0005	5234	5530	1	gene		5234	0	P75616							110.73090803705458	452.9236321482183
b0006	5683	6459	-1	gene		5683	0	P0A8I3							110.73090803705458	563.6545401852729
b0007	6529	7959	-1	gene		6529	0	P30143							110.73090803705458	674.3854482223276
PM0-9956	8191	8237	1	promoter	[b0008]	8191	0								10.0	785.1163562593822
b0008	8238	9191	1	gene		8238	0	P0A870	Transaldolase B OS=Escherichia coli (strain K12) GN=talB PE=1 SV=2	talB	Cytoplasm	0.6209092388586264	0.6224230835068988	0.61079399946644	110.73090803705458	795.1163562593822
b0009	9306	9893	1	gene		9306	0	P0AF03							110.73090803705458	905.8472642964368
b0010	9928	10494	-1	gene		9928	0	P0AC98							110.73090803705458	1016.5781723334915
b0011	10643	11356	-1	gene		10643	0	P75617							110.73090803705458	1127.309080370546
b0013	11382	11786	-1	gene		11382	0	P28696							110.73090803705458	1238.0399884076007
PM00316	12048	12162	1	promoter	[b0014, b0015]	12048	0								10.0	1348.7708964446554
b0014	12163	14079	1	gene		12163	0	P0A6Y8	Chaperone protein dnaK OS=Escherichia coli (strain K12) GN=dnaK PE=1 SV=2	dnaK	Cytoplasm	2.1144414551494175	2.1334139863202517	2.2363928690562127	110.73090803705458	1358.7708964446554
b0015	14168	15298	1	gene		14168	0	P08622	Chaperone protein dnaJ OS=Escherichia coli (strain K12) GN=dnaJ PE=1 SV=3	dnaJ	Cytoplasm	0.04693180647397386	0.04663530395802948	0.050459432625164266	110.73090803705458	1469.50180448171
b0016	15445	16557	1	gene		15445	0	P0CF91							110.73090803705458	1580.2327125187646
b0018	16751	16960	-1	gene		16751	0	P33236							110.73090803705458	1690.9636205558193
