gene_or_promoter	start	end	strand	class	genes_in_TU	start_if_select_as_start	cannot_as_start	Uniprot	Description	Gene	Cellular protein location (according to www.uniprot.org)	A14.07036	A14.07037	A14.07038	cumulativeMass	iBAQ_W3110	iBAQ_W3110_cumulative_abundance	iBAQ_Step04	iBAQ_Step04_cumulative_abundance	iBAQ_Step05	iBAQ_Step05_cumulative_abundance	iBAQ_Step09	iBAQ_Step09_cumulative_abundance	iBAQ_Step10	iBAQ_Step10_cumulative_abundance
PM00249	148	189	1	promoter	[b0001, b0002, b0003, b0004]	148	0					4.591655779049254e-07			0.0	-8.183979433198816e-07	0.0	-3.5644883571869115e-07	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0
b0001	190	255	1	gene		190	0	P0AD86				4.591655779049254e-07			4.591655779049254e-07	-8.183979433198816e-07	-8.183979433198816e-07	-3.5644883571869115e-07	-3.5644883571869115e-07	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
b0002	337	2799	1	gene		337	0	P00561				4.591655779049254e-07			9.183311558098508e-07	0.0009998169045636592	-1.6367958866397632e-06	0.0010983337992797185	-7.128976714373823e-07	0.002025086753698798	-0.0	0.0018667625867831526	-0.0	0.0020951583597337542	-0.0
b0003	2801	3733	1	gene		2801	0	P00547	Homoserine kinase OS=Escherichia coli (strain K12) GN=thrB PE=1 SV=2	thrB	Cytoplasm	0.03313050728592512	0.032556208021103365	0.03330208746932849	1.3774967337147764e-06	0.00017453122094769616	0.0009981801086770194	0.00021620043523437902	0.0010976209016082812	0.0003436412656437247	0.002025086753698798	0.0004176264465933428	0.0018667625867831526	0.00035499000483588214	0.0020951583597337542
b0004	3734	5020	1	gene		3734	0	P00934				4.591655779049254e-07			0.03313188478265884	0.0015801328224628564	0.0011727113296247157	0.0019941386106539782	0.0013138213368426603	0.003051117678119947	0.002368728019342523	0.003040455073742958	0.0022843890333764955	0.0033892221748965065	0.0024501483645696363
b0005	5234	5530	1	gene		5234	0	P75616				4.591655779049254e-07			0.03313234394823674	-8.183979433198816e-07	0.002752844152087572	-3.5644883571869115e-07	0.0033079599474966385	-0.0	0.005419845697462469	-0.0	0.0053248441071194535	-0.0	0.005839370539466143
b0006	5683	6459	-1	gene		5683	0	P0A8I3				4.591655779049254e-07			0.03313280311381465	6.173777739893286e-05	0.002752025754144252	6.102374800574577e-05	0.00330760349866092	5.288276390971863e-05	0.005419845697462469	4.809198160957973e-05	0.0053248441071194535	5.6974270488908216e-05	0.005839370539466143
b0007	6529	7959	-1	gene		6529	0	P30143				4.591655779049254e-07			0.033133262279392554	-8.183979433198816e-07	0.0028137635315431853	-3.5644883571869115e-07	0.0033686272466666657	-0.0	0.0054727284613721875	-0.0	0.005372936088729033	-0.0	0.005896344809955051
PM0-9956	8191	8237	1	promoter	[b0008]	8191	0					4.591655779049254e-07			0.03313372144497046	-8.183979433198816e-07	0.0028129451335998654	-3.5644883571869115e-07	0.003368270797830947	-0.0	0.0054727284613721875	-0.0	0.005372936088729033	-0.0	0.005896344809955051
b0008	8238	9191	1	gene		8238	0	P0A870	Transaldolase B OS=Escherichia coli (strain K12) GN=talB PE=1 SV=2	talB	Cytoplasm	0.6209092388586264	0.6224230835068988	0.61079399946644	0.03313418061054837	0.0025574961792246683	0.0028121267356565455	0.0026090241334666667	0.0033679143489952286	0.0023671207461516816	0.0054727284613721875	0.002886274689189524	0.005372936088729033	0.0028079204504243985	0.005896344809955051
