gene_or_promoter	start	end	strand	class	genes_in_TU	start_if_select_as_start	cannot_as_start	Uniprot	Description	Gene	proteinMW	Copies/Cell_MG1655.Glucose	g/Protein	cumulativeAbundance
PM00249	148	189	1	promoter	[b0001, b0002, b0003, b0004]	148	0						0.0	0.0
b0001	190	255	1	gene		190	0	P0AD86					5809958.571344681	5809958.571344681
b0002	337	2799	1	gene		337	0	P00561	Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) GN=thrA PE=1 SV=2	thrA	89045.79557	4375.280572451086	389600339.41587204	395410297.9872167
b0003	2801	3733	1	gene		2801	0	P00547	Homoserine kinase OS=Escherichia coli (strain K12) GN=thrB PE=1 SV=2	thrB	33583.89194	843.8283594075925	28339040.438252073	423749338.4254688
b0004	3734	5020	1	gene		3734	0	P00934	Threonine synthase OS=Escherichia coli (strain K12) GN=thrC PE=1 SV=1	thrC	47066.2141	13676.33944956671	643693520.6375829	1067442859.0630517
b0005	5234	5530	1	gene		5234	0	P75616					5809958.571344681	1073252817.6343964
b0006	5683	6459	-1	gene		5683	0	P0A8I3	UPF0246 protein yaaA OS=Escherichia coli (strain K12) GN=yaaA PE=1 SV=1	yaaA	29549.3024	612.8657397620406	18109755.07482824	1091362572.7092247
b0007	6529	7959	-1	gene		6529	0	P30143					5809958.571344681	1097172531.2805693
PM0-9956	8191	8237	1	promoter	[b0008]	8191	0						0.0	1097172531.2805693
b0008	8238	9191	1	gene		8238	0	P0A870	Transaldolase B OS=Escherichia coli (strain K12) GN=talB PE=1 SV=2	talB	35179.30906	9247.453775293008	325319034.3790965	1422491565.6596658
b0009	9306	9893	1	gene		9306	0	P0AF03	Molybdopterin adenylyltransferase OS=Escherichia coli (strain K12) GN=mog PE=1 SV=1	mog	21191.02051	154.73395199473205	3278970.350313722	1425770536.0099795
b0010	9928	10494	-1	gene		9928	0	P0AC98					5809958.571344681	1431580494.581324
b0011	10643	11356	-1	gene		10643	0	P75617					5809958.571344681	1437390453.1526687
b0013	11382	11786	-1	gene		11382	0	P28696					5809958.571344681	1443200411.7240133
PM00316	12048	12162	1	promoter	[b0014, b0015]	12048	0						0.0	1443200411.7240133
b0014	12163	14079	1	gene		12163	0	P0A6Y8	Chaperone protein dnaK OS=Escherichia coli (strain K12) GN=dnaK PE=1 SV=2	dnaK	69054.47444	18132.697884331876	1252143922.5818377	2695344334.305851
b0015	14168	15298	1	gene		14168	0	P08622	Chaperone protein dnaJ OS=Escherichia coli (strain K12) GN=dnaJ PE=1 SV=3	dnaJ	41056.47202	748.3045630825619	30722745.35663753	2726067079.6624885
b0016	15445	16557	1	gene		15445	0	P0CF91					5809958.571344681	2731877038.2338333
b0018	16751	16960	-1	gene		16751	0	P33236					5809958.571344681	2737686996.805178
b4412	16751	16903	-1	gene		16960	1	P0ACG4					5809958.571344681	2743496955.376523
b4413	16952	17006	1	gene		16960	0						5809958.571344681	2749306913.947868
b0019	17489	18655	1	gene		17489	0	P13738					5809958.571344681	2755116872.5192127
b0020	18715	19620	1	gene		18715	0	P0A9G2					5809958.571344681	2760926831.0905576
b0021	19811	20314	-1	gene		19811	0	P0CF25					5809958.571344681	2766736789.6619024
b0022	20233	20508	-1	gene		20314	0	P0CF07					5809958.571344681	2772546748.2332473
b0023	20815	21078	-1	gene		20815	0	P0A7U7	30S ribosomal protein S20 OS=Escherichia coli (strain K12) GN=rpsT PE=1 SV=2	rpsT	9660.30985	31221.87332489734	301612970.415958	3074159718.649205
PM0-8222	21079	21210	-1	promoter	[b0023]	21079	0						0.0	3074159718.649205
b0024	21181	21399	1	gene		21210	0	P75620					5809958.571344681	3079969677.22055
PM0-8866	21383	21406	1	promoter	[b0025, b0026, b0027, b0028, b0029]	21399	0						0.0	3079969677.22055
b0025	21407	22348	1	gene		21407	0	P0AG40	Riboflavin biosynthesis protein ribF OS=Escherichia coli (strain K12) GN=ribF PE=1 SV=1	ribF	34694.52422	92.51508996765655	3209767.029598339	3083179444.2501483
PM0-9552	21833	22390	1	promoter	[b0029, b0028, b0027, b0026]	22348	0						0.0	3083179444.2501483
