gene_or_promoter	start	end	strand	class	genes_in_TU	start_if_select_as_start	cannot_as_start	Uniprot	Description	Gene	Cellular protein location (according to www.uniprot.org)	A14.07036	A14.07037	A14.07038	cumulativeMass	iBAQ_W3110	iBAQ_W3110_cumulative_abundance
PM00249	148	189	1	promoter	[b0001, b0002, b0003, b0004]	148	0					0.0			0.0	-8.181174514997334e-07	0.0
b0001	190	255	1	gene		190	0	P0AD86				0.017911945107084437			0.017911945107084437	-8.181174514997334e-07	-8.181174514997334e-07
b0002	337	2799	1	gene		337	0	P00561				0.017911945107084437			0.035823890214168874	0.000999474234514614	-1.6362349029994668e-06
b0003	2801	3733	1	gene		2801	0	P00547	Homoserine kinase OS=Escherichia coli (strain K12) GN=thrB PE=1 SV=2	thrB	Cytoplasm	0.03313050728592512	0.032556208021103365	0.03330208746932849	0.06895439750009401	0.00017447140337332922	0.0009978379996116145
b0004	3734	5020	1	gene		3734	0	P00934				0.017911945107084437			0.08686634260717843	0.0015795912591133072	0.0011723094029849437
b0005	5234	5530	1	gene		5234	0	P75616				0.017911945107084437			0.10477828771426287	-8.181174514997334e-07	0.002751900662098251
b0006	5683	6459	-1	gene		5683	0	P0A8I3				0.017911945107084437			0.1226902328213473	6.17166178375045e-05	0.0027510825446467515
b0007	6529	7959	-1	gene		6529	0	P30143				0.017911945107084437			0.14060217792843174	-8.181174514997334e-07	0.002812799162484256
PM0-9956	8191	8237	1	promoter	[b0008]	8191	0					0.0			0.14060217792843174	-8.181174514997334e-07	0.0028119810450327565
b0008	8238	9191	1	gene		8238	0	P0A870	Transaldolase B OS=Escherichia coli (strain K12) GN=talB PE=1 SV=2	talB	Cytoplasm	0.6209092388586264	0.6224230835068988	0.61079399946644	0.7615114167870581	0.0025566196413934236	0.002811162927581257
b0009	9306	9893	1	gene		9306	0	P0AF03				0.017911945107084437			0.7794233618941426	3.8873108701630297e-05	0.0053677825689746805
b0010	9928	10494	-1	gene		9928	0	P0AC98				0.017911945107084437			0.797335307001227	-8.181174514997334e-07	0.005406655677676311
b0011	10643	11356	-1	gene		10643	0	P75617				0.017911945107084437			0.8152472521083114	-8.181174514997334e-07	0.005405837560224811
b0013	11382	11786	-1	gene		11382	0	P28696				0.017911945107084437			0.8331591972153958	-8.181174514997334e-07	0.0054050194427733116
