Blattner	Uniprot
b0778	P13000
b1589	P0AAJ1
b4230	P39328
b1478	P39451
b1338	P77357
b3076	P06864
b0774	P12995
b3592	P0ACA1
b0198	P31547
b2579	P68066
b1590	P76173
b2539	Q47140
b3551	P20099
b1587	P77374
b2148	P23200
b3366	P0A9I8
b0521	P37306
b4267	P39346
b2947	P04425
b0980	P07102
b0764	P0AF01
b2726	P0A700
b2787	P0AES2
b2688	P0A6W9
b0832	P75799
b3951	P32674
b1394	P77467
b2725	P0AEV4
b1636	P77150
b0128	P0AFN6
b2487	P77329
b2418	P40191
b0732	P54746
b1739	P0ADB1
b1638	P0AFI7
b3456	P22729
b2898	P0ADE8
b2484	P77416
b4241	P36673
b1198	P37349
b1305	P0AFM9
b1500	P76136
b1897	P31678
b1918	P0AFT2
b1787	P64483
b4073	P32709
b1197	P13482
b2426	P37440
b1306	P0AFN2
b2494	P66948
b3437	P46859
b3478	P0AFA9
b0613	P77231
b2481	P23481
b4240	P36672
b3902	P32169
b3214	P28721
b1002	P19926
b4149	P0A901
b0153	P06972
b2793	P0A8U0
b2208	P0AAL0
b1317	P77366
b0786	P0AAC4
b3564	P09099
b0173	P45568
b0688	P36938
b1514	P77672
b2467	P37128
b2488	P77423
b1896	P31677
b0494	P0ADA1
b1734	P17411
b1208	P62615
b1708	P23898
b0124	P15877
b3399	P64636
b3270	P45768
b2505	P65290
b2485	P0AEW1
b0871	P07003
b1641	P0A905
b0061	P08203
b2265	P38051
b0532	P77468
b4069	P27550
b4288	P15029
b2482	P23482
b1236	P0AEP3
b3586	P37683
b0349	P77044
b2311	P0AG03
b3832	P0AG71
b0759	P09147
b4387	P0AGC7
b1443	P0AFR9
b3190	P0A9W6
b3365	P08201
b0757	P0A6T3
b2384	P77585
b4196	P39304
b2261	P29208
b1448	P76112
b0758	P09148
b0358	Q47534
b2130	P33361
b2713	P0AAK4
b4089	P0ACS7
b4558	P0ADN6
b2540	P0ABW0
b0421	P22939
b3487	P37626
b0008	P0A870
b4269	P27250
b1124	P0AFK6
b3482	P16917
b2489	P77668
b3386	P0AG07
b3090	P42603
b1391	P76080
b3833	P0A887
b2293	P77625
b2464	P0A867
b1202	P76017
b0810	P0AEQ6
b0251	P77365
b0156	P0ACC3
b2935	P27302
b0271	P77713
b2747	Q46893
b2465	P33570
b3886	P0A8K8
b0811	P0AEQ3
b1209	P61320
b2486	P77437
b2914	P0A7Z0
b3500	P06715
b2388	P0A6V8
b4039	P26602
b2880	P64557
b2240	P08194
b1874	P67826
b0863	P30859
b1018	P0AB24
b4339	P39387
b3927	P0AER0
b4415	P77091
b3588	P37685
b2907	P25534
b2242	P13033
