gene_or_promoter	start	end	strand	class	genes_in_TU	start_if_select_as_start	cannot_as_start	Uniprot	Description	Gene	Cellular protein location (according to www.uniprot.org)	A14.07036	A14.07037	A14.07038	cumulativeMass
PM00249	148	189	1	promoter	[b0001, b0002, b0003, b0004]	148	0					4.591655779049255e-07			0.0
b0001	190	255	1	gene		190	0	P0AD86				4.591655779049255e-07			4.591655779049255e-07
b0002	337	2799	1	gene		337	0	P00561				4.591655779049255e-07			9.18331155809851e-07
b0003	2801	3733	1	gene		2801	0	P00547	Homoserine kinase OS=Escherichia coli (strain K12) GN=thrB PE=1 SV=2	thrB	Cytoplasm	0.03313050728592512	0.03255620802110336	0.03330208746932849	1.3774967337147764e-06
b0004	3734	5020	1	gene		3734	0	P00934				4.591655779049255e-07			0.033131884782658834
b0005	5234	5530	1	gene		5234	0	P75616				4.591655779049255e-07			0.03313234394823674
b0006	5683	6459	-1	gene		5683	0	P0A8I3				4.591655779049255e-07			0.03313280311381465
b0007	6529	7959	-1	gene		6529	0	P30143				4.591655779049255e-07			0.033133262279392554
PM0-9956	8191	8237	1	promoter	[b0008]	8191	0					4.591655779049255e-07			0.03313372144497046
b0008	8238	9191	1	gene		8238	0	P0A870	Transaldolase B OS=Escherichia coli (strain K12) GN=talB PE=1 SV=2	talB	Cytoplasm	0.6209092388586264	0.6224230835068988	0.61079399946644	0.03313418061054837
b0009	9306	9893	1	gene		9306	0	P0AF03				4.591655779049255e-07			0.6540434194691748
b0010	9928	10494	-1	gene		9928	0	P0AC98				4.591655779049255e-07			0.6540438786347527
b0011	10643	11356	-1	gene		10643	0	P75617				4.591655779049255e-07			0.6540443378003306
b0013	11382	11786	-1	gene		11382	0	P28696				4.591655779049255e-07			0.6540447969659084
PM00316	12048	12162	1	promoter	[b0014, b0015]	12048	0					4.591655779049255e-07			0.6540452561314863
b0014	12163	14079	1	gene		12163	0	P0A6Y8	Chaperone protein dnaK OS=Escherichia coli (strain K12) GN=dnaK PE=1 SV=2	dnaK	Cytoplasm	2.1144414551494175	2.1334139863202517	2.2363928690562127	0.6540457152970642
b0015	14168	15298	1	gene		14168	0	P08622	Chaperone protein dnaJ OS=Escherichia coli (strain K12) GN=dnaJ PE=1 SV=3	dnaJ	Cytoplasm	0.04693180647397386	0.04663530395802948	0.050459432625164266	2.7684871704464817
b0016	15445	16557	1	gene		15445	0	P0CF91				4.591655779049255e-07			2.8154189769204554
b0018	16751	16960	-1	gene		16751	0	P33236				4.591655779049255e-07			2.8154194360860334
b4412	16751	16903	-1	gene		16960	1	P0ACG4				4.591655779049255e-07			2.8154198952516114
