$gene_or_promoter	SolutionOrder	class	mass reclaimed $(fg/cell)$	A14.07036	cumulativeMass	start	end	strand	W3110-startbase	W3110-endbase	W3110-strand
b3339	11	gene	19.0959079166	18.9912477636	121.160234784	3470145	3471329	-1	3459553.0	3460737.0	-
b3336	11	gene	19.0959079166	0.104650969614	121.055582437	3466249	3466725	-1	4173691.0	4174167.0	+
PM0-9799	11	promoter	19.0959079166	4.59165577905e-07	140.151482547	3471330	3471724	-1			
PM0-3321	11	promoter	19.0959079166	4.59165577905e-07	121.160234325	3469854	3469896	-1			
b3338	11	gene	19.0959079166	4.59165577905e-07	121.160233865	3467160	3469853	-1	4170563.0	4173256.0	+
b3337	11	gene	19.0959079166	4.59165577905e-07	121.160233406	3466797	3466991	-1	4173425.0	4173619.0	+
b3335	11	gene	19.0959079166	4.59165577905e-07	121.055581977	3465543	3466220	1	4174196.0	4174873.0	-
b3334	11	gene	19.0959079166	4.59165577905e-07	121.055581518	3465082	3465543	1	4174873.0	4175334.0	-
b3333	11	gene	19.0959079166	4.59165577905e-07	121.055581059	3463922	3465085	1	4175331.0	4176494.0	-
b3332	11	gene	19.0959079166	4.59165577905e-07	121.0555806	3462924	3463907	1	4176509.0	4177492.0	-
b3331	11	gene	19.0959079166	4.59165577905e-07	121.055580141	3462344	3462931	1	4177485.0	4178072.0	-
b3330	11	gene	19.0959079166	4.59165577905e-07	121.055579682	3461974	3462351	1	4178065.0	4178442.0	-
b3329	11	gene	19.0959079166	4.59165577905e-07	121.055579222	3461468	3461977	1	4178439.0	4178948.0	-
b3328	11	gene	19.0959079166	4.59165577905e-07	121.055578763	3461023	3461460	1	4178956.0	4179393.0	-
b3327	11	gene	19.0959079166	4.59165577905e-07	121.055578304	3459817	3461013	1	4179403.0	4180599.0	-
b3326	11	gene	19.0959079166	4.59165577905e-07	121.055577845	3458339	3459820	1	4180596.0	4182077.0	-
b3325	11	gene	19.0959079166	4.59165577905e-07	121.055577386	3456377	3458329	1	4182087.0	4184039.0	-
b3324	11	gene	19.0959079166	4.59165577905e-07	121.055576927	3455578	3456393	1	4184023.0	4184838.0	-
PM0-9514	11	promoter	19.0959079166	4.59165577905e-07	121.055576467	3455482	3455577	1			
PM-8819	11	promoter	19.0959079166	4.59165577905e-07	121.055576008	3455399	3455634	-1			
b3323	11	gene	19.0959079166	4.59165577905e-07	121.055575549	3453929	3455398	-1	4185018.0	4186487.0	+
b3322	11	gene	19.0959079166	4.59165577905e-07	121.05557509	3453508	3453927	-1	4186489.0	4186908.0	+
b0957	10	gene	6.88266638029	6.83684604541	41.5132857239	1019013	1020053	-1	1019435.0	1020475.0	-
b0963	10	gene	6.88266638029	0.0243609594474	48.3576198695	1026557	1027015	-1	1026979.0	1027437.0	-
b0967	10	gene	6.88266638029	0.0126834975376	48.3819831248	1028779	1029969	-1	1029201.0	1030304.0	-
b0961	10	gene	6.88266638029	0.00748396769418	48.3501345243	1023902	1024348	-1	1024324.0	1024770.0	-
b0956	10	gene	6.88266638029	0.00128272688275	41.512002997	1018485	1018937	1	1018907.0	1019359.0	+
PM0-9395	10	promoter	6.88266638029	4.59165577905e-07	48.3946679998	1031419	1031443	-1			
b0970	10	gene	6.88266638029	4.59165577905e-07	48.3946675406	1030759	1031418	-1	1031181.0	1031840.0	-
b0969	10	gene	6.88266638029	4.59165577905e-07	48.3946670815	1030339	1030668	-1	1030761.0	1031090.0	-
b0968	10	gene	6.88266638029	4.59165577905e-07	48.3946666223	1030064	1030342	1	1030486.0	1030764.0	+
b0966	10	gene	6.88266638029	4.59165577905e-07	48.3819826656	1028404	1028721	-1	1028826.0	1029143.0	-
b0965	10	gene	6.88266638029	4.59165577905e-07	48.3819822064	1027946	1028359	1	1028368.0	1028781.0	+
PM0-36218	10	promoter	6.88266638029	4.59165577905e-07	48.3819817473	1027774	1027837	-1			
b0964	10	gene	6.88266638029	4.59165577905e-07	48.3819812881	1027111	1027773	-1	1027533.0	1028195.0	-
PM0-10012	10	promoter	6.88266638029	4.59165577905e-07	48.3819808289	1027016	1027041	-1			
b0962	10	gene	6.88266638029	4.59165577905e-07	48.3576194103	1024471	1026525	1	1024893.0	1026947.0	+
PM0-36233	10	promoter	6.88266638029	4.59165577905e-07	48.3576189512	1024438	1024470	1			
PM0-36232	10	promoter	6.88266638029	4.59165577905e-07	48.357618492	1024349	1024365	-1			
b0960	10	gene	6.88266638029	4.59165577905e-07	48.3501340651	1021730	1023883	-1	1022152.0	1024305.0	-
b0959	10	gene	6.88266638029	4.59165577905e-07	48.350133606	1021138	1021767	1	1021560.0	1022189.0	+
PM0-46336	10	promoter	6.88266638029	4.59165577905e-07	48.3501331468	1021083	1021137	1			
PM00092	10	promoter	6.88266638029	4.59165577905e-07	48.3501326876	1020920	1020947	-1			
b0958	10	gene	6.88266638029	4.59165577905e-07	48.3501322285	1020410	1020919	-1	1020832.0	1021341.0	-
PM00064	10	promoter	6.88266638029	4.59165577905e-07	48.3501317693	1020054	1020191	-1			
PM0-10011	10	promoter	6.88266638029	4.59165577905e-07	41.5120025379	1018459	1018484	1			
b0955	10	gene	6.88266638029	4.59165577905e-07	41.5120020787	1016539	1018299	-1	1016961.0	1018721.0	-
b2414	9	gene	4.19366686329	4.19366594496	73.5895635143	2532409	2533380	1	2537855.0	2538826.0	+
PM0-10091	9	promoter	4.19366686329	4.59165577905e-07	73.5895630552	2532344	2532408	1			
b2413	9	gene	4.19366686329	4.59165577905e-07	73.589562596	2531463	2532224	1	2536909.0	2537670.0	+
b4015	8	gene	2.57548533451	2.14180461556	170.01520356	4217109	4218413	1	4220699.0	4222003.0	+
b4014	8	gene	2.57548533451	0.432970207693	169.582233352	4215478	4217079	1	4219068.0	4220669.0	+
b4016	8	gene	2.57548533451	0.000709592933978	172.157008175	4218596	4220332	1	4222186.0	4223922.0	+
b4017	8	gene	2.57548533451	4.59165577905e-07	172.157717768	4220301	4222487	-1	4223891.0	4226077.0	-
PM00001	8	promoter	2.57548533451	4.59165577905e-07	169.582232893	4215402	4215477	1			
b0436	7	gene	2.54748021924	2.043075612	18.0760247092	455133	456431	1	454357.0	455655.0	+
b0437	7	gene	2.54748021924	0.339141310188	20.1191016987	456677	457300	1	455901.0	456524.0	+
b0439	7	gene	2.54748021924	0.165259623729	20.4582448456	458888	461242	1	458112.0	460466.0	+
PM00511	7	promoter	2.54748021924	4.59165577905e-07	20.4582443864	458815	458887	1			
sraA	7	gene	2.54748021924	4.59165577905e-07	20.4582439272	458728	458784	-1			
b0438	7	gene	2.54748021924	4.59165577905e-07	20.4582434681	457426	458700	1	456650.0	457924.0	+
PM0-9696	7	promoter	2.54748021924	4.59165577905e-07	20.4582430089	457202	457425	1			
PM00569	7	promoter	2.54748021924	4.59165577905e-07	20.1191012395	456646	456676	1			
PM0-9744	7	promoter	2.54748021924	4.59165577905e-07	20.1191007804	456605	456676	1			
PM00339	7	promoter	2.54748021924	4.59165577905e-07	20.1191003212	456577	456676	1			
PM0-9980	7	promoter	2.54748021924	4.59165577905e-07	18.07602425	454993	455132	1			
b0605	6	gene	2.29285010737	2.01333925913	24.2990362963	638945	639508	1	638168.0	638731.0	+
b0606	6	gene	2.29285010737	0.22692966333	26.3123760146	639753	641318	1	638976.0	640541.0	+
b0598	6	gene	2.29285010737	0.0400886993054	24.2489400465	629894	631999	1	4593809.0	4595959.0	-
b0604	6	gene	2.29285010737	0.0060337714311	24.2930011474	637827	638573	-1	637050.0	637796.0	-
