RefSeq	gene	locus	start	stop	strand	COG	COG_category	COG_meta
BAE76026.1	thrL	b0001	189	255	1			
BAB96579.2	thrA	b0002	336	2799	1	COG0460	E	M
BAB96579.2	thrA	b0002	336	2799	1	COG0527	E	M
BAB96580.2	thrB	b0003	2800	3733	1	COG0083	E	M
BAB96581.1	thrC	b0004	3733	5020	1	COG0498	E	M
BAB96582.1	yaaX	b0005	5233	5530	1			
BAB96584.1	yaaA	b0006	5682	6459	-1	COG3022	P	M
BAB96585.1	yaaJ	b0007	6528	7959	-1	COG1115	E	M
BAB96586.1	talB	b0008	8237	9191	1	COG0176	G	M
BAB96587.2	mog	b0009	9305	9893	1	COG0521	H	M
BAB96588.2	yaaH	b0010	9927	10494	-1	COG1584	C	M
BAE76027.1	yaaW	b0011	10642	11356	-1	COG4735	S	O
BAE76028.1	htgA	b0012	10829	11315	1			
BAE76029.1	yaaI	b0013	11381	11786	-1			
BAB96589.1	dnaK	b0014	12162	14079	1	COG0443	O	O
BAB96590.1	dnaJ	b0015	14167	15298	1	COG0484	O	O
BAE76030.1	insL	b0016	15444	16557	1	COG3385	X	
BAB96591.1	mokC	b0018	16750	16960	-1			
BAE76031.1	hokC	b4412	16750	16903	-1			
BAB96592.1	nhaA	b0019	17488	18655	1	COG3004	C	M
BAE76032.1	nhaR	b0020	18714	19620	1	COG0583	K	T
BAE76033.1	insB	b0021	19810	20314	-1	COG1662	X	
BAE76034.1	insA	b0022	20232	20508	-1	COG3677	X	
BAB96593.1	rpsT	b0023	20814	21078	-1	COG0268	J	T
BAE76035.1	yaaY	b0024	21180	21399	1			
BAB96594.2	ribF	b0025	21406	22348	1	COG0196	H	M
BAB96595.2	ileS	b0026	22390	25207	1	COG0060	J	T
BAB96596.1	lspA	b0027	25206	25701	1	COG0597	M	O
BAB96597.1	fkpB	b0028	25825	26275	1	COG1047	O	O
BAB96598.1	ispH	b0029	26276	27227	1	COG0761	I	M
BAB96599.1	rihC	b0030	27292	28207	1	COG1957	F	M
BAB96600.1	dapB	b0031	28373	29195	1	COG0289	E	M
BAB96601.1	carA	b0032	29650	30799	1	COG0505	E	M
BAB96602.1	carB	b0033	30816	34038	1	COG0458	E	M
BAE76036.1	caiF	b0034	34299	34695	1			
BAB96604.2	caiE	b0035	34780	35371	-1	COG0663	R	O
BAB96605.2	caiD	b0036	35376	36270	-1	COG1024	I	M
BAB96606.1	caiC	b0037	36270	37839	-1	COG0318	I	M
BAB96607.1	caiB	b0038	37897	39115	-1	COG1804	I	M
BAB96608.2	caiA	b0039	39243	40386	-1	COG1960	I	M
BAB96609.2	caiT	b0040	40416	41931	-1	COG1292	M	O
BAB96610.2	fixA	b0041	42402	43173	1	COG2086	C	M
BAE76037.1	fixB	b0042	43187	44129	1	COG2025	C	M
BAB96611.2	fixC	b0043	44179	45466	1	COG0644	C	M
BAB96612.2	fixX	b0044	45462	45750	1	COG2440	C	M
BAB96613.2	yaaU	b0045	45806	47138	1	COG2271	G	M
BAB96614.2	kefF	b0046	47245	47776	1	COG2249	R	O
BAB96615.1	kefC	b0047	47768	49631	1	COG0475	P	M
BAB96615.1	kefC	b0047	47768	49631	1	COG1226	P	M
BAB96616.1	folA	b0048	49822	50302	1	COG0262	H	M
BAB96617.2	apaH	b0049	50379	51222	-1	COG0639	T	O
BAB96618.1	apaG	b0050	51228	51606	-1	COG2967	P	M
BAE76038.1	ksgA	b0051	51608	52430	-1	COG0030	J	T
BAB96619.1	pdxA	b0052	52426	53416	-1	COG1995	H	M
BAB96620.2	surA	b0053	53415	54702	-1	COG0760	O	O
BAB96622.1	imp	b0054	54754	57109	-1	COG1452	M	O
BAB96623.1	djlA	b0055	57363	58179	1	COG1076	O	O
BAB96624.2	yabP	b0056	58473	59124	1			
BAB96625.1	yabQ	b0057	59120	59279	1			
BAE76039.1	rluA	b0058	59686	60346	-1	COG0564	J	T
BAB96627.1	hepA	b0059	60357	63264	-1	COG0553	K	T
BAB96628.2	polB	b0060	63428	65780	-1	COG0417	L	T
BAB96630.1	araD	b0061	65854	66550	-1	COG0235	G	M
BAB96631.2	araA	b0062	66834	68337	-1	COG2160	G	M
BAB96632.2	araB	b0063	68347	70048	-1	COG1069	G	M
BAB96633.1	araC	b0064	70386	71265	1	COG1917	R	O
BAB96633.1	araC	b0064	70386	71265	1	COG2207	K	T
BAB96634.2	yabI	b0065	71350	72115	1	COG0586	S	O
BAB96635.2	thiQ	b0066	72228	72927	-1	COG3840	H	M
BAB96636.2	thiP	b0067	72910	74521	-1	COG1178	P	M
BAB96637.2	tbpA	b0068	74496	75480	-1	COG4143	H	M
BAB96638.2	sgrR	b0069	75643	77299	-1	COG4533	K	T
BAB96639.2	setA	b0070	77620	78799	1	COG2814	G	M
BAB96640.1	leuD	b0071	78847	79453	-1	COG0066	E	M
BAB96641.2	leuC	b0072	79463	80864	-1	COG0065	E	M
BAB96642.1	leuB	b0073	80866	81958	-1	COG0473	C	M
BAB96643.2	leuA	b0074	81957	83529	-1	COG0119	E	M
BAB96644.1	leuL	b0075	83621	83708	-1			
BAB96645.2	leuO	b0076	84367	85312	1	COG0583	K	T
BAB96646.2	ilvI	b0077	85629	87354	1	COG0028	E	M
