E_coli_K12_W3110_lambdaRed	E_coli_K12_W3110	W3110-Name	W3110-Accession	MG1655-ID	Blattner	W3110-startbase	W3110-endbase	W3110-strand	MG1655-startbase	MG1655-endbase	MG1655-strand	sort_order
W3110_lambdaRed.CDS.30	JW0033	caiF	ECK0035	G6088	b0034	34300	34695	+	34300	34695	+	30
W3110_lambdaRed.CDS.3578	JW3679	dnaA	ECK3694	EG10235	b3702	3756686	3758089	+	3882326	3883729	-	3578
W3110_lambdaRed.CDS.358	JW0352	insD-1	ECK0358	G0-10543	NIL	380898	381803	+	2068952	2070180	-	358
W3110_lambdaRed.CDS.358	JW1397	insD-1	ECK0358	NIL	NIL	1469635	1470540	-	NIL	NIL	NIL	358
W3110_lambdaRed.CDS.358	JW1975	insD-1	ECK0358	NIL	NIL	2071089	2071994	-	NIL	NIL	NIL	358
W3110_lambdaRed.CDS.358	JW2826	insD-1	ECK0358	NIL	NIL	2995028	2995933	-	NIL	NIL	NIL	358
W3110_lambdaRed.CDS.358	JW3013	insD-1	ECK0358	NIL	NIL	3185166	3186071	+	NIL	NIL	NIL	358
W3110_lambdaRed.CDS.358	JW4230	insD-1	ECK0358	NIL	NIL	4503275	4504180	+	NIL	NIL	NIL	358
W3110_lambdaRed.CDS.3580	JW3677	recF	ECK3692	EG10828	b3700	3759194	3760267	+	3880148	3881221	-	3580
W3110_lambdaRed.CDS.3581	JW5625	gyrB	ECK3691	EG10424	b3699	3760296	3762710	+	3877705	3880119	-	3581
W3110_lambdaRed.CDS.3582	JW3675	yidB	ECK3690	EG11196	b3698	3762950	3763348	+	3877067	3877465	-	3582
W3110_lambdaRed.CDS.3583	JW3674	yidA	ECK3689	EG11195	b3697	3763463	3764275	+	3876140	3876952	-	3583
W3110_lambdaRed.CDS.3584	JW5858	yidX	ECK3688	EG11719	b3696	3764321	3764977	-	3875438	3876094	+	3584
W3110_lambdaRed.CDS.3585	JW5627	dgoR	ECK3687	G7789	b4479	3765255	3765944	+	3874471	3875160	-	3585
W3110_lambdaRed.CDS.3586	JW3670	dgoK	ECK3686	EG20051	b3693	3765941	3766819	+	3873596	3874474	-	3586
W3110_lambdaRed.CDS.3587	JW5628	dgoA	ECK3685	EG20049	b4477	3766803	3767420	+	3872995	3873612	-	3587
W3110_lambdaRed.CDS.3588	JW5629	dgoD	ECK3684	GB4478	b4478	3767417	3768565	+	3871850	3872998	-	3588
W3110_lambdaRed.CDS.3589	JW5859	dgoT	ECK3683	EG20053	b3691	3768685	3769977	+	3870438	3871730	-	3589
W3110_lambdaRed.CDS.359	JW0355	yaiP	ECK0360	G6215	b0363	381963	383159	-	382739	383935	-	359
W3110_lambdaRed.CDS.3590	JW5631	cbrA	ECK3682	EG11714	b3690	3769974	3771038	-	3869377	3870441	+	3590
W3110_lambdaRed.CDS.3591	JW5860	yidR	ECK3681	EG11713	b3689	3771139	3772353	+	3868062	3869309	-	3591
W3110_lambdaRed.CDS.3592	JW5633	yidQ	ECK3680	EG11712	b3688	3772355	3772687	-	3867728	3868060	+	3592
W3110_lambdaRed.CDS.3593	JW3664	ibpA	ECK3679	EG11534	b3687	3772993	3773406	+	3867009	3867422	-	3593
W3110_lambdaRed.CDS.3594	JW3663	ibpB	ECK3678	EG11535	b3686	3773518	3773946	+	3866469	3866897	-	3594
W3110_lambdaRed.CDS.3595	JW3662	yidE	ECK3677	EG11536	b3685	3774142	3775803	+	3864612	3866273	-	3595
W3110_lambdaRed.CDS.3596	JW3661	yidP	ECK3676	EG11711	b3684	3775800	3776516	-	3863899	3864615	+	3596
W3110_lambdaRed.CDS.3597	JW3660	glvC	ECK3675	EG11710	b3683	3776812	3777918	+	3862497	3863603	-	3597
W3110_lambdaRed.CDS.3598	JW3659	glvB	ECK3674	EG11709	b3682	3777943	3778428	+	3861987	3862472	-	3598
W3110_lambdaRed.CDS.36	JW0039	caiT	ECK0041	EG11561	b0040	40417	41931	-	40417	41931	-	36
W3110_lambdaRed.CDS.360	JW0356	yaiS	ECK0361	G6216	b0364	383283	383840	-	384059	384616	-	360
W3110_lambdaRed.CDS.3601	JW3656	yidL	ECK3671	EG11707	b3680	3779239	3780162	-	3860283	3861176	+	3601
W3110_lambdaRed.CDS.3579	JW3678	dnaN	ECK3693	EG10242	b3701	3758094	3759194	+	3881221	3882321	-	3579
W3110_lambdaRed.CDS.3576	JW3680	rpmH	ECK3695	EG10892	b3703	3755939	3756079	-	3884336	3884476	+	3576
W3110_lambdaRed.CDS.3603	JW3654	yidJ	ECK3669	EG11705	b3678	3782011	3783504	+	3856911	3858404	-	3603
W3110_lambdaRed.CDS.920	JW0899	ycaQ	ECK0907	G6471	b0916	969811	971043	+	969389	970621	+	920
W3110_lambdaRed.CDS.3564	JW3013	insD-1	ECK0358	NIL	NIL	3185166	3186071	+	NIL	NIL	NIL	3564
W3110_lambdaRed.CDS.3564	JW4230	insD-1	ECK0358	NIL	NIL	4503275	4504180	+	NIL	NIL	NIL	3564
W3110_lambdaRed.CDS.3566	JW3689	yidZ	ECK3704	EG11721	b3711	3744293	3745252	-	3892765	3893724	+	3566
W3110_lambdaRed.CDS.3567	JW3688	mdtL	ECK3703	EG11720	b3710	3745227	3746402	-	3891615	3892790	+	3567
W3110_lambdaRed.CDS.3568	JW5619	tnaB	ECK3702	NIL	NIL	3746534	3746980	-	NIL	NIL	NIL	3568
W3110_lambdaRed.CDS.3569	JW0250	insH-1	ECK0261	NIL	NIL	273325	274341	-	NIL	NIL	NIL	3569
W3110_lambdaRed.CDS.3569	JW0540	insH-2	ECK0261	G7074	b1994	573960	574976	-	2066305	2067321	-	3569
W3110_lambdaRed.CDS.3569	JW0652	insH-3	ECK0261	NIL	NIL	688419	689435	-	NIL	NIL	NIL	3569
W3110_lambdaRed.CDS.3569	JW1324	insH-4	ECK0261	NIL	NIL	1397790	1398806	+	NIL	NIL	NIL	3569
W3110_lambdaRed.CDS.3569	JW1882	insH	ECK0261	NIL	NIL	1980355	1981371	-	NIL	NIL	NIL	3569
W3110_lambdaRed.CDS.3569	JW2014	insH-7	ECK0261	NIL	NIL	2104032	2105048	-	NIL	NIL	NIL	3569
W3110_lambdaRed.CDS.3569	JW2179	insH-8	ECK0261	NIL	NIL	2292399	2293415	-	NIL	NIL	NIL	3569
W3110_lambdaRed.CDS.3569	JW2949	insH-9	ECK0261	NIL	NIL	3128834	3129850	+	NIL	NIL	NIL	3569
W3110_lambdaRed.CDS.3569	JW3185	insH-10	ECK0261	NIL	NIL	3365557	3366573	-	NIL	NIL	NIL	3569
W3110_lambdaRed.CDS.3569	JW3472	insH-11	ECK0261	NIL	NIL	3987217	3988233	+	NIL	NIL	NIL	3569
W3110_lambdaRed.CDS.3570	JW5622	tnaB	ECK3702	EG11006	b3709	3747997	3748980	-	3890236	3891483	+	3570
W3110_lambdaRed.CDS.3571	JW3686	tnaA	ECK3701	EG11005	b3708	3749071	3750486	-	3888730	3890145	+	3571
W3110_lambdaRed.CDS.3572	JW0250	insH-1	ECK0261	NIL	NIL	273325	274341	-	NIL	NIL	NIL	3572
W3110_lambdaRed.CDS.3572	JW0540	insH-2	ECK0261	G7074	b1994	573960	574976	-	2066305	2067321	-	3572
W3110_lambdaRed.CDS.3572	JW0652	insH-3	ECK0261	NIL	NIL	688419	689435	-	NIL	NIL	NIL	3572
W3110_lambdaRed.CDS.3572	JW1324	insH-4	ECK0261	NIL	NIL	1397790	1398806	+	NIL	NIL	NIL	3572
W3110_lambdaRed.CDS.3572	JW1882	insH	ECK0261	NIL	NIL	1980355	1981371	-	NIL	NIL	NIL	3572
W3110_lambdaRed.CDS.3572	JW2014	insH-7	ECK0261	NIL	NIL	2104032	2105048	-	NIL	NIL	NIL	3572
W3110_lambdaRed.CDS.3572	JW2179	insH-8	ECK0261	NIL	NIL	2292399	2293415	-	NIL	NIL	NIL	3572
W3110_lambdaRed.CDS.3572	JW2949	insH-9	ECK0261	NIL	NIL	3128834	3129850	+	NIL	NIL	NIL	3572
W3110_lambdaRed.CDS.3572	JW3185	insH-10	ECK0261	NIL	NIL	3365557	3366573	-	NIL	NIL	NIL	3572
W3110_lambdaRed.CDS.3572	JW3472	insH-11	ECK0261	NIL	NIL	3987217	3988233	+	NIL	NIL	NIL	3572
W3110_lambdaRed.CDS.3573	JW3684	mnmE	ECK3699	EG10997	b3706	3752223	3753587	-	3886828	3888192	+	3573
W3110_lambdaRed.CDS.3574	JW3683	yidC	ECK3698	EG11197	b3705	3753693	3755339	-	3885076	3886722	+	3574
W3110_lambdaRed.CDS.3602	JW3655	yidK	ECK3670	EG11706	b3679	3780299	3782014	+	3858401	3860116	-	3602
W3110_lambdaRed.CDS.3604	JW3653	yidI	ECK3668	EG11697	b3677	3783551	3784000	-	3856415	3856864	+	3604
W3110_lambdaRed.CDS.3440	JW3822	fadB	ECK3838	EG10279	b3846	3605710	3607899	+	4028782	4030971	-	3440
W3110_lambdaRed.CDS.3636	JW3621	yicG	ECK3636	EG11683	b3646	3820924	3821541	-	3818874	3819491	+	3636
W3110_lambdaRed.CDS.3638	JW3619	yicC	ECK3634	EG11192	b3644	3822876	3823739	-	3816676	3817539	+	3638
W3110_lambdaRed.CDS.364	JW0360	tauD	ECK0365	EG12423	b0368	387019	387870	+	387795	388646	+	364
W3110_lambdaRed.CDS.3640	JW3617	pyrE	ECK3632	EG10808	b3642	3824647	3825288	+	3815127	3815768	-	3640
W3110_lambdaRed.CDS.3641	JW5641	slmA	ECK3631	EG11191	b3641	3825325	3825921	-	3814494	3815090	+	3641
W3110_lambdaRed.CDS.3642	JW3615	dut	ECK3630	EG10251	b3640	3826028	3826483	-	3813932	3814387	+	3642
W3110_lambdaRed.CDS.3643	JW5642	dfp	ECK3629	EG10004	b3639	3826464	3827684	-	3812731	3813951	+	3643
W3110_lambdaRed.CDS.3644	JW5643	yicR	ECK3628	EG11312	b3638	3827856	3828524	+	3811891	3812559	-	3644
W3110_lambdaRed.CDS.92	JW0092	ftsA	ECK0095	EG10339	b0094	103982	105244	+	103982	105244	+	92
W3110_lambdaRed.CDS.3646	JW3611	rpmG	ECK3626	EG10891	b3636	3828998	3829165	+	3811250	3811417	-	3646
W3110_lambdaRed.CDS.3647	JW3610	mutM	ECK3625	EG10329	b3635	3829263	3830072	+	3810343	3811152	-	3647
