gene_or_promoter	start	end	strand	class	genes_in_TU	start_if_select_as_start	cannot_as_start	Uniprot	Description	Gene	Cellular protein location (according to www.uniprot.org)	A14.07036	A14.07037	A14.07038	kDa/Protein	cumulativeAbundance
PM00249	148	189	1	promoter	[b0001, b0002, b0003, b0004]	148	0								10.0	10.0
b0001	190	255	1	gene		190	0	P0AD86							110.730908037	120.730908037
b0002	337	2799	1	gene		337	0	P00561							110.730908037	231.461816074
b0003	2801	3733	1	gene		2801	0	P00547	Homoserine kinase OS=Escherichia coli (strain K12) GN=thrB PE=1 SV=2	thrB	Cytoplasm	0.0331305072859	0.0325562080211	0.0333020874693	110.730908037	342.192724111
b0004	3734	5020	1	gene		3734	0	P00934							110.730908037	452.923632148
b0005	5234	5530	1	gene		5234	0	P75616							110.730908037	563.654540185
b0006	5683	6459	-1	gene		5683	0	P0A8I3							110.730908037	674.385448222
b0007	6529	7959	-1	gene		6529	0	P30143							110.730908037	785.116356259
PM0-9956	8191	8237	1	promoter	[b0008]	8191	0								10.0	795.116356259
b0008	8238	9191	1	gene		8238	0	P0A870	Transaldolase B OS=Escherichia coli (strain K12) GN=talB PE=1 SV=2	talB	Cytoplasm	0.620909238859	0.622423083507	0.610793999466	110.730908037	905.847264296
b0009	9306	9893	1	gene		9306	0	P0AF03							110.730908037	1016.57817233
b0010	9928	10494	-1	gene		9928	0	P0AC98							110.730908037	1127.30908037
b0011	10643	11356	-1	gene		10643	0	P75617							110.730908037	1238.03998841
b0013	11382	11786	-1	gene		11382	0	P28696							110.730908037	1348.77089644
PM00316	12048	12162	1	promoter	[b0014, b0015]	12048	0								10.0	1358.77089644
b0014	12163	14079	1	gene		12163	0	P0A6Y8	Chaperone protein dnaK OS=Escherichia coli (strain K12) GN=dnaK PE=1 SV=2	dnaK	Cytoplasm	2.11444145515	2.13341398632	2.23639286906	110.730908037	1469.50180448
b0015	14168	15298	1	gene		14168	0	P08622	Chaperone protein dnaJ OS=Escherichia coli (strain K12) GN=dnaJ PE=1 SV=3	dnaJ	Cytoplasm	0.046931806474	0.046635303958	0.0504594326252	110.730908037	1580.23271252
b0016	15445	16557	1	gene		15445	0	P0CF91							110.730908037	1690.96362056
b0018	16751	16960	-1	gene		16751	0	P33236							110.730908037	1801.69452859
b4412	16751	16903	-1	gene		16960	1	P0ACG4							110.730908037	1912.42543663
b4413	16952	17006	1	gene		16960	0								110.730908037	2023.15634467
b0019	17489	18655	1	gene		17489	0	P13738							110.730908037	2133.8872527
b0020	18715	19620	1	gene		18715	0	P0A9G2							110.730908037	2244.61816074
b0021	19811	20314	-1	gene		19811	0	P0CF25							110.730908037	2355.34906878
b0022	20233	20508	-1	gene		20314	0	P0CF07							110.730908037	2466.07997682
b0023	20815	21078	-1	gene		20815	0	P0A7U7	30S ribosomal protein S20 OS=Escherichia coli (strain K12) GN=rpsT PE=1 SV=2	rpsT	Cytoplasm	0.470434370372	0.434623932344	0.462671227224	110.730908037	2576.81088485
PM0-8222	21079	21210	-1	promoter	[b0023]	21079	0								10.0	2586.81088485
b0024	21181	21399	1	gene		21210	0	P75620							110.730908037	2697.54179289
PM0-8866	21383	21406	1	promoter	[b0025, b0026, b0027, b0028, b0029]	21399	0								10.0	2707.54179289
b0025	21407	22348	1	gene		21407	0	P0AG40							110.730908037	2818.27270093
PM0-9552	21833	22390	1	promoter	[b0029, b0028, b0027, b0026]	22348	0								10.0	2828.27270093
b0026	22391	25207	1	gene		22391	0	P00956	Isoleucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=ileS PE=1 SV=5	ileS	Cytoplasm	0.374859990798	0.37808994614	0.374424653727	110.730908037	2939.00360896
PM0-9328	25014	25206	1	promoter	[b0029, b0028, b0027]	25207	1								10.0	2949.00360896
b0027	25207	25701	1	gene		25207	0	P00804							110.730908037	3059.734517
b0028	25826	26275	1	gene		25826	0	P0AEM0							110.730908037	3170.46542504
b0029	26277	27227	1	gene		26277	0	P62623							110.730908037	3281.19633307
b0030	27293	28207	1	gene		27293	0	P22564							110.730908037	3391.92724111
PM0-9557	28288	28373	1	promoter	[b0031]	28288	0								10.0	3401.92724111
b0031	28374	29195	1	gene		28374	0	P04036	Dihydrodipicolinate reductase OS=Escherichia coli (strain K12) GN=dapB PE=1 SV=1	dapB	Cytoplasm	0.146974326696	0.148858692285	0.14479858336	110.730908037	3512.65814915
PM00151	29551	29650	1	promoter	[b0032, b0033]	29551	0								10.0	3522.65814915
b0032	29651	30799	1	gene		29651	0	P0A6F1	Carbamoyl-phosphate synthase small chain OS=Escherichia coli (strain K12) GN=carA PE=1 SV=1	carA	Cytoplasm	0.634904795643	0.645944242603	0.636126122663	110.730908037	3633.38905719
PM00319	30775	30816	1	promoter	[b0033]	30799	0								10.0	3643.38905719
b0033	30817	34038	1	gene		30817	0	P00968							110.730908037	3754.11996522
PM338	34218	34299	1	promoter	[b0034]	34218	0								10.0	3764.11996522
b0034	34300	34695	1	gene		34300	0	P0AE58							110.730908037	3874.85087326
b0035	34781	35371	-1	gene		34781	0	P39206							110.730908037	3985.5817813
b0036	35377	36162	-1	gene		35377	0	P31551							110.730908037	4096.31268933
b0037	36271	37824	-1	gene		36271	0	P31552							110.730908037	4207.04359737
b0038	37898	39115	-1	gene		37898	0	P31572							110.730908037	4317.77450541
b0039	39244	40386	-1	gene		39244	0	P60584							110.730908037	4428.50541345
b0040	40417	41931	-1	gene		40417	0	P31553							110.730908037	4539.23632148
PM00528	41932	42037	-1	promoter	[b0035, b0036, b0037, b0038, b0039, b0040]	41932	0								10.0	4549.23632148
PM339	42325	42402	1	promoter	[b0044, b0043, b0042, b0041]	42325	0								10.0	4559.23632148
b0041	42403	43173	1	gene		42403	0	P60566							110.730908037	4669.96722952
b0042	43188	44129	1	gene		43188	0	P31574							110.730908037	4780.69813756
b0043	44180	45466	1	gene		44180	0	P68644							110.730908037	4891.42904559
b0044	45463	45750	1	gene		45466	0	P68646							110.730908037	5002.15995363
PM0-10464	45592	45806	1	promoter	[b0045]	45750	0								10.0	5012.15995363
b0045	45807	47138	1	gene		45807	0	P31679							110.730908037	5122.89086167
b0046	47246	47776	1	gene		47246	0	P0A754							110.730908037	5233.6217697
b0047	47769	49631	1	gene		47776	0	P03819	Glutathione-regulated potassium-efflux system protein kefC OS=Escherichia coli (strain K12) GN=kefC PE=1 SV=2	kefC	Cell inner membrane	0.000394487454016	0.00019359249523	0.000251315619286	110.730908037	5344.35267774
PM00320	49799	49822	1	promoter	[b0048]	49799	0								10.0	5354.35267774
b0048	49823	50302	1	gene		49823	0	P0ABQ4							110.730908037	5465.08358578
b0049	50380	51222	-1	gene		50380	0	P05637							110.730908037	5575.81449382
b0050	51229	51606	-1	gene		51229	0	P62672							110.730908037	5686.54540185
PM0-5442	51607	52034	-1	promoter	[b0049, b0050]	51607	0								10.0	5696.54540185
b0051	51609	52430	-1	gene		52034	0	P06992	Ribosomal RNA small subunit methyltransferase A OS=Escherichia coli (strain K12) GN=rsmA PE=1 SV=1	rsmA	Cytoplasm	0.0127459924345	0.0127404480353	0.0127995413381	110.730908037	5807.27630989
b0052	52427	53416	-1	gene		52430	0	P19624	4-hydroxythreonine-4-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=pdxA PE=1 SV=1	pdxA	Cytoplasm	0.0114389758414	0.0104856264487	0.0107161028837	110.730908037	5918.00721793
PM0-5426	52431	52588	-1	promoter	[b0049, b0050, b0051]	53416	1								10.0	5928.00721793
b0053	53416	54702	-1	gene		53416	0	P0ABZ6	Chaperone surA OS=Escherichia coli (strain K12) GN=surA PE=1 SV=1	surA	Periplasm	0.121890588924	0.118610744351	0.121956300375	110.730908037	6038.73812596
b0054	54755	57109	-1	gene		54755	0	P31554	LPS-assembly protein lptD OS=Escherichia coli (strain K12) GN=lptD PE=1 SV=2	lptD	Cell outer membrane	0.0677138401869	0.0778787134849	0.0781780385135	110.730908037	6149.469034
PM0-4527	57110	57336	-1	promoter	[b0052, b0053, b0054]	57110	0								10.0	6159.469034
PM0-4525	57110	57241	-1	promoter	[b0054]	57336	1								10.0	6169.469034
b0055	57364	58179	1	gene		57364	0	P31680	DnaJ-like protein djlA OS=Escherichia coli (strain K12) GN=djlA PE=1 SV=1	djlA	Cell inner membrane	5.13264721789e-05	5.63843056564e-06	0.000301304207658	110.730908037	6280.19994204
b4659	58474	59279	1	gene		58474	0								110.730908037	6390.93085008
b0058	59687	60346	-1	gene		59687	0	P0AA37							110.730908037	6501.66175811
b0059	60358	63264	-1	gene		60358	0	P60240							110.730908037	6612.39266615
PM0-4081	63265	63358	-1	promoter	[b0058, b0059]	63265	0								10.0	6622.39266615
PM0-9741	63265	63588	-1	promoter	[b0059]	63358	0								10.0	6632.39266615
b0060	63429	65780	-1	gene		63588	0	P21189							110.730908037	6743.12357419
PM0-7961	65781	65803	-1	promoter	[b0060]	65781	0								10.0	6753.12357419
b0061	65855	66550	-1	gene		65855	0	P08203							110.730908037	6863.85448222
b0062	66835	68337	-1	gene		66835	0	P08202							110.730908037	6974.58539026
b0063	68348	70048	-1	gene		68348	0	P08204							110.730908037	7085.3162983
PM00003	70049	70075	-1	promoter	[b0061, b0062, b0063]	70049	0								10.0	7095.3162983
PM00004	70241	70386	1	promoter	[b0064]	70241	0								10.0	7105.3162983
b0064	70387	71265	1	gene		70387	0	P0A9E0							110.730908037	7216.04720633
PM0-9957	71271	71350	1	promoter	[b0065]	71271	0								10.0	7226.04720633
b0065	71351	72115	1	gene		71351	0	P30149							110.730908037	7336.77811437
b0066	72229	72927	-1	gene		72229	0	P31548							110.730908037	7447.50902241
b0067	72911	74521	-1	gene		72927	0	P31549							110.730908037	7558.23993045
